Phoneme,ʁ,ʃ,ʊ, ,.,:,χ,I,g,ɔ,ə,ɛ,a,b,e,d,ç,f,i,h,k,m,l,o,n,s,r,t,v,y,z,ɾ
Line 1,0,0,1,6,6,0,0,1,0,0,2,1,2,0,0,3,0,0,0,0,0,1,2,0,2,5,0,2,1,1,0,2
Line 2,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1
Line 3,1,1,1,5,6,2,0,2,0,0,2,1,3,0,0,1,1,0,0,0,0,2,2,0,2,2,0,1,0,1,1,1
Line 4,0,0,0,5,6,1,0,1,0,0,1,0,4,0,1,3,0,1,2,0,0,2,2,0,4,2,0,0,1,0,0,1
Line 5,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0
Line 6,1,0,0,4,5,0,0,0,1,1,3,1,2,1,0,0,0,1,1,1,0,1,1,0,2,2,0,1,2,0,0,2
Line 7,1,0,0,1,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Line 8,0,0,1,7,8,1,0,2,0,0,0,0,6,1,0,1,2,0,0,1,1,0,0,0,3,2,0,6,0,0,0,1
Line 9,1,2,1,4,5,1,1,1,0,0,2,0,4,1,1,2,0,2,0,0,0,0,0,0,1,2,0,5,1,0,0,0
Line 10,1,0,0,1,2,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
Line 11,1,0,1,6,6,1,1,0,0,0,1,0,3,1,3,3,0,0,1,0,0,0,0,0,3,1,0,0,1,0,1,2
Line 12,0,0,0,1,2,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Line 13,1,2,0,5,6,0,0,2,2,0,2,1,1,0,1,1,1,0,1,0,0,0,1,0,3,0,0,3,0,0,0,1
Line 14,0,0,0,6,6,1,0,3,0,0,1,0,2,0,1,3,2,0,1,0,1,2,0,0,3,0,0,2,0,1,1,1
Line 15,1,0,0,1,2,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Line 16,1,2,0,7,7,1,0,2,0,0,1,1,1,1,1,1,0,0,2,0,0,0,1,1,2,1,0,3,1,0,4,0
Line 17,0,1,0,1,2,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Line 18,0,0,1,5,6,1,0,2,0,0,2,0,2,0,1,1,0,0,1,0,0,2,0,0,6,1,0,4,0,0,1,2
Line 19,1,1,1,5,6,1,1,1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,2,0,5,0,0,1,1,0,1,1
Line 20,0,1,0,1,2,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Line 21,0,0,1,4,5,1,0,1,0,0,3,0,3,0,0,2,0,0,0,0,0,1,1,1,5,1,1,1,2,0,0,2
Line 22,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0
Line 23,1,0,2,4,5,3,0,3,0,0,2,1,3,0,0,0,0,1,0,1,0,2,0,0,2,2,0,3,0,0,0,3
Line 24,1,0,0,4,6,1,0,3,0,0,2,0,2,0,0,1,1,1,2,0,0,1,1,0,3,2,0,3,1,0,0,1
Line 25,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0
