und,ʊnt
die,dI
ich,Iç
so,zo
das,das
in,In
es,ɛs
der,dəʁ
ein,a:In
ihr,Ir
mein,ma:In
mir,mIʁ
du,du
ist,Ist
sie,zI
nicht,nIçt
den,den
mit,mIt
was,vas
wie,vI
nach,naχ
aus,a:ʊs  
dem,dem
da,da
bächlein,bɛçla:In
zu,tsu
grün,gɾyn
mich,mIç
gern,gɛɾn
dein,da:In
alle,alə
im,Im
will,vIl
auf,a:ʊf
hat,hat
wenn,wɛn
von,fɔn
auch,aʊχ
liebe,lIbə
bach,baχ
blümlein,blymla:In
Nacht,naχt
sein,za:In
hab,hap
dich,dIç
durch,dʊɾχ
sich,zIç
singen,zIŋən
ach,aχ
soll,zɔl
Heilge,ha:Il.gə
du,du
sinkest,zIŋ.kəst
nieder,ni.dəʁ
