Phoneme,ʁ,ʃ,ʊ, ,.,ɲ,:,χ,I,ŋ,g,œ,ɔ,ə,ɛ,a,b,e,d,ç,f,i,h,k,j,m,l,o,n,p,s,r,u,t,v,y,ø,z,ɾ
Line 1,0,1,1,4,2,0,3,0,3,0,0,1,0,1,1,3,1,0,0,2,0,0,1,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,1
Line 2,0,0,1,3,2,0,1,0,0,0,0,0,0,1,2,1,0,1,1,0,1,0,0,1,0,1,3,1,1,0,1,0,0,0,2,0,0,1,0
Line 3,0,1,1,3,3,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,1,0,0,1,1,0,2,1,1,1,1,2,0,0,0,0,0
Line 4,1,1,2,3,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,2,0,0,0,0,1,1,0,0,1,1
Line 5,1,0,1,5,1,0,1,0,3,0,0,0,0,1,0,1,0,0,1,2,0,2,0,0,0,1,0,0,1,0,1,0,0,1,3,0,0,0,1
Line 6,2,0,0,5,0,0,0,0,1,0,1,0,0,0,0,2,0,2,1,1,0,1,0,0,0,1,0,0,2,1,0,0,0,2,1,0,0,0,1
Line 7,1,0,3,3,3,0,1,1,2,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2,0,1,0,0,2,0,0,0,0,0
Line 8,1,1,0,2,3,0,1,0,2,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,3,0,0,2,1,0,0,0,2,1,0,0,0,0
Line 9,3,0,2,3,4,0,1,0,3,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,3,1,0,0,0,0
Line 10,1,0,1,4,2,0,0,2,1,0,0,0,0,2,0,2,1,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0
Line 11,2,2,2,3,3,0,1,0,2,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0
Line 12,3,0,1,4,2,0,0,1,1,0,0,0,0,2,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
Line 13,0,1,0,4,2,0,1,0,2,0,0,0,0,2,1,3,0,0,2,0,0,0,0,0,0,1,0,0,2,0,3,0,0,2,0,0,0,0,1
Line 14,0,1,0,3,2,0,1,0,2,0,0,0,0,0,1,1,1,0,0,2,0,1,1,0,0,0,1,2,2,1,0,0,0,0,1,0,0,0,1
Line 15,0,1,1,4,2,0,2,0,0,0,0,0,0,2,0,3,0,0,2,0,0,2,1,0,0,2,0,0,2,0,1,1,1,2,0,0,0,0,0
Line 16,1,1,1,4,1,0,1,0,1,0,1,0,0,1,0,2,1,1,1,0,0,1,0,0,0,1,0,0,3,0,1,0,0,2,0,0,0,1,1
Line 17,0,1,1,5,1,0,1,0,1,0,0,0,1,1,1,3,0,0,1,1,1,0,0,1,0,1,0,0,2,0,1,0,0,0,1,0,0,1,1
Line 18,0,1,1,4,1,0,3,0,2,0,0,0,0,1,0,5,0,0,1,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1
Line 19,0,0,0,4,2,0,0,0,1,1,0,0,0,2,1,0,0,0,1,0,0,2,0,1,0,0,1,1,3,0,2,0,0,0,1,0,0,1,0
Line 20,0,0,1,3,2,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0
Line 21,0,1,1,4,3,0,1,0,1,1,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,1,0,0,0,0,0,2,0
Line 22,0,0,1,3,2,0,0,1,1,0,0,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0,1,0,3,0,0,2,0,1,1,0,1,0,0
Line 23,1,0,0,3,3,0,0,0,0,0,1,0,0,2,1,1,0,2,1,0,0,0,0,0,1,1,1,0,2,0,1,0,0,0,0,1,0,0,1
Line 24,0,0,0,3,2,0,0,1,1,0,0,0,0,2,0,2,1,1,1,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1
