song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
AmFeierabend,E4,31,2.3333333333333335,0,0.5,'hɛt,0,1
AmFeierabend,E4,31,2.6666666666666665,0,0.5,Iç,2,0
AmFeierabend,C5,36,1.0,2,1.0,'ta:ʊ,0,1
AmFeierabend,B4,35,1.6666666666666665,0,0.5,sənt,1,0
AmFeierabend,A4,34,2.0,2,0.5,'aɾ,0,1
AmFeierabend,G#4,33,2.3333333333333335,0,0.5,mə,1,0
AmFeierabend,A4,34,2.6666666666666665,0,0.5,tsu,2,0
AmFeierabend,B4,35,1.0,2,1.0,'ɾy,2,1
AmFeierabend,E4,31,1.6666666666666665,0,0.5,ɾən,1,0
AmFeierabend,E5,38,2.3333333333333335,0,0.5,'kœnt,0,1
AmFeierabend,D5,37,2.6666666666666665,0,0.5,Iç,2,0
AmFeierabend,C5,36,1.0,2,0.75,'bɾa:ʊ,0,1
AmFeierabend,B4,35,1.5,1,0.25,sənt,1,0
AmFeierabend,A4,34,1.6666666666666665,0,0.5,di,2,0
AmFeierabend,A4,34,2.0,2,1.0,'ɾe,2,1
AmFeierabend,F5,39,2.6666666666666665,0,0.5,dəʁ,1,0
AmFeierabend,E5,38,1.0,2,1.0,'fy,2,1
AmFeierabend,B4,35,1.6666666666666665,0,0.5,ɾən,1,0
AmFeierabend,B4,35,2.3333333333333335,0,0.5,'kɶnt,none,1
AmFeierabend,B4,35,2.6666666666666665,0,0.5,Iç,2,0
AmFeierabend,B4,35,1.0,2,0.5,'ve,2,1
AmFeierabend,B4,35,1.3333333333333333,0,0.5,ən,1,0
AmFeierabend,D#5,37,1.6666666666666665,0,0.5,duɾç,2,0
AmFeierabend,F#5,39,2.0,2,1.0,'a,0,1
AmFeierabend,D#5,37,2.6666666666666665,0,0.5,lə,1,0
AmFeierabend,E5,38,1.0,2,1.0,'ha:I,0,1
AmFeierabend,B4,35,1.6666666666666665,0,0.5,nə,1,0
AmFeierabend,C#5,36,2.3333333333333335,0,0.5,'kɶnt,none,1
AmFeierabend,B4,35,2.6666666666666665,0,0.5,Iç,2,0
AmFeierabend,B4,35,1.0,2,1.0,'dɾe,2,1
AmFeierabend,D#5,37,1.6666666666666665,0,0.5,ən,1,0
AmFeierabend,F#5,39,2.0,2,1.0,'a,0,1
AmFeierabend,D#5,37,2.6666666666666665,0,0.5,lə,1,0
AmFeierabend,E5,38,1.0,2,1.0,'ʃta:I,0,1
AmFeierabend,B4,35,1.6666666666666665,0,0.5,nə,1,0
AmFeierabend,C#5,36,1.0,2,1.0,'das,0,1
AmFeierabend,C#5,36,1.6666666666666665,0,0.5,di,2,0
AmFeierabend,D5,37,2.0,2,0.5,'ʃø,2,1
AmFeierabend,C#5,36,2.3333333333333335,0,0.5,'ʃø,2,1
AmFeierabend,D5,37,2.6666666666666665,0,0.5,nə,1,0
AmFeierabend,E5,38,1.0,2,1.0,'mY,none,1
AmFeierabend,C#5,36,1.6666666666666665,0,0.5,lə,1,0
AmFeierabend,A4,34,2.0,2,1.0,'ʁIn,2,1
AmFeierabend,C#5,36,1.0,2,1.0,'mɛɾk,0,1
AmFeierabend,C#5,36,1.6666666666666665,0,0.5,tə,1,0
AmFeierabend,D5,37,2.0,2,0.5,'ma:I,0,1
AmFeierabend,C#5,36,2.3333333333333335,0,0.5,'ma:I,0,1
AmFeierabend,D5,37,2.6666666666666665,0,0.5,nən,1,0
AmFeierabend,E5,38,1.0,2,1.0,'trɔ:Y,0,1
AmFeierabend,C#5,36,1.6666666666666665,0,0.5,ən,1,0
AmFeierabend,A4,34,2.0,2,1.0,'zIn,2,1
AmFeierabend,A4,34,1.0,2,1.0,'das,0,1
AmFeierabend,A4,34,1.6666666666666665,0,0.5,di,2,0
AmFeierabend,E5,38,2.0,2,1.0,'ʃø,2,1
AmFeierabend,E5,38,2.6666666666666665,0,0.5,nə,1,0
AmFeierabend,D#5,37,1.0,2,1.0,'mY,none,1
AmFeierabend,F#5,39,1.6666666666666665,0,0.5,'mY,none,1
AmFeierabend,F#5,39,2.0,2,0.75,'mY,none,1
AmFeierabend,E5,38,2.5,1,0.25,lə,1,0
AmFeierabend,D5,37,2.6666666666666665,0,0.5,'ʁIn,2,1
AmFeierabend,C#5,36,1.0,2,0.5,'mɛɾk,0,1
AmFeierabend,D5,37,1.3333333333333333,0,0.5,'mɛɾk,0,1
AmFeierabend,C#5,36,1.6666666666666665,0,0.5,tə,1,0
AmFeierabend,B4,35,2.0,2,0.5,'ma:I,0,1
AmFeierabend,F#5,39,2.3333333333333335,0,0.5,'ma:I,0,1
AmFeierabend,F#4,32,2.6666666666666665,0,0.5,nən,1,0
AmFeierabend,A4,34,1.0,2,1.5,'trɔ:Y,0,1
AmFeierabend,A4,34,2.0,2,0.5,'trɔ:Y,0,1
AmFeierabend,C#5,36,2.3333333333333335,0,0.5,'trɔ:Y,0,1
AmFeierabend,B4,35,2.6666666666666665,0,0.5,ən,1,0
AmFeierabend,A4,34,1.0,2,1.0,'zIn,2,1
AmFeierabend,C5,36,1.0,2,1.0,'aχ,0,1
AmFeierabend,C5,36,2.6666666666666665,0,0.5,vi,2,0
AmFeierabend,C5,36,1.0,2,1.0,'Ist,2,1
AmFeierabend,C5,36,1.6666666666666665,0,0.5,ma:In,0,0
AmFeierabend,C5,36,2.0,2,0.5,'aɾm,0,1
AmFeierabend,B4,35,2.3333333333333335,0,0.5,'aɾm,0,1
AmFeierabend,A4,34,2.6666666666666665,0,0.5,zo,2,0
AmFeierabend,G4,33,1.0,2,1.0,'ʃvaχ,0,1
AmFeierabend,G4,33,2.0,2,0.5,'vas,0,1
AmFeierabend,D5,37,2.3333333333333335,0,0.5,'vas,0,1
AmFeierabend,F5,39,2.6666666666666665,0,0.5,Iç,2,0
AmFeierabend,E5,38,1.0,2,1.0,'he,2,1
AmFeierabend,C5,36,1.6666666666666665,0,0.5,bə,1,0
AmFeierabend,G4,33,2.0,2,0.5,'vas,0,1
AmFeierabend,D5,37,2.3333333333333335,0,0.5,'vas,0,1
AmFeierabend,F5,39,2.6666666666666665,0,0.5,Iç,2,0
AmFeierabend,E5,38,1.0,2,1.0,'tɾa,0,1
AmFeierabend,C5,36,1.6666666666666665,0,0.5,gə,1,0
AmFeierabend,E5,38,2.0,2,1.0,'vas,0,1
AmFeierabend,E5,38,2.6666666666666665,0,0.5,Iç,2,0
AmFeierabend,G5,40,1.0,2,0.5,'ʃna:I,0,1
AmFeierabend,F5,39,1.3333333333333333,0,0.5,'ʃna:I,0,1
AmFeierabend,E5,38,1.6666666666666665,0,0.5,də,1,0
AmFeierabend,D5,37,2.0,2,0.5,'vas,0,1
AmFeierabend,C5,36,2.3333333333333335,0,0.5,'vas,0,1
AmFeierabend,D5,37,2.6666666666666665,0,0.5,Iç,2,0
AmFeierabend,F5,39,1.0,2,1.0,'ʃla,0,1
AmFeierabend,E5,38,1.6666666666666665,0,0.5,gə,1,0
AmFeierabend,G#4,33,2.0,2,1.0,'je,2,1
AmFeierabend,E5,38,2.6666666666666665,0,0.5,dəʁ,1,0
AmFeierabend,E5,38,1.0,2,1.0,'kna,0,1
AmFeierabend,A4,34,1.6666666666666665,0,0.5,pə,1,0
AmFeierabend,E5,38,2.0,2,1.0,'tut,2,1
AmFeierabend,B4,35,2.6666666666666665,0,0.5,mirs,2,0
AmFeierabend,C5,36,1.0,2,1.5,'naχ,0,1
AmFeierabend,G#4,33,2.0,2,0.5,'je,2,1
AmFeierabend,E5,38,2.3333333333333335,0,0.5,'je,2,1
AmFeierabend,E5,38,2.6666666666666665,0,0.5,dəʁ,1,0
AmFeierabend,E5,38,1.0,2,1.0,'kna,0,1
AmFeierabend,A4,34,1.6666666666666665,0,0.5,pə,1,0
AmFeierabend,F5,39,2.0,2,1.0,'tut,2,1
AmFeierabend,B4,35,2.6666666666666665,0,0.5,mirs,2,0
AmFeierabend,C5,36,1.0,2,1.0,'naχ,0,1
AmFeierabend,G4,33,2.3333333333333335,0,0.5,ʊnt,2,0
AmFeierabend,G4,33,2.6666666666666665,0,0.5,da,0,0
AmFeierabend,C5,36,1.0,2,1.0,'zits,2,1
AmFeierabend,C5,36,1.6666666666666665,0,0.5,Iç,2,0
AmFeierabend,B4,35,2.0,2,0.5,'In,2,1
AmFeierabend,A4,34,2.3333333333333335,0,0.5,'In,2,1
AmFeierabend,B4,35,2.6666666666666665,0,0.5,der,2,0
AmFeierabend,C5,36,1.0,2,0.5,'gɾo,2,1
AmFeierabend,G4,33,1.3333333333333333,0,0.5,'gɾo,2,1
AmFeierabend,E4,31,1.6666666666666665,0,0.5,sən,1,0
AmFeierabend,G4,33,2.0,2,1.0,'rʊn,2,1
AmFeierabend,G4,33,2.6666666666666665,0,0.5,də,1,0
AmFeierabend,A4,34,2.3333333333333335,0,0.5,in,2,0
AmFeierabend,A4,34,2.6666666666666665,0,0.5,der,2,0
AmFeierabend,D5,37,1.0,2,1.0,'ʃtI,2,1
AmFeierabend,D5,37,1.6666666666666665,0,0.5,lən,1,0
AmFeierabend,C#5,36,2.0,2,0.5,'ky,2,1
AmFeierabend,B4,35,2.3333333333333335,0,0.5,'ky,2,1
AmFeierabend,C#5,36,2.6666666666666665,0,0.5,lən,1,0
AmFeierabend,D5,37,1.0,2,0.5,'fɔ:Y,0,1
AmFeierabend,A4,34,1.3333333333333333,0,0.5,'fɔ:Y,0,1
AmFeierabend,F4,32,1.6666666666666665,0,0.5,əʁ,1,0
AmFeierabend,A4,34,2.0,2,1.0,'ʃtʊn,2,1
AmFeierabend,A4,34,2.6666666666666665,0,0.5,də,1,0
AmFeierabend,F4,32,2.3333333333333335,0,0.5,ʊnt,2,0
AmFeierabend,F4,32,2.6666666666666665,0,0.5,der,2,0
AmFeierabend,F4,32,1.0,2,1.0,'ma:Is,0,1
AmFeierabend,F4,32,1.6666666666666665,0,0.5,təʁ,1,0
AmFeierabend,F4,32,2.0,2,1.0,'spɾIçst,2,1
AmFeierabend,F4,32,2.6666666666666665,0,0.5,tsu,2,0
AmFeierabend,F4,32,1.0,2,1.0,'a,0,1
AmFeierabend,C4,29,1.6666666666666665,0,0.5,lən,1,0
AmFeierabend,F4,32,2.3333333333333335,0,0.5,ɔ:Y,0,0
AmFeierabend,A4,34,2.6666666666666665,0,0.5,əʁ,1,0
AmFeierabend,C5,36,1.0,2,1.0,'vɛɾk,0,1
AmFeierabend,B-4,35,1.6666666666666665,0,0.5,hat,0,0
AmFeierabend,G4,33,2.0,2,1.0,'mir,2,1
AmFeierabend,A4,34,2.6666666666666665,0,0.5,gə,1,0
AmFeierabend,F4,32,1.0,2,1.0,'fa,0,1
AmFeierabend,C4,29,1.6666666666666665,0,0.5,lən,1,0
AmFeierabend,F4,32,2.3333333333333335,0,0.5,ɔ:Y,0,0
AmFeierabend,A4,34,2.6666666666666665,0,0.5,əʁ,1,0
AmFeierabend,C5,36,1.0,2,1.0,'vɛɾk,0,1
AmFeierabend,B-4,35,1.6666666666666665,0,0.5,hat,0,0
AmFeierabend,G4,33,2.0,2,1.0,'mir,2,1
AmFeierabend,A4,34,2.6666666666666665,0,0.5,gə,1,0
AmFeierabend,F4,32,1.0,2,1.0,'fa,0,1
AmFeierabend,C4,29,1.6666666666666665,0,0.5,lən,1,0
AmFeierabend,C5,36,2.3333333333333335,0,0.5,ʊnt,2,0
AmFeierabend,C5,36,2.6666666666666665,0,0.5,das,0,0
AmFeierabend,D5,37,1.0,2,1.0,'li,2,1
AmFeierabend,D5,37,1.6666666666666665,0,0.5,bə,1,0
AmFeierabend,E-5,38,2.0,2,0.5,'mɛd,0,1
AmFeierabend,D5,37,2.3333333333333335,0,0.5,'mɛd,0,1
AmFeierabend,C5,36,2.6666666666666665,0,0.5,çən,1,0
AmFeierabend,D5,37,1.0,2,1.5,'zagt,0,1
AmFeierabend,D5,37,2.0,2,1.0,'zagt,0,1
AmFeierabend,G5,40,1.0,2,1.5,a,0,0
AmFeierabend,G5,40,2.0,2,1.0,a,0,0
AmFeierabend,E5,38,2.6666666666666665,0,0.5,lən,1,0
AmFeierabend,D5,37,1.0,2,1.0,'a:I,0,1
AmFeierabend,D5,37,1.6666666666666665,0,0.5,nə,1,0
AmFeierabend,F5,39,2.0,2,1.0,'gu,2,1
AmFeierabend,E5,38,2.6666666666666665,0,0.5,tə,1,0
AmFeierabend,D5,37,1.0,2,1.0,'naχt,0,1
AmFeierabend,G5,40,1.0,2,1.5,a,0,0
AmFeierabend,G5,40,2.0,2,1.0,a,0,0
AmFeierabend,E5,38,2.6666666666666665,0,0.5,lən,1,0
AmFeierabend,D5,37,1.0,2,1.0,'a:I,0,1
AmFeierabend,D5,37,1.6666666666666665,0,0.5,nə,1,0
AmFeierabend,F5,39,2.0,2,1.0,'gu,2,1
AmFeierabend,E5,38,2.6666666666666665,0,0.5,tə,1,0
AmFeierabend,D5,37,1.0,2,1.0,'naχt,0,1
AmFeierabend,E4,31,2.3333333333333335,0,0.5,'hɛt,0,1
AmFeierabend,E4,31,2.6666666666666665,0,0.5,Iç,2,0
AmFeierabend,C5,36,1.0,2,1.0,'ta:ʊ,0,1
AmFeierabend,B4,35,1.6666666666666665,0,0.5,sənt,1,0
AmFeierabend,A4,34,2.0,2,0.5,'aɾ,0,1
AmFeierabend,G#4,33,2.3333333333333335,0,0.5,mə,1,0
AmFeierabend,A4,34,2.6666666666666665,0,0.5,tsu,2,0
AmFeierabend,B4,35,1.0,2,1.0,'ɾy,2,1
AmFeierabend,E4,31,1.6666666666666665,0,0.5,ɾən,1,0
AmFeierabend,E5,38,2.3333333333333335,0,0.5,'kœnt,0,1
AmFeierabend,D5,37,2.6666666666666665,0,0.5,Iç,2,0
AmFeierabend,C5,36,1.0,2,0.75,'bɾa:ʊ,0,1
AmFeierabend,B4,35,1.5,1,0.25,sənt,1,0
AmFeierabend,A4,34,1.6666666666666665,0,0.5,di,2,0
AmFeierabend,A4,34,2.0,2,1.0,'ɾe,2,1
AmFeierabend,F5,39,2.6666666666666665,0,0.5,dəʁ,1,0
AmFeierabend,E5,38,1.0,2,1.0,'fy,2,1
AmFeierabend,B4,35,1.6666666666666665,0,0.5,ɾən,1,0
AmFeierabend,B4,35,2.3333333333333335,0,0.5,'kɶnt,none,1
AmFeierabend,B4,35,2.6666666666666665,0,0.5,Iç,2,0
AmFeierabend,B4,35,1.0,2,0.5,'ve,2,1
AmFeierabend,B4,35,1.3333333333333333,0,0.5,ən,1,0
AmFeierabend,D#5,37,1.6666666666666665,0,0.5,duɾç,2,0
AmFeierabend,F#5,39,2.0,2,1.0,'a,0,1
AmFeierabend,D#5,37,2.6666666666666665,0,0.5,lə,1,0
AmFeierabend,E5,38,1.0,2,1.0,'ha:I,0,1
AmFeierabend,B4,35,1.6666666666666665,0,0.5,nə,1,0
AmFeierabend,C#5,36,2.3333333333333335,0,0.5,'kɶnt,none,1
AmFeierabend,B4,35,2.6666666666666665,0,0.5,Iç,2,0
AmFeierabend,B4,35,1.0,2,1.0,'dɾe,2,1
AmFeierabend,D#5,37,1.6666666666666665,0,0.5,ən,1,0
AmFeierabend,F#5,39,2.0,2,1.0,'a,0,1
AmFeierabend,D#5,37,2.6666666666666665,0,0.5,lə,1,0
AmFeierabend,E5,38,1.0,2,1.0,'ʃta:I,0,1
AmFeierabend,B4,35,1.6666666666666665,0,0.5,nə,1,0
AmFeierabend,E5,38,2.3333333333333335,0,0.5,'das,0,1
AmFeierabend,D5,37,2.6666666666666665,0,0.5,di,2,0
AmFeierabend,C5,36,1.0,2,0.5,'ʃø,2,1
AmFeierabend,B4,35,1.3333333333333333,0,0.5,'ʃø,2,1
AmFeierabend,A4,34,1.6666666666666665,0,0.5,nə,1,0
AmFeierabend,F5,39,2.0,2,1.0,'mY,none,1
AmFeierabend,E5,38,2.6666666666666665,0,0.5,lə,1,0
AmFeierabend,D5,37,1.0,2,1.5,'ʁIn,2,1
AmFeierabend,G5,40,2.0,2,1.0,'mɛɾk,0,1
AmFeierabend,F5,39,2.6666666666666665,0,0.5,tə,1,0
AmFeierabend,E5,38,1.0,2,0.5,'ma:I,0,1
AmFeierabend,D5,37,1.3333333333333333,0,0.5,'ma:I,0,1
AmFeierabend,C5,36,1.6666666666666665,0,0.5,nən,1,0
AmFeierabend,B4,35,2.0,2,0.5,'ma:I,0,1
AmFeierabend,C5,36,2.3333333333333335,0,0.5,'ma:I,0,1
AmFeierabend,D5,37,2.6666666666666665,0,0.5,nən,1,0
AmFeierabend,E5,38,1.0,2,1.5,'trɔ:Y,0,1
AmFeierabend,E5,38,2.0,2,1.0,'trɔ:Y,0,1
AmFeierabend,G#4,33,2.6666666666666665,0,0.5,ən,1,0
AmFeierabend,A4,34,1.0,2,1.0,'zIn,2,1
AmFeierabend,E5,38,2.0,2,1.0,'das,0,1
AmFeierabend,D5,37,2.6666666666666665,0,0.5,di,2,0
AmFeierabend,C5,36,1.0,2,0.5,'ʃø,2,1
