song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
DSM02-Wohin,B4,35,2.5,1,0.25,Iç,4,0
DSM02-Wohin,C5,36,2.75,0,0.25,Iç,4,0
DSM02-Wohin,D5,37,1.0,2,0.5,'hœɾt,1,1
DSM02-Wohin,D5,37,1.5,1,0.5,a:In,0,0
DSM02-Wohin,D5,37,2.0,2,0.5,'bɛç,1,1
DSM02-Wohin,D5,37,2.5,1,0.5,la:In,0,0
DSM02-Wohin,D5,37,1.0,2,0.75,'ra:ʊ,0,1
DSM02-Wohin,B4,35,1.75,0,0.25,'ra:ʊ,0,1
DSM02-Wohin,G4,33,2.0,2,0.5,ʃən,2,0
DSM02-Wohin,B4,35,2.5,1,0.25,vol,3,0
DSM02-Wohin,G4,33,2.75,0,0.25,vol,3,0
DSM02-Wohin,D4,30,1.0,2,0.5,'a:ʊs,0,1
DSM02-Wohin,D4,30,1.5,1,0.5,dem,3,0
DSM02-Wohin,D4,30,2.0,2,0.25,'fɛl,1,1
DSM02-Wohin,F#4,32,2.25,0,0.25,'fɛl,1,1
DSM02-Wohin,A4,34,2.5,1,0.25,sən,2,0
DSM02-Wohin,F#4,32,2.75,0,0.25,sən,2,0
DSM02-Wohin,G4,33,1.0,2,1.0,'kvɛl,1,1
DSM02-Wohin,B4,35,2.5,1,0.25,hi,4,0
DSM02-Wohin,C5,36,2.75,0,0.25,hi,4,0
DSM02-Wohin,D5,37,1.0,2,0.5,'nap,0,1
DSM02-Wohin,D5,37,1.5,1,0.5,tsum,4,0
DSM02-Wohin,D5,37,2.0,2,0.5,'ta,0,1
DSM02-Wohin,D5,37,2.5,1,0.5,lə,2,0
DSM02-Wohin,D5,37,1.0,2,0.75,'ra:ʊ,0,1
DSM02-Wohin,B4,35,1.75,0,0.25,'ra:ʊ,0,1
DSM02-Wohin,G4,33,2.0,2,0.5,ʃən,2,0
DSM02-Wohin,B4,35,2.5,1,0.25,zo,3,0
DSM02-Wohin,G4,33,2.75,0,0.25,zo,3,0
DSM02-Wohin,D4,30,1.0,2,0.5,'fɾIʃ,4,1
DSM02-Wohin,D4,30,1.5,1,0.5,ʊnt,4,0
DSM02-Wohin,D4,30,2.0,2,0.25,'vʊn,4,1
DSM02-Wohin,F#4,32,2.25,0,0.25,'vʊn,4,1
DSM02-Wohin,A4,34,2.5,1,0.25,dəʁ,2,0
DSM02-Wohin,F#4,32,2.75,0,0.25,dəʁ,2,0
DSM02-Wohin,G4,33,1.0,2,1.0,'hɛl,1,1
DSM02-Wohin,B4,35,2.5,1,0.5,Iç,4,0
DSM02-Wohin,C5,36,1.0,2,0.5,'va:Is,0,1
DSM02-Wohin,B4,35,1.5,1,0.5,nIçt,4,0
DSM02-Wohin,B4,35,2.0,2,0.5,'vi,4,1
DSM02-Wohin,A4,34,2.5,1,0.5,miʁ,4,0
DSM02-Wohin,A4,34,1.0,2,0.5,'vʊɾ,4,1
DSM02-Wohin,G#4,33,1.5,1,0.5,də,2,0
DSM02-Wohin,G#4,33,2.5,1,0.5,nIçt,4,0
DSM02-Wohin,A4,34,1.0,2,0.5,'veʁ,3,1
DSM02-Wohin,A4,34,1.5,1,0.5,den,3,0
DSM02-Wohin,E5,38,2.0,2,0.5,'ɾat,0,1
DSM02-Wohin,E5,38,2.5,1,0.25,miʁ,4,0
DSM02-Wohin,D5,37,2.75,0,0.25,miʁ,4,0
DSM02-Wohin,C5,36,1.0,2,1.0,'gap,0,1
DSM02-Wohin,A4,34,2.5,1,0.5,Iç,4,0
DSM02-Wohin,B4,35,1.0,2,0.25,'mʊs,4,1
DSM02-Wohin,C5,36,1.25,0,0.25,'mʊs,4,1
DSM02-Wohin,B4,35,1.5,1,0.25,tə,2,0
DSM02-Wohin,C5,36,1.75,0,0.25,tə,2,0
DSM02-Wohin,D5,37,2.0,2,0.5,'a:ʊχ,0,1
DSM02-Wohin,D5,37,2.5,1,0.5,hI,4,0
DSM02-Wohin,D5,37,1.0,2,0.75,'nʊn,4,1
DSM02-Wohin,B4,35,1.75,0,0.25,'nʊn,4,1
DSM02-Wohin,G4,33,2.0,2,0.5,təʁ,2,0
DSM02-Wohin,B4,35,2.5,1,0.25,mIt,4,0
DSM02-Wohin,G4,33,2.75,0,0.25,mIt,4,0
DSM02-Wohin,D4,30,1.0,2,0.5,'ma:I,0,1
DSM02-Wohin,D4,30,1.5,1,0.5,nəm,2,0
DSM02-Wohin,D4,30,2.0,2,0.25,'van,0,1
DSM02-Wohin,F#4,32,2.25,0,0.25,'van,0,1
DSM02-Wohin,A4,34,2.5,1,0.25,dəʁ,2,0
DSM02-Wohin,F#4,32,2.75,0,0.25,dəʁ,2,0
DSM02-Wohin,G4,33,1.0,2,1.0,'ʃtap,0,1
DSM02-Wohin,B4,35,2.5,1,0.25,Iç,4,0
DSM02-Wohin,C5,36,2.75,0,0.25,Iç,4,0
DSM02-Wohin,D5,37,1.0,2,0.5,'mʊs,4,1
DSM02-Wohin,D5,37,1.5,1,0.5,tə,2,0
DSM02-Wohin,D5,37,2.0,2,0.5,'a:ʊχ,0,1
DSM02-Wohin,D5,37,2.5,1,0.25,hI,4,0
DSM02-Wohin,C#5,36,2.75,0,0.25,hI,4,0
DSM02-Wohin,D5,37,1.0,2,0.75,'nʊn,4,1
DSM02-Wohin,B4,35,1.75,0,0.25,'nʊn,4,1
DSM02-Wohin,G4,33,2.0,2,0.5,təʁ,2,0
DSM02-Wohin,B4,35,2.5,1,0.25,mIt,4,0
DSM02-Wohin,G4,33,2.75,0,0.25,mIt,4,0
DSM02-Wohin,D4,30,1.0,2,0.5,'ma:I,0,1
DSM02-Wohin,D4,30,1.5,1,0.5,nəm,2,0
DSM02-Wohin,D4,30,2.0,2,0.25,'van,0,1
DSM02-Wohin,F#4,32,2.25,0,0.25,'van,0,1
DSM02-Wohin,A4,34,2.5,1,0.25,dəʁ,2,0
DSM02-Wohin,F#4,32,2.75,0,0.25,dəʁ,2,0
DSM02-Wohin,G4,33,1.0,2,1.0,'ʃtap,0,1
DSM02-Wohin,B4,35,2.5,1,0.5,hIn,4,0
DSM02-Wohin,C5,36,1.0,2,0.5,'ʊn,4,1
DSM02-Wohin,B4,35,1.5,1,0.25,təʁ,2,0
DSM02-Wohin,B4,35,1.75,0,0.25,ʊnt,4,0
DSM02-Wohin,A#4,34,2.0,2,0.5,'I,4,1
DSM02-Wohin,B4,35,2.5,1,0.5,məʁ,2,0
DSM02-Wohin,G4,33,1.0,2,1.0,'va:I,0,1
DSM02-Wohin,E4,31,2.0,2,0.5,təʁ,2,0
DSM02-Wohin,F#4,32,2.5,1,0.25,ʊnt,4,0
DSM02-Wohin,G4,33,2.75,0,0.25,ʊnt,4,0
DSM02-Wohin,B4,35,1.0,2,0.5,'Im,4,1
DSM02-Wohin,A4,34,1.5,1,0.25,əʁ,2,0
DSM02-Wohin,A4,34,1.75,0,0.25,dem,3,0
DSM02-Wohin,G#4,33,2.0,2,0.5,'ba,0,1
DSM02-Wohin,A4,34,2.5,1,0.5,χə,2,0
DSM02-Wohin,F#4,32,1.0,2,1.0,'naχ,0,1
DSM02-Wohin,D5,37,2.5,1,0.5,ʊnt,4,0
DSM02-Wohin,D5,37,1.0,2,0.5,'Im,4,1
DSM02-Wohin,D4,30,1.5,1,0.5,əʁ,2,0
DSM02-Wohin,D4,30,2.0,2,0.25,'hɛ,1,1
DSM02-Wohin,F#4,32,2.25,0,0.25,'hɛ,1,1
DSM02-Wohin,A4,34,2.5,1,0.25,ləʁ,2,0
DSM02-Wohin,D5,37,2.75,0,0.25,ləʁ,2,0
DSM02-Wohin,D5,37,1.0,2,1.0,'ra:ʊ,0,1
DSM02-Wohin,B4,35,2.0,2,0.5,ʃtə,2,0
DSM02-Wohin,D5,37,2.5,1,0.25,ʊnt,4,0
DSM02-Wohin,B4,35,2.75,0,0.25,ʊnt,4,0
DSM02-Wohin,A4,34,1.0,2,0.75,'Im,4,1
