song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
DSM06-DerNeugierige,F#4,32,2.5,1,0.5,Iç,4,0
DSM06-DerNeugierige,B4,35,1.0,2,0.75,'fɾa,0,1
DSM06-DerNeugierige,A#4,34,1.75,0,0.25,gə,2,0
DSM06-DerNeugierige,B4,35,2.0,2,0.75,'ka:I,0,1
DSM06-DerNeugierige,D#5,37,2.75,0,0.25,nə,2,0
DSM06-DerNeugierige,B#4,35,1.0,2,0.5,'blu,4,1
DSM06-DerNeugierige,C#5,36,1.5,1,0.5,mə,2,0
DSM06-DerNeugierige,C#5,36,2.5,1,0.5,Iç,4,0
DSM06-DerNeugierige,F#5,39,1.0,2,0.75,'fɾa,0,1
DSM06-DerNeugierige,E5,38,1.75,0,0.25,gə,2,0
DSM06-DerNeugierige,D#5,37,2.0,2,0.75,'ka:I,0,1
DSM06-DerNeugierige,C#5,36,2.75,0,0.25,nən,2,0
DSM06-DerNeugierige,C#5,36,1.0,2,0.5,'ʃtɛɾn,1,1
DSM06-DerNeugierige,D#5,37,1.5,1,0.5,'ʃtɛɾn,1,1
DSM06-DerNeugierige,D#5,37,2.5,1,0.5,zi,4,0
DSM06-DerNeugierige,D#5,37,1.0,2,0.5,'kœ,1,1
DSM06-DerNeugierige,D#5,37,1.5,1,0.25,nən,2,0
DSM06-DerNeugierige,D#5,37,1.75,0,0.25,miɾ,4,0
DSM06-DerNeugierige,E5,38,2.0,2,0.5,'a,0,1
DSM06-DerNeugierige,D#5,37,2.5,1,0.25,lə,2,0
DSM06-DerNeugierige,C#5,36,2.75,0,0.25,nIçt,4,0
DSM06-DerNeugierige,C#5,36,1.0,2,0.5,'za,0,1
DSM06-DerNeugierige,B#4,35,1.5,1,0.5,gən,2,0
DSM06-DerNeugierige,B#4,35,2.5,1,0.5,vas,0,0
DSM06-DerNeugierige,C#5,36,1.0,2,0.5,'Iç,4,1
DSM06-DerNeugierige,E#5,38,1.5,1,0.25,ɛɾ,1,0
DSM06-DerNeugierige,D#5,37,1.75,0,0.25,ɛɾ,1,0
DSM06-DerNeugierige,C#5,36,2.0,2,0.75,'fyɾ,4,1
DSM06-DerNeugierige,E#4,31,2.75,0,0.25,zo,3,0
DSM06-DerNeugierige,F#4,32,1.0,2,1.0,'gɛɾn,1,1
DSM06-DerNeugierige,F#4,32,2.5,1,0.5,Iç,4,0
DSM06-DerNeugierige,B4,35,1.0,2,0.75,'bIn,4,1
DSM06-DerNeugierige,A#4,34,1.75,0,0.25,ja,0,0
DSM06-DerNeugierige,B4,35,2.0,2,0.75,'a:ʊχ,0,1
DSM06-DerNeugierige,D#5,37,2.75,0,0.25,ka:In,0,0
DSM06-DerNeugierige,B#4,35,1.0,2,0.5,'gɛɾt,1,1
DSM06-DerNeugierige,C#5,36,1.5,1,0.5,nəʁ,2,0
DSM06-DerNeugierige,C#5,36,2.5,1,0.5,di,4,0
DSM06-DerNeugierige,F#5,39,1.0,2,0.75,'ʃtɛɾ,1,1
DSM06-DerNeugierige,E5,38,1.75,0,0.25,nə,2,0
