song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
DSM11-Mein,F#4,32,1.0,2,1.0,'bɛç,1,1
DSM11-Mein,D4,30,1.5,1,0.5,la:In,0,0
DSM11-Mein,F#4,32,1.75,0,0.5,la:In,0,0
DSM11-Mein,A4,34,2.0,2,1.0,'las,0,1
DSM11-Mein,A4,34,2.5,1,1.0,da:In,0,0
DSM11-Mein,A4,34,1.0,2,1.0,'ra:ʊ,0,1
DSM11-Mein,G4,33,1.5,1,0.5,ʃən,2,0
DSM11-Mein,F#4,32,1.75,0,0.5,ʃən,2,0
DSM11-Mein,E4,31,2.0,2,2.0,'za:In,0,1
DSM11-Mein,G4,33,1.0,2,1.0,'re,3,1
DSM11-Mein,E4,31,1.5,1,0.5,dəʁ,2,0
DSM11-Mein,G4,33,1.75,0,0.5,dəʁ,2,0
DSM11-Mein,B4,35,2.0,2,1.0,'ʃtɛlt,1,1
DSM11-Mein,B4,35,2.5,1,1.0,ɔ:Yʁ,1,0
DSM11-Mein,B4,35,1.0,2,1.0,'bɾa:ʊ,0,1
DSM11-Mein,A4,34,1.5,1,0.5,sən,2,0
DSM11-Mein,G4,33,1.75,0,0.5,sən,2,0
DSM11-Mein,F#4,32,2.0,2,2.0,'a:In,0,1
DSM11-Mein,B4,35,1.0,2,1.0,'al,0,1
DSM11-Mein,G4,33,1.5,1,0.5,iʁ,4,0
DSM11-Mein,B4,35,1.75,0,0.5,iʁ,4,0
DSM11-Mein,D5,37,2.0,2,1.0,'mʊn,4,1
DSM11-Mein,D5,37,2.5,1,1.0,təɾn,2,0
DSM11-Mein,D5,37,1.0,2,1.0,'valt,0,1
DSM11-Mein,C5,36,1.5,1,0.5,vø,3,0
DSM11-Mein,B4,35,1.75,0,0.5,ge,3,0
DSM11-Mein,A4,34,2.0,2,2.0,'la:In,0,1
DSM11-Mein,B4,35,1.0,2,1.0,'gros,3,1
DSM11-Mein,A4,34,1.5,1,0.5,ʊnt,4,0
DSM11-Mein,G4,33,1.75,0,0.5,ʊnt,4,0
DSM11-Mein,F#4,32,2.0,2,2.0,'kla:In,0,1
DSM11-Mein,E4,31,1.0,2,1.0,'ɛnd,1,1
DSM11-Mein,B4,35,1.5,1,1.0,ət,2,0
DSM11-Mein,A#4,34,2.0,2,0.5,'ɔ:Y,1,1
DSM11-Mein,B4,35,2.25,0,0.5,'ɔ:Y,1,1
DSM11-Mein,G4,33,2.5,1,0.5,ɾə,2,0
DSM11-Mein,E4,31,2.75,0,0.5,ɾə,2,0
DSM11-Mein,D4,30,1.0,2,0.5,'me,3,1
DSM11-Mein,F#4,32,1.25,0,0.5,'me,3,1
DSM11-Mein,D4,30,1.5,1,0.5,lo,3,0
DSM11-Mein,F#4,32,1.75,0,0.5,lo,3,0
DSM11-Mein,A4,34,2.0,2,2.0,'da:In,0,1
DSM11-Mein,A4,34,1.0,2,1.0,'da:In,0,1
DSM11-Mein,E4,31,1.0,2,1.0,'ɛnd,1,1
DSM11-Mein,B4,35,1.5,1,1.0,ət,2,0
DSM11-Mein,A#4,34,2.0,2,0.5,'ɔ:Y,1,1
DSM11-Mein,B4,35,2.25,0,0.5,'ɔ:Y,1,1
DSM11-Mein,G4,33,2.5,1,0.5,ɾə,2,0
DSM11-Mein,E4,31,2.75,0,0.5,ɾə,2,0
DSM11-Mein,D4,30,1.0,2,0.5,'me,3,1
DSM11-Mein,F#4,32,1.25,0,0.5,'me,3,1
DSM11-Mein,D4,30,1.5,1,0.5,lo,3,0
DSM11-Mein,F#4,32,1.75,0,0.5,lo,3,0
DSM11-Mein,A4,34,2.0,2,2.0,'da:In,0,1
DSM11-Mein,A4,34,1.0,2,1.0,'da:In,0,1
DSM11-Mein,E4,31,1.0,2,0.5,'dʊrç,4,1
DSM11-Mein,C#5,36,1.25,0,0.5,'dʊrç,4,1
DSM11-Mein,A4,34,1.5,1,0.5,den,3,0
