song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
DSM13-MitDemGrunenLautenbande,D5,37,1.0,2,0.5,'ʃad,0,1
DSM13-MitDemGrunenLautenbande,C5,36,1.5,1,0.25,ʊm,4,0
DSM13-MitDemGrunenLautenbande,A4,34,1.75,0,0.25,das,0,0
DSM13-MitDemGrunenLautenbande,B-4,35,2.0,2,0.5,'ʃɶ,0,1
DSM13-MitDemGrunenLautenbande,F4,32,2.5,1,0.5,nə,2,0
DSM13-MitDemGrunenLautenbande,E-5,38,1.0,2,0.5,'gry,4,1
DSM13-MitDemGrunenLautenbande,D5,37,1.5,1,0.5,nə,2,0
DSM13-MitDemGrunenLautenbande,C5,36,2.0,2,0.75,'bant,0,1
DSM13-MitDemGrunenLautenbande,C5,36,2.75,0,0.25,'das,0,1
DSM13-MitDemGrunenLautenbande,F5,39,1.0,2,0.5,ɛs,1,0
DSM13-MitDemGrunenLautenbande,E-5,38,1.5,1,0.25,fɛr,1,0
DSM13-MitDemGrunenLautenbande,D5,37,1.75,0,0.25,fɛr,1,0
DSM13-MitDemGrunenLautenbande,D5,37,2.0,2,0.5,'bla:Içt,0,1
DSM13-MitDemGrunenLautenbande,C5,36,2.5,1,0.25,hiʁ,4,0
DSM13-MitDemGrunenLautenbande,A4,34,2.75,0,0.25,hiʁ,4,0
DSM13-MitDemGrunenLautenbande,B-4,35,1.0,2,0.5,'an,0,1
DSM13-MitDemGrunenLautenbande,C5,36,1.5,1,0.5,der,3,0
DSM13-MitDemGrunenLautenbande,D5,37,2.0,2,0.5,'vant,0,1
DSM13-MitDemGrunenLautenbande,D5,37,2.5,1,0.5,Iç,4,0
DSM13-MitDemGrunenLautenbande,C5,36,1.0,2,0.75,'hap,0,1
DSM13-MitDemGrunenLautenbande,C5,36,1.75,0,0.25,das,0,0
DSM13-MitDemGrunenLautenbande,D5,37,2.0,2,0.25,'gryn,4,1
DSM13-MitDemGrunenLautenbande,C5,36,2.25,0,0.25,'gryn,4,1
DSM13-MitDemGrunenLautenbande,B-4,35,2.5,1,0.25,zo,3,0
DSM13-MitDemGrunenLautenbande,A4,34,2.75,0,0.25,zo,3,0
DSM13-MitDemGrunenLautenbande,B-4,35,1.0,2,0.25,'gɛɾn,1,1
DSM13-MitDemGrunenLautenbande,D5,37,1.25,0,0.25,'gɛɾn,1,1
DSM13-MitDemGrunenLautenbande,F5,39,1.5,1,1.0,'gɛɾn,1,1
DSM13-MitDemGrunenLautenbande,F5,39,2.5,1,0.5,Iç,4,0
DSM13-MitDemGrunenLautenbande,F5,39,1.0,2,0.5,'hap,0,1
DSM13-MitDemGrunenLautenbande,G4,33,1.5,1,0.25,'hap,0,1
DSM13-MitDemGrunenLautenbande,G4,33,1.75,0,0.25,das,0,0
DSM13-MitDemGrunenLautenbande,E-5,38,2.0,2,0.5,'gryn,4,1
DSM13-MitDemGrunenLautenbande,D5,37,2.5,1,0.25,'gryn,4,1
DSM13-MitDemGrunenLautenbande,C5,36,2.75,0,0.25,zo,3,0
DSM13-MitDemGrunenLautenbande,B-4,35,1.0,2,1.0,'gɛɾn,1,1
DSM13-MitDemGrunenLautenbande,D5,37,2.5,1,0.5,zo,3,0
DSM13-MitDemGrunenLautenbande,C5,36,1.0,2,0.5,'ʃpɾaχst,0,1
DSM13-MitDemGrunenLautenbande,F4,32,1.5,1,0.5,du,4,0
DSM13-MitDemGrunenLautenbande,F5,39,2.0,2,0.75,'lip,4,1
DSM13-MitDemGrunenLautenbande,A4,34,2.75,0,0.25,çən,2,0
DSM13-MitDemGrunenLautenbande,B-4,35,1.0,2,0.5,'hɔ:Yt,1,1
DSM13-MitDemGrunenLautenbande,C5,36,1.5,1,0.5,tsu,4,0
DSM13-MitDemGrunenLautenbande,D5,37,2.0,2,0.5,'miʁ,4,1
DSM13-MitDemGrunenLautenbande,F5,39,2.5,1,0.5,gla:Iç,0,0
DSM13-MitDemGrunenLautenbande,F4,32,1.0,2,0.25,'knYpf,4,1
DSM13-MitDemGrunenLautenbande,G4,33,1.25,0,0.25,Içs,4,0
DSM13-MitDemGrunenLautenbande,A4,34,1.5,1,0.25,'ap,0,1
DSM13-MitDemGrunenLautenbande,B-4,35,1.75,0,0.25,ʊnt,4,0
DSM13-MitDemGrunenLautenbande,C5,36,2.0,2,0.75,'zɛnt,1,1
DSM13-MitDemGrunenLautenbande,E4,31,2.75,0,0.25,ɛs,1,0
DSM13-MitDemGrunenLautenbande,F4,32,1.0,2,1.0,'diʁ,4,1
DSM13-MitDemGrunenLautenbande,F4,32,2.5,1,0.5,nun,4,0
DSM13-MitDemGrunenLautenbande,C5,36,1.0,2,0.75,'hap,0,1
DSM13-MitDemGrunenLautenbande,C5,36,1.75,0,0.25,das,0,0
DSM13-MitDemGrunenLautenbande,D5,37,2.0,2,0.25,'gɾyn,4,1
DSM13-MitDemGrunenLautenbande,C5,36,2.25,0,0.25,'gɾyn,4,1
DSM13-MitDemGrunenLautenbande,B-4,35,2.5,1,0.25,ə,2,0
DSM13-MitDemGrunenLautenbande,A4,34,2.75,0,0.25,ə,2,0
DSM13-MitDemGrunenLautenbande,B-4,35,1.0,2,0.25,'gɛrn,1,1
DSM13-MitDemGrunenLautenbande,D5,37,1.25,0,0.25,'gɛrn,1,1
DSM13-MitDemGrunenLautenbande,F5,39,1.5,1,1.0,'gɛrn,1,1
DSM13-MitDemGrunenLautenbande,F5,39,2.5,1,0.5,nun,4,0
DSM13-MitDemGrunenLautenbande,F5,39,1.0,2,0.5,'hap,0,1
DSM13-MitDemGrunenLautenbande,G4,33,1.5,1,0.25,'hap,0,1
DSM13-MitDemGrunenLautenbande,G4,33,1.75,0,0.25,das,0,0
DSM13-MitDemGrunenLautenbande,E-5,38,2.0,2,0.5,'gɾyn,4,1
DSM13-MitDemGrunenLautenbande,D5,37,2.5,1,0.25,'gɾyn,4,1
DSM13-MitDemGrunenLautenbande,C5,36,2.75,0,0.25,ə,2,0
DSM13-MitDemGrunenLautenbande,B-4,35,1.0,2,0.5,'gɛrn,1,1
DSM13-MitDemGrunenLautenbande,D5,37,1.0,2,0.5,Ist,4,0
DSM13-MitDemGrunenLautenbande,C5,36,1.5,1,0.25,'a:ʊχ,0,1
DSM13-MitDemGrunenLautenbande,A4,34,1.75,0,0.25,da:In,0,0
DSM13-MitDemGrunenLautenbande,B-4,35,2.0,2,0.5,'gan,0,1
DSM13-MitDemGrunenLautenbande,F4,32,2.5,1,0.5,tsəʁ,2,0
DSM13-MitDemGrunenLautenbande,E-5,38,1.0,2,0.5,'lip,4,1
DSM13-MitDemGrunenLautenbande,D5,37,1.5,1,0.5,stəʁ,2,0
DSM13-MitDemGrunenLautenbande,C5,36,2.0,2,0.75,'va:Is,0,1
DSM13-MitDemGrunenLautenbande,C5,36,2.75,0,0.25,zol,3,0
DSM13-MitDemGrunenLautenbande,F5,39,1.0,2,0.5,'gryn,4,1
DSM13-MitDemGrunenLautenbande,E-5,38,1.5,1,0.25,dɔχ,1,0
DSM13-MitDemGrunenLautenbande,D5,37,1.75,0,0.25,dɔχ,1,0
DSM13-MitDemGrunenLautenbande,D5,37,2.0,2,0.5,'hab,0,1
DSM13-MitDemGrunenLautenbande,C5,36,2.5,1,0.25,ən,2,0
DSM13-MitDemGrunenLautenbande,A4,34,2.75,0,0.25,ən,2,0
DSM13-MitDemGrunenLautenbande,B-4,35,1.0,2,0.5,'za:I,0,1
DSM13-MitDemGrunenLautenbande,C5,36,1.5,1,0.5,nən,2,0
DSM13-MitDemGrunenLautenbande,D5,37,2.0,2,0.5,'pra:Is,0,1
DSM13-MitDemGrunenLautenbande,D5,37,2.5,1,0.5,ʊnt,4,0
DSM13-MitDemGrunenLautenbande,C5,36,1.0,2,0.75,'Iç,4,1
DSM13-MitDemGrunenLautenbande,C5,36,1.75,0,0.25,a:ʊχ,0,0
DSM13-MitDemGrunenLautenbande,D5,37,2.0,2,0.25,'hap,0,1
DSM13-MitDemGrunenLautenbande,C5,36,2.25,0,0.25,'hap,0,1
DSM13-MitDemGrunenLautenbande,B-4,35,2.5,1,0.25,ɛs,1,0
DSM13-MitDemGrunenLautenbande,A4,34,2.75,0,0.25,ɛs,1,0
DSM13-MitDemGrunenLautenbande,B-4,35,1.0,2,0.25,'gɛrn,1,1
DSM13-MitDemGrunenLautenbande,D5,37,1.25,0,0.25,'gɛrn,1,1
DSM13-MitDemGrunenLautenbande,F5,39,1.5,1,1.0,'gɛrn,1,1
DSM13-MitDemGrunenLautenbande,F5,39,2.5,1,0.5,ʊnt,4,0
DSM13-MitDemGrunenLautenbande,F5,39,1.0,2,0.5,'Iç,4,1
DSM13-MitDemGrunenLautenbande,G4,33,1.5,1,0.25,'Iç,4,1
DSM13-MitDemGrunenLautenbande,G4,33,1.75,0,0.25,a:ʊχ,0,0
DSM13-MitDemGrunenLautenbande,E-5,38,2.0,2,0.5,'hap,0,1
DSM13-MitDemGrunenLautenbande,D5,37,2.5,1,0.25,'hap,0,1
DSM13-MitDemGrunenLautenbande,C5,36,2.75,0,0.25,ɛs,1,0
DSM13-MitDemGrunenLautenbande,B-4,35,1.0,2,1.0,'gɛrn,1,1
DSM13-MitDemGrunenLautenbande,D5,37,2.5,1,0.5,va:Il,0,0
DSM13-MitDemGrunenLautenbande,C5,36,1.0,2,0.5,'ʊns,4,1
