song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
DSM14-DerJager,G4,33,2.6666666666666665,0,0.5,vas,0,0
DSM14-DerJager,C4,29,1.0,2,0.5,'zʊχt,4,1
DSM14-DerJager,E-4,31,1.3333333333333333,0,0.5,dɛn,1,0
DSM14-DerJager,D4,30,1.6666666666666665,0,0.5,deʁ,3,0
DSM14-DerJager,C4,29,2.0,2,0.5,'jɛ,1,1
DSM14-DerJager,E-4,31,2.3333333333333335,0,0.5,gəʁ,2,0
DSM14-DerJager,G4,33,2.6666666666666665,0,0.5,am,0,0
DSM14-DerJager,A-4,34,1.0,2,1.0,'myl,4,1
DSM14-DerJager,F4,32,1.6666666666666665,0,0.5,baχ,0,0
DSM14-DerJager,G4,33,2.0,2,1.0,'hiɾ,4,1
DSM14-DerJager,C5,36,2.6666666666666665,0,0.5,bla:Ip,0,0
DSM14-DerJager,A-4,34,1.0,2,0.5,'tɾɔ,1,1
DSM14-DerJager,A-4,34,1.3333333333333333,0,0.5,tsi,4,0
DSM14-DerJager,G4,33,1.6666666666666665,0,0.5,gəʁ,2,0
DSM14-DerJager,F4,32,2.0,2,0.5,'jɛ,1,1
DSM14-DerJager,F4,32,2.3333333333333335,0,0.5,gəʁ,2,0
DSM14-DerJager,A-4,34,2.6666666666666665,0,0.5,In,4,0
DSM14-DerJager,G4,33,1.0,2,0.5,'da:I,0,1
DSM14-DerJager,G4,33,1.3333333333333333,0,0.5,nəm,2,0
DSM14-DerJager,F4,32,1.6666666666666665,0,0.5,ɾə,2,0
DSM14-DerJager,E-4,31,2.0,2,1.0,'viɾ,4,1
DSM14-DerJager,G4,33,2.6666666666666665,0,0.5,hiɾ,4,0
DSM14-DerJager,C4,29,1.0,2,0.5,'gIpt,4,1
DSM14-DerJager,E-4,31,1.3333333333333333,0,0.5,ɛs,1,0
DSM14-DerJager,D4,30,1.6666666666666665,0,0.5,ka:In,0,0
DSM14-DerJager,C4,29,2.0,2,0.5,'vIlt,4,1
DSM14-DerJager,E-4,31,2.3333333333333335,0,0.5,'vIlt,4,1
DSM14-DerJager,G4,33,2.6666666666666665,0,0.5,tsu,4,0
DSM14-DerJager,A-4,34,1.0,2,0.5,'ja,0,1
DSM14-DerJager,A-4,34,1.3333333333333333,0,0.5,gən,2,0
DSM14-DerJager,F4,32,1.6666666666666665,0,0.5,fyɾ,4,0
DSM14-DerJager,G4,33,2.0,2,1.0,'dIç,4,1
DSM14-DerJager,C5,36,2.6666666666666665,0,0.5,hiɾ,4,0
DSM14-DerJager,A-4,34,1.0,2,0.5,'vont,3,1
DSM14-DerJager,A-4,34,1.3333333333333333,0,0.5,nuɾ,4,0
DSM14-DerJager,G4,33,1.6666666666666665,0,0.5,a:In,0,0
DSM14-DerJager,F4,32,2.0,2,0.5,'ɾe,3,1
DSM14-DerJager,F4,32,2.3333333333333335,0,0.5,la:In,0,0
DSM14-DerJager,A-4,34,2.6666666666666665,0,0.5,a:In,0,0
DSM14-DerJager,G4,33,1.0,2,0.5,'tsa,0,1
DSM14-DerJager,G4,33,1.3333333333333333,0,0.5,məs,2,0
DSM14-DerJager,F4,32,1.6666666666666665,0,0.5,fyɾ,4,0
DSM14-DerJager,E-4,31,2.0,2,1.0,'mIç,4,1
DSM14-DerJager,G4,33,2.6666666666666665,0,0.5,ʊnt,4,0
DSM14-DerJager,F4,32,1.0,2,0.5,'vIlst,4,1
DSM14-DerJager,F4,32,1.3333333333333333,0,0.5,du,4,0
DSM14-DerJager,F4,32,1.6666666666666665,0,0.5,das,0,0
