song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
DSM15-EifersuchtUndStolz,D4,30,2.5,1,0.5,vo,3,0
DSM15-EifersuchtUndStolz,B-4,35,1.0,2,0.75,'hIn,4,1
DSM15-EifersuchtUndStolz,F#4,32,1.75,0,0.25,zo,3,0
DSM15-EifersuchtUndStolz,G4,33,2.0,2,0.75,'ʃnɛl,1,1
DSM15-EifersuchtUndStolz,A4,34,2.75,0,0.25,zo,3,0
DSM15-EifersuchtUndStolz,B-4,35,1.0,2,0.75,'kɾa:ʊs,0,1
DSM15-EifersuchtUndStolz,F#4,32,1.75,0,0.25,ʊnt,4,0
DSM15-EifersuchtUndStolz,G4,33,2.0,2,0.75,'vIlt,4,1
DSM15-EifersuchtUndStolz,A4,34,2.75,0,0.25,ma:In,0,0
DSM15-EifersuchtUndStolz,B-4,35,1.0,2,1.0,'li,4,1
DSM15-EifersuchtUndStolz,C5,36,2.0,2,1.0,bəʁ,2,0
DSM15-EifersuchtUndStolz,D5,37,1.0,2,1.0,'baχ,0,1
DSM15-EifersuchtUndStolz,F4,32,2.5,1,0.5,a:Ilst,0,0
DSM15-EifersuchtUndStolz,D5,37,1.0,2,0.75,'du,4,1
DSM15-EifersuchtUndStolz,A4,34,1.75,0,0.25,fɔl,1,0
DSM15-EifersuchtUndStolz,B-4,35,2.0,2,0.75,'tsɔɾn,1,1
DSM15-EifersuchtUndStolz,C5,36,2.75,0,0.25,dem,3,0
DSM15-EifersuchtUndStolz,D5,37,1.0,2,0.75,'fɾɛ,1,1
DSM15-EifersuchtUndStolz,A4,34,1.75,0,0.25,çən,2,0
DSM15-EifersuchtUndStolz,B-4,35,2.0,2,0.5,'bɾy,4,1
DSM15-EifersuchtUndStolz,C5,36,2.5,1,0.5,dəʁ,2,0
DSM15-EifersuchtUndStolz,D5,37,1.0,2,0.5,'jɛ,1,1
DSM15-EifersuchtUndStolz,F5,39,1.5,1,1.0,'jɛ,1,1
DSM15-EifersuchtUndStolz,D5,37,2.5,1,0.5,gəʁ,2,0
DSM15-EifersuchtUndStolz,E5,38,1.0,2,1.0,'naχ,0,1
