song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
DSM18-TrockneBlumen,B4,35,2.75,0,0.25,iɾ,4,0
DSM18-TrockneBlumen,B4,35,1.0,2,0.75,'blym,4,1
DSM18-TrockneBlumen,B4,35,1.75,0,0.25,la:In,0,0
DSM18-TrockneBlumen,E5,38,2.0,2,0.5,'a,0,1
DSM18-TrockneBlumen,E5,38,2.5,1,0.25,lə,2,0
DSM18-TrockneBlumen,E5,38,2.75,0,0.25,di,4,0
DSM18-TrockneBlumen,G4,33,1.0,2,0.25,'zi,4,1
DSM18-TrockneBlumen,F#4,32,1.25,0,0.25,'zi,4,1
DSM18-TrockneBlumen,G4,33,1.5,1,0.25,miɾ,4,0
DSM18-TrockneBlumen,A4,34,1.75,0,0.25,miɾ,4,0
DSM18-TrockneBlumen,B4,35,2.0,2,0.75,'gap,0,1
DSM18-TrockneBlumen,B4,35,2.75,0,0.25,ɔ:Yç,1,0
DSM18-TrockneBlumen,B4,35,1.0,2,0.75,'zɔl,1,1
DSM18-TrockneBlumen,B4,35,1.75,0,0.25,man,0,0
DSM18-TrockneBlumen,D5,37,2.0,2,0.5,'le,3,1
DSM18-TrockneBlumen,D5,37,2.5,1,0.25,gən,2,0
DSM18-TrockneBlumen,D5,37,2.75,0,0.25,mIt,4,0
DSM18-TrockneBlumen,A4,34,1.0,2,0.25,'miɾ,4,1
DSM18-TrockneBlumen,C5,36,1.25,0,0.25,'miɾ,4,1
DSM18-TrockneBlumen,B4,35,1.5,1,0.25,Ins,4,0
DSM18-TrockneBlumen,A4,34,1.75,0,0.25,Ins,4,0
DSM18-TrockneBlumen,G4,33,2.0,2,0.75,'gɾap,0,1
DSM18-TrockneBlumen,B4,35,2.75,0,0.25,vi,4,0
DSM18-TrockneBlumen,B4,35,1.0,2,0.75,'zet,3,1
DSM18-TrockneBlumen,B4,35,1.75,0,0.25,iɾ,4,0
DSM18-TrockneBlumen,E5,38,2.0,2,0.5,'a,0,1
DSM18-TrockneBlumen,E5,38,2.5,1,0.25,lə,2,0
DSM18-TrockneBlumen,E5,38,2.75,0,0.25,mIç,4,0
DSM18-TrockneBlumen,G4,33,1.0,2,0.25,'an,0,1
DSM18-TrockneBlumen,F#4,32,1.25,0,0.25,'an,0,1
DSM18-TrockneBlumen,G4,33,1.5,1,0.25,zo,3,0
DSM18-TrockneBlumen,A4,34,1.75,0,0.25,zo,3,0
DSM18-TrockneBlumen,B4,35,2.0,2,0.75,'ve,3,1
DSM18-TrockneBlumen,B4,35,2.75,0,0.25,als,0,0
DSM18-TrockneBlumen,B4,35,1.0,2,0.75,'ɔp,1,1
DSM18-TrockneBlumen,B4,35,1.75,0,0.25,iɾ,4,0
DSM18-TrockneBlumen,E5,38,2.0,2,0.5,'vYs,4,1
DSM18-TrockneBlumen,D5,37,2.5,1,0.25,tət,2,0
DSM18-TrockneBlumen,D5,37,2.75,0,0.25,vi,4,0
DSM18-TrockneBlumen,A4,34,1.0,2,0.25,'miɾ,4,1
DSM18-TrockneBlumen,C5,36,1.25,0,0.25,'miɾ,4,1
DSM18-TrockneBlumen,B4,35,1.5,1,0.25,gə,2,0
DSM18-TrockneBlumen,A4,34,1.75,0,0.25,gə,2,0
DSM18-TrockneBlumen,B4,35,2.0,2,0.75,'ʃe,3,1
DSM18-TrockneBlumen,B4,35,2.75,0,0.25,iɾ,4,0
DSM18-TrockneBlumen,B4,35,1.0,2,0.25,'blym,4,1
DSM18-TrockneBlumen,F#4,32,1.25,0,0.25,'blym,4,1
DSM18-TrockneBlumen,F#4,32,1.5,1,0.25,la:In,0,0
DSM18-TrockneBlumen,B4,35,1.75,0,0.25,la:In,0,0
DSM18-TrockneBlumen,B4,35,2.0,2,0.25,'a,0,1
DSM18-TrockneBlumen,G4,33,2.25,0,0.25,'a,0,1
DSM18-TrockneBlumen,G4,33,2.5,1,0.25,lə,2,0
DSM18-TrockneBlumen,B4,35,2.75,0,0.25,vi,4,0
DSM18-TrockneBlumen,D5,37,1.0,2,0.5,'vɛlk,1,1
DSM18-TrockneBlumen,E5,38,1.5,1,0.25,vi,4,0
DSM18-TrockneBlumen,C5,36,1.75,0,0.25,vi,4,0
DSM18-TrockneBlumen,B4,35,2.0,2,0.75,'blas,0,1
DSM18-TrockneBlumen,B4,35,2.75,0,0.25,iɾ,4,0
DSM18-TrockneBlumen,B4,35,1.0,2,0.25,'blym,4,1
DSM18-TrockneBlumen,F#4,32,1.25,0,0.25,'blym,4,1
DSM18-TrockneBlumen,F#4,32,1.5,1,0.25,la:In,0,0
DSM18-TrockneBlumen,B4,35,1.75,0,0.25,la:In,0,0
DSM18-TrockneBlumen,B4,35,2.0,2,0.25,'a,0,1
DSM18-TrockneBlumen,G4,33,2.25,0,0.25,'a,0,1
DSM18-TrockneBlumen,G4,33,2.5,1,0.25,lə,2,0
DSM18-TrockneBlumen,B4,35,2.75,0,0.25,vo,3,0
DSM18-TrockneBlumen,E5,38,1.0,2,0.75,'fɔn,1,1
DSM18-TrockneBlumen,D#5,37,1.75,0,0.25,zo,3,0
DSM18-TrockneBlumen,F#5,39,2.0,2,1.0,'nas,0,1
DSM18-TrockneBlumen,F#5,39,1.0,2,1.0,'nas,0,1
DSM18-TrockneBlumen,B4,35,2.75,0,0.25,aχ,0,0
DSM18-TrockneBlumen,B4,35,1.0,2,0.75,'tɾɛ,1,1
DSM18-TrockneBlumen,B4,35,1.75,0,0.25,nən,2,0
DSM18-TrockneBlumen,E5,38,2.0,2,0.5,'ma,0,1
DSM18-TrockneBlumen,E5,38,2.5,1,0.25,χən,2,0
DSM18-TrockneBlumen,E5,38,2.75,0,0.25,nIçt,4,0
DSM18-TrockneBlumen,G4,33,1.0,2,0.25,'ma:I,0,1
DSM18-TrockneBlumen,F#4,32,1.25,0,0.25,'ma:I,0,1
DSM18-TrockneBlumen,G4,33,1.5,1,0.25,ən,2,0
DSM18-TrockneBlumen,A4,34,1.75,0,0.25,ən,2,0
DSM18-TrockneBlumen,B4,35,2.0,2,0.5,'gɾyn,4,1
DSM18-TrockneBlumen,B4,35,2.5,1,0.25,ma,0,0
DSM18-TrockneBlumen,B4,35,2.75,0,0.25,χən,2,0
