song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
DSM20-DesBachesWiegenlied,G#4,33,2.5,1,0.5,gu,4,0
DSM20-DesBachesWiegenlied,A4,34,2.75,0,0.5,tə,2,0
DSM20-DesBachesWiegenlied,B4,35,1.0,2,1.0,'ɾu,4,1
DSM20-DesBachesWiegenlied,G#4,33,1.5,1,0.5,gu,4,0
DSM20-DesBachesWiegenlied,A4,34,1.75,0,0.5,tə,2,0
DSM20-DesBachesWiegenlied,B4,35,2.0,2,1.0,'ɾu,4,1
DSM20-DesBachesWiegenlied,B4,35,2.5,1,0.5,tu,4,0
DSM20-DesBachesWiegenlied,E5,38,2.75,0,0.5,di,4,0
DSM20-DesBachesWiegenlied,D#5,37,1.0,2,1.5,'a:ʊ,0,1
DSM20-DesBachesWiegenlied,A4,34,1.75,0,0.5,gən,2,0
DSM20-DesBachesWiegenlied,G#4,33,2.0,2,1.0,'tsu,4,1
DSM20-DesBachesWiegenlied,G#4,33,2.5,1,0.5,gu,4,0
DSM20-DesBachesWiegenlied,A4,34,2.75,0,0.5,tə,2,0
DSM20-DesBachesWiegenlied,B4,35,1.0,2,1.0,'ɾu,4,1
DSM20-DesBachesWiegenlied,G#4,33,1.5,1,0.5,gu,4,0
DSM20-DesBachesWiegenlied,A4,34,1.75,0,0.5,tə,2,0
DSM20-DesBachesWiegenlied,B4,35,2.0,2,1.0,'ɾu,4,1
DSM20-DesBachesWiegenlied,B4,35,2.5,1,0.5,tu,4,0
DSM20-DesBachesWiegenlied,E5,38,2.75,0,0.5,di,4,0
DSM20-DesBachesWiegenlied,D#5,37,1.0,2,0.5,'a:ʊ,0,1
DSM20-DesBachesWiegenlied,F#5,39,1.25,0,0.5,'a:ʊ,0,1
DSM20-DesBachesWiegenlied,D#5,37,1.5,1,0.5,'a:ʊ,0,1
DSM20-DesBachesWiegenlied,A4,34,1.75,0,0.5,gən,2,0
DSM20-DesBachesWiegenlied,G#4,33,2.0,2,1.0,'tsu,4,1
DSM20-DesBachesWiegenlied,G#4,33,1.0,2,1.0,'vand,0,1
DSM20-DesBachesWiegenlied,A4,34,1.5,1,0.5,ɾəʁ,2,0
DSM20-DesBachesWiegenlied,B4,35,1.75,0,0.5,du,4,0
DSM20-DesBachesWiegenlied,B4,35,2.0,2,0.75,'my,4,1
DSM20-DesBachesWiegenlied,C#5,36,2.375,0,0.25,'my,4,1
DSM20-DesBachesWiegenlied,B4,35,2.5,1,0.5,dəʁ,2,0
DSM20-DesBachesWiegenlied,B4,35,2.75,0,0.5,du,4,0
DSM20-DesBachesWiegenlied,E5,38,1.0,2,1.0,'bIst,4,1
DSM20-DesBachesWiegenlied,D#5,37,1.5,1,0.5,tsu,4,0
DSM20-DesBachesWiegenlied,C#5,36,1.75,0,0.5,tsu,4,0
DSM20-DesBachesWiegenlied,G#4,33,2.0,2,1.0,'ha:ʊs,0,1
DSM20-DesBachesWiegenlied,C#5,36,2.5,1,0.5,di,4,0
DSM20-DesBachesWiegenlied,D5,37,2.75,0,0.5,di,4,0
DSM20-DesBachesWiegenlied,E5,38,1.0,2,1.0,'tɾɔ:Y,1,1
DSM20-DesBachesWiegenlied,C#5,36,1.5,1,0.5,Ist,4,0
DSM20-DesBachesWiegenlied,D5,37,1.75,0,0.5,Ist,4,0
DSM20-DesBachesWiegenlied,E5,38,2.0,2,1.5,'hiɾ,4,1
DSM20-DesBachesWiegenlied,C#5,36,2.75,0,0.5,zɔlst,1,0
DSM20-DesBachesWiegenlied,E5,38,1.0,2,0.5,'li,4,1
DSM20-DesBachesWiegenlied,D5,37,1.25,0,0.5,'li,4,1
DSM20-DesBachesWiegenlied,C#5,36,1.5,1,0.5,gən,2,0
DSM20-DesBachesWiegenlied,B4,35,1.75,0,0.5,ba:I,0,0
DSM20-DesBachesWiegenlied,C#5,36,2.0,2,1.0,'miɾ,4,1
DSM20-DesBachesWiegenlied,C#5,36,2.5,1,0.5,di,4,0
DSM20-DesBachesWiegenlied,D5,37,2.75,0,0.5,di,4,0
DSM20-DesBachesWiegenlied,E5,38,1.0,2,1.0,'tɾɔ:Y,1,1
DSM20-DesBachesWiegenlied,C#5,36,1.5,1,0.5,Ist,4,0
DSM20-DesBachesWiegenlied,D5,37,1.75,0,0.5,Ist,4,0
DSM20-DesBachesWiegenlied,E5,38,2.0,2,1.5,'hiɾ,4,1
DSM20-DesBachesWiegenlied,C#5,36,2.75,0,0.5,zɔlst,1,0
DSM20-DesBachesWiegenlied,E5,38,1.0,2,0.5,'li,4,1
DSM20-DesBachesWiegenlied,D5,37,1.25,0,0.5,'li,4,1
DSM20-DesBachesWiegenlied,C#5,36,1.5,1,0.5,gən,2,0
DSM20-DesBachesWiegenlied,B4,35,1.75,0,0.5,ba:I,0,0
DSM20-DesBachesWiegenlied,C#5,36,2.0,2,1.0,'miɾ,4,1
DSM20-DesBachesWiegenlied,B4,35,2.5,1,0.5,bis,4,0
DSM20-DesBachesWiegenlied,B4,35,2.75,0,0.5,das,0,0
DSM20-DesBachesWiegenlied,C#5,36,1.0,2,1.0,'meɾ,3,1
DSM20-DesBachesWiegenlied,B4,35,1.5,1,0.5,'meɾ,3,1
DSM20-DesBachesWiegenlied,B4,35,1.75,0,0.5,vIl,4,0
DSM20-DesBachesWiegenlied,G5,40,2.0,2,1.0,'tɾIŋ,4,1
DSM20-DesBachesWiegenlied,E5,38,2.5,1,0.5,kən,2,0
DSM20-DesBachesWiegenlied,B4,35,2.75,0,0.5,di,4,0
DSM20-DesBachesWiegenlied,C#5,36,1.0,2,1.0,'bɛç,1,1
DSM20-DesBachesWiegenlied,B4,35,1.5,1,0.5,'bɛç,1,1
DSM20-DesBachesWiegenlied,B4,35,1.75,0,0.5,la:In,0,0
DSM20-DesBachesWiegenlied,G#4,33,2.0,2,1.0,'a:ʊs,0,1
DSM20-DesBachesWiegenlied,B4,35,2.5,1,0.5,bis,4,0
DSM20-DesBachesWiegenlied,B4,35,2.75,0,0.5,das,0,0
DSM20-DesBachesWiegenlied,C5,36,1.0,2,1.0,'meɾ,3,1
DSM20-DesBachesWiegenlied,B4,35,1.5,1,0.5,'meɾ,3,1
DSM20-DesBachesWiegenlied,A4,34,1.75,0,0.5,vIl,4,0
DSM20-DesBachesWiegenlied,G#4,33,2.0,2,0.5,'tɾIŋ,4,1
DSM20-DesBachesWiegenlied,E5,38,2.25,0,0.5,'tɾIŋ,4,1
