song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
DerJager,G4,33,2.6666666666666665,0,0.5,vas,0,0
DerJager,C4,29,1.0,2,0.5,'zʊχt,2,1
DerJager,E-4,31,1.3333333333333333,0,0.5,dɛn,0,0
DerJager,D4,30,1.6666666666666665,0,0.5,deʁ,2,0
DerJager,C4,29,2.0,2,0.5,'jɛ,0,1
DerJager,E-4,31,2.3333333333333335,0,0.5,gəʁ,1,0
DerJager,G4,33,2.6666666666666665,0,0.5,am,0,0
DerJager,A-4,34,1.0,2,1.0,'myl,2,1
DerJager,F4,32,1.6666666666666665,0,0.5,baχ,0,0
DerJager,G4,33,2.0,2,1.0,'hiɾ,2,1
DerJager,C5,36,2.6666666666666665,0,0.5,bla:Ip,0,0
DerJager,A-4,34,1.0,2,0.5,'tɾɔ,0,1
DerJager,A-4,34,1.3333333333333333,0,0.5,tsi,2,0
DerJager,G4,33,1.6666666666666665,0,0.5,gəʁ,1,0
DerJager,F4,32,2.0,2,0.5,'jɛ,0,1
DerJager,F4,32,2.3333333333333335,0,0.5,gəʁ,1,0
DerJager,A-4,34,2.6666666666666665,0,0.5,In,2,0
DerJager,G4,33,1.0,2,0.5,'da:I,0,1
DerJager,G4,33,1.3333333333333333,0,0.5,nəm,1,0
DerJager,F4,32,1.6666666666666665,0,0.5,ɾə,1,0
DerJager,E-4,31,2.0,2,1.0,'viɾ,2,1
DerJager,G4,33,2.6666666666666665,0,0.5,hiɾ,2,0
DerJager,C4,29,1.0,2,0.5,'gIpt,2,1
DerJager,E-4,31,1.3333333333333333,0,0.5,ɛs,0,0
DerJager,D4,30,1.6666666666666665,0,0.5,ka:In,0,0
DerJager,C4,29,2.0,2,0.5,'vIlt,2,1
DerJager,E-4,31,2.3333333333333335,0,0.5,'vIlt,2,1
DerJager,G4,33,2.6666666666666665,0,0.5,tsu,2,0
DerJager,A-4,34,1.0,2,0.5,'ja,0,1
DerJager,A-4,34,1.3333333333333333,0,0.5,gən,1,0
DerJager,F4,32,1.6666666666666665,0,0.5,fyɾ,2,0
DerJager,G4,33,2.0,2,1.0,'dIç,2,1
DerJager,C5,36,2.6666666666666665,0,0.5,hiɾ,2,0
DerJager,A-4,34,1.0,2,0.5,'vont,2,1
DerJager,A-4,34,1.3333333333333333,0,0.5,nuɾ,2,0
DerJager,G4,33,1.6666666666666665,0,0.5,a:In,0,0
DerJager,F4,32,2.0,2,0.5,'ɾe,2,1
DerJager,F4,32,2.3333333333333335,0,0.5,la:In,0,0
DerJager,A-4,34,2.6666666666666665,0,0.5,a:In,0,0
DerJager,G4,33,1.0,2,0.5,'tsa,0,1
DerJager,G4,33,1.3333333333333333,0,0.5,məs,1,0
DerJager,F4,32,1.6666666666666665,0,0.5,fyɾ,2,0
DerJager,E-4,31,2.0,2,1.0,'mIç,2,1
DerJager,G4,33,2.6666666666666665,0,0.5,ʊnt,2,0
DerJager,F4,32,1.0,2,0.5,'vIlst,2,1
DerJager,F4,32,1.3333333333333333,0,0.5,du,2,0
DerJager,F4,32,1.6666666666666665,0,0.5,das,0,0
DerJager,G4,33,2.0,2,0.5,'tsɛɾt,0,1
DerJager,G4,33,2.3333333333333335,0,0.5,lI,2,0
DerJager,G4,33,2.6666666666666665,0,0.5,çə,1,0
DerJager,B4,35,1.0,2,1.0,'ɾe,2,1
DerJager,B4,35,1.6666666666666665,0,0.5,la:In,0,0
DerJager,C5,36,2.0,2,1.0,'zen,2,1
DerJager,G4,33,2.6666666666666665,0,0.5,zo,2,0
DerJager,F4,32,1.0,2,0.5,'las,0,1
DerJager,F4,32,1.3333333333333333,0,0.5,'da:I,0,1
DerJager,F4,32,1.6666666666666665,0,0.5,nə,1,0
DerJager,G4,33,2.0,2,0.5,'bYk,none,1
DerJager,G4,33,2.3333333333333335,0,0.5,sən,1,0
DerJager,G4,33,2.6666666666666665,0,0.5,Im,2,0
DerJager,B4,35,1.0,2,1.0,'val,0,1
DerJager,B4,35,1.6666666666666665,0,0.5,də,1,0
DerJager,C5,36,2.0,2,1.0,ʃten,2,0
DerJager,C5,36,2.6666666666666665,0,0.5,ʊnt,2,0
DerJager,G4,33,1.0,2,0.5,'las,0,1
DerJager,G4,33,1.3333333333333333,0,0.5,da:i,0,0
DerJager,G4,33,1.6666666666666665,0,0.5,nə,1,0
DerJager,A-4,34,2.0,2,0.5,'kla,0,1
DerJager,B-4,35,2.3333333333333335,0,0.5,fən,1,0
DerJager,C5,36,2.6666666666666665,0,0.5,dən,1,0
DerJager,D5,37,1.0,2,0.5,'hʊn,2,1
DerJager,C5,36,1.3333333333333333,0,0.5,də,1,0
DerJager,B-4,35,1.6666666666666665,0,0.5,tsu,2,0
DerJager,E-5,38,2.0,2,1.0,'ha:ʊs,0,1
DerJager,G4,33,2.6666666666666665,0,0.5,ʊnt,2,0
DerJager,G4,33,1.0,2,0.5,'las,0,1
DerJager,G4,33,1.3333333333333333,0,0.5,a:ʊf,0,0
DerJager,G4,33,1.6666666666666665,0,0.5,dem,2,0
DerJager,A-4,34,2.0,2,0.5,'hɔɾ,0,1
DerJager,B-4,35,2.3333333333333335,0,0.5,nə,1,0
DerJager,C5,36,2.6666666666666665,0,0.5,den,2,0
DerJager,D5,37,1.0,2,0.5,'za:ʊs,0,1
DerJager,C5,36,1.3333333333333333,0,0.5,'za:ʊs,0,1
DerJager,B-4,35,1.6666666666666665,0,0.5,ʊnt,2,0
DerJager,E-5,38,2.0,2,1.0,'bɾa:ʊs,0,1
DerJager,B-4,35,2.6666666666666665,0,0.5,ʊnt,2,0
DerJager,B4,35,1.0,2,0.5,'ʃe,2,1
DerJager,B4,35,1.3333333333333333,0,0.5,ɾə,1,0
DerJager,B4,35,1.6666666666666665,0,0.5,fɔm,0,0
DerJager,C5,36,2.0,2,0.5,'kI,2,1
DerJager,C5,36,2.3333333333333335,0,0.5,nə,1,0
DerJager,C5,36,2.6666666666666665,0,0.5,das,0,0
DerJager,D5,37,1.0,2,0.5,'ʃtɾʊ,2,1
DerJager,D5,37,1.3333333333333333,0,0.5,pi,2,0
DerJager,D5,37,1.6666666666666665,0,0.5,gə,1,0
DerJager,E-5,38,2.0,2,1.0,'haɾ,0,1
DerJager,E-5,38,2.6666666666666665,0,0.5,zɔnst,0,0
DerJager,G5,40,1.0,2,0.5,'ʃɔ:Yt,0,1
DerJager,E-5,38,1.3333333333333333,0,0.5,zIç,2,0
DerJager,E-5,38,1.6666666666666665,0,0.5,Im,2,0
DerJager,E-5,38,2.0,2,0.5,'gaɾ,0,1
DerJager,C5,36,2.3333333333333335,0,0.5,tən,1,0
DerJager,C5,36,2.6666666666666665,0,0.5,das,0,0
DerJager,G4,33,1.0,2,0.5,'ɾe,2,1
DerJager,G4,33,1.3333333333333333,0,0.5,la:In,0,0
DerJager,G4,33,1.6666666666666665,0,0.5,fyɾ,2,0
DerJager,C5,36,2.0,2,1.0,'vaɾ,0,1
DerJager,G4,33,2.6666666666666665,0,0.5,ʊnt,2,0
DerJager,B4,35,1.0,2,0.5,'ʃe,2,1
DerJager,B4,35,1.3333333333333333,0,0.5,ɾə,1,0
DerJager,B4,35,1.6666666666666665,0,0.5,fɔm,0,0
DerJager,C5,36,2.0,2,0.5,'kI,2,1
DerJager,C5,36,2.3333333333333335,0,0.5,nə,1,0
DerJager,C5,36,2.6666666666666665,0,0.5,das,0,0
DerJager,D5,37,1.0,2,0.5,'ʃtɾʊ,2,1
DerJager,D5,37,1.3333333333333333,0,0.5,pi,2,0
DerJager,D5,37,1.6666666666666665,0,0.5,gə,1,0
DerJager,E-5,38,2.0,2,1.0,'haɾ,0,1
DerJager,E-5,38,2.6666666666666665,0,0.5,zɔnst,0,0
DerJager,G5,40,1.0,2,0.5,'ʃɔ:Yt,0,1
DerJager,E-5,38,1.3333333333333333,0,0.5,zIç,2,0
DerJager,E-5,38,1.6666666666666665,0,0.5,Im,2,0
DerJager,E-5,38,2.0,2,0.5,'gaɾ,0,1
DerJager,C5,36,2.3333333333333335,0,0.5,tən,1,0
DerJager,C5,36,2.6666666666666665,0,0.5,das,0,0
DerJager,G4,33,1.0,2,0.5,'ɾe,2,1
DerJager,G4,33,1.3333333333333333,0,0.5,la:In,0,0
DerJager,G4,33,1.6666666666666665,0,0.5,fyɾ,2,0
DerJager,C5,36,2.0,2,1.0,'vaɾ,0,1
DerJager,G4,33,2.6666666666666665,0,0.5,dɔχ,0,0
DerJager,C4,29,1.0,2,0.5,'bɛ,0,1
DerJager,E-4,31,1.3333333333333333,0,0.5,səʁ,1,0
DerJager,D4,30,1.6666666666666665,0,0.5,du,2,0
DerJager,C4,29,2.0,2,0.5,'bli,2,1
DerJager,E-4,31,2.3333333333333335,0,0.5,bəst,1,0
DerJager,G4,33,2.6666666666666665,0,0.5,Im,2,0
DerJager,A-4,34,1.0,2,0.5,'val,0,1
DerJager,A-4,34,1.3333333333333333,0,0.5,də,1,0
DerJager,F4,32,1.6666666666666665,0,0.5,da,0,0
DerJager,G4,33,2.0,2,1.0,'tsu,2,1
DerJager,C5,36,2.6666666666666665,0,0.5,ʊnt,2,0
DerJager,A-4,34,1.0,2,0.5,'li,2,1
DerJager,A-4,34,1.3333333333333333,0,0.5,səst,1,0
DerJager,G4,33,1.6666666666666665,0,0.5,di,2,0
