pitch,diatonicNumber,beat,duration,IPA,vowelCategory
F#4,32,2.5,0.5,Iç,2
B4,35,1.0,0.75,'fɾa,0
A#4,34,1.75,0.25,gə,1
B4,35,2.0,0.75,'ka:I,0
D#5,37,2.75,0.25,nə,1
B#4,35,1.0,0.5,'blu,2
C#5,36,1.5,0.5,mə,1
C#5,36,2.5,0.5,Iç,2
F#5,39,1.0,0.75,'fɾa,0
E5,38,1.75,0.25,gə,1
D#5,37,2.0,0.75,'ka:I,0
C#5,36,2.75,0.25,nən,1
C#5,36,1.0,0.5,'ʃtɛɾn,0
D#5,37,1.5,0.5,'ʃtɛɾn,0
D#5,37,2.5,0.5,zi,2
D#5,37,1.0,0.5,'kœ,0
D#5,37,1.5,0.25,nən,1
D#5,37,1.75,0.25,miɾ,2
E5,38,2.0,0.5,'a,0
D#5,37,2.5,0.25,lə,1
C#5,36,2.75,0.25,nIçt,2
C#5,36,1.0,0.5,'za,0
B#4,35,1.5,0.5,gən,1
B#4,35,2.5,0.5,vas,0
C#5,36,1.0,0.5,'Iç,2
E#5,38,1.5,0.25,ɛɾ,0
D#5,37,1.75,0.25,ɛɾ,0
C#5,36,2.0,0.75,'fyɾ,2
E#4,31,2.75,0.25,zo,2
F#4,32,1.0,1.0,'gɛɾn,0
F#4,32,2.5,0.5,Iç,2
B4,35,1.0,0.75,'bIn,2
A#4,34,1.75,0.25,ja,0
B4,35,2.0,0.75,'a:ʊχ,0
D#5,37,2.75,0.25,ka:In,0
B#4,35,1.0,0.5,'gɛɾt,0
C#5,36,1.5,0.5,nəʁ,1
C#5,36,2.5,0.5,di,2
F#5,39,1.0,0.75,'ʃtɛɾ,0
E5,38,1.75,0.25,nə,1
D#5,37,2.0,0.75,'ʃten,2
C#5,36,2.75,0.25,tsu,2
C#5,36,1.0,0.5,'hoχ,2
D#5,37,1.5,0.5,'hoχ,2
D#5,37,2.5,0.5,ma:In,0
D#5,37,1.0,0.25,'bɛç,0
E#4,31,1.25,0.25,'bɛç,0
E#4,31,1.5,0.5,la:In,0
E#4,31,2.0,0.25,'vIl,2
D#5,37,2.25,0.25,'vIl,2
D#5,37,2.5,0.5,Iç,2
B#4,35,1.0,0.5,'fɾa,0
C#5,36,1.5,0.5,gən,1
C#5,36,2.5,0.25,ɔp,0
A#4,34,2.75,0.25,ɔp,0
G#4,33,1.0,0.25,'mIç,2
F#5,39,1.25,0.25,'mIç,2
E#5,38,1.5,0.25,ma:In,0
D#5,37,1.75,0.25,ma:In,0
C#5,36,2.0,0.25,'hɛɾts,0
A#4,34,2.25,0.25,'hɛɾts,0
B4,35,2.5,0.25,bə,1
G#4,33,2.75,0.25,bə,1
F#4,32,1.0,1.0,'lok,2
F#4,32,2.5,0.5,o,2
B4,35,1.0,1.5,'bɛç,0
B4,35,2.5,0.5,la:In,0
A#4,34,3.0,0.5,'ma:I,0
B4,35,3.5,0.5,nəʁ,1
C#5,36,1.0,0.75,'li,2
A#4,34,1.75,0.25,'li,2
B4,35,2.0,1.0,be,2
C#5,36,3.5,0.5,vi,2
D5,37,1.0,1.5,'bIst,2
D5,37,2.5,0.5,du,2
F#5,39,3.0,1/3,'hɔ:Yt,0
E5,38,3.3333333333333335,1/3,'hɔ:Yt,0
D5,37,3.6666666666666665,1/3,zo,2
C#5,36,1.0,2.0,'ʃtʊm,2
F#4,32,3.5,0.5,vIl,2
B4,35,1.0,1.5,'ja,0
B4,35,2.5,0.5,nuɾ,2
D#5,37,3.0,0.5,'a:I,0
D#5,37,3.5,0.5,nəs,1
C#5,36,1.0,0.75,'vI,2
A#4,34,1.75,0.25,'vI,2
B4,35,2.0,1.0,sən,1
F#5,39,3.0,1.0,a:In,0
E5,38,1.0,0.5,'vœɾt,0
D#5,37,1.5,0.25,çən,1
C#5,36,1.75,0.25,çən,1
A#4,34,2.0,1.0,'ʊm,2
C#5,36,3.0,0.75,ʊnt,2
B4,35,3.75,0.25,ʊnt,2
B4,35,1.0,1.0,'ʊm,2
F#5,39,3.0,1.0,a:In,0
F#5,39,1.0,0.25,'vœɾt,0
E5,38,1.25,0.25,'vœɾt,0
D#5,37,1.5,0.25,çən,1
C#5,36,1.75,0.25,çən,1
A#4,34,2.0,1.0,'ʊm,2
C#5,36,3.0,0.75,ʊnt,2
B4,35,3.75,0.25,ʊnt,2
B4,35,1.0,1.0,'ʊm,2
F#5,39,2.0,1.0,ja,0
C#5,36,3.0,0.25,'ha:Ist,0
C#5,36,3.25,0.25,das,0
D#5,37,3.5,0.25,'a:I,0
C#5,36,3.75,0.25,nə,1
B4,35,1.0,0.5,'vœɾt,0
A#4,34,1.5,0.5,çən,1
C#5,36,2.75,0.25,das,0
C#5,36,3.0,0.25,'an,0
C#5,36,3.25,0.25,dɾə,1
C#5,36,3.5,0.25,'ha:I,0
