pitch,diatonicNumber,duration,IPA,vowelCategory
G#4,33,0.5,gu,2
A4,34,0.5,tə,1
B4,35,1.0,'ɾu,2
G#4,33,0.5,gu,2
A4,34,0.5,tə,1
B4,35,1.0,'ɾu,2
B4,35,0.5,tu,2
E5,38,0.5,di,2
D#5,37,1.5,'a:ʊ,0
A4,34,0.5,gən,1
G#4,33,1.0,'tsu,2
G#4,33,0.5,gu,2
A4,34,0.5,tə,1
B4,35,1.0,'ɾu,2
G#4,33,0.5,gu,2
A4,34,0.5,tə,1
B4,35,1.0,'ɾu,2
B4,35,0.5,tu,2
E5,38,0.5,di,2
D#5,37,0.5,'a:ʊ,0
F#5,39,0.5,'a:ʊ,0
D#5,37,0.5,'a:ʊ,0
A4,34,0.5,gən,1
G#4,33,1.0,'tsu,2
G#4,33,1.0,'vand,0
A4,34,0.5,ɾəʁ,1
B4,35,0.5,du,2
B4,35,0.75,'my,2
C#5,36,0.25,'my,2
B4,35,0.5,dəʁ,1
B4,35,0.5,du,2
E5,38,1.0,'bIst,2
D#5,37,0.5,tsu,2
C#5,36,0.5,tsu,2
G#4,33,1.0,'ha:ʊs,0
C#5,36,0.5,di,2
D5,37,0.5,di,2
E5,38,1.0,'tɾɔ:Y,0
C#5,36,0.5,Ist,2
D5,37,0.5,Ist,2
E5,38,1.5,'hiɾ,2
C#5,36,0.5,zɔlst,0
E5,38,0.5,'li,2
D5,37,0.5,'li,2
C#5,36,0.5,gən,1
B4,35,0.5,ba:I,0
C#5,36,1.0,'miɾ,2
C#5,36,0.5,di,2
D5,37,0.5,di,2
E5,38,1.0,'tɾɔ:Y,0
C#5,36,0.5,Ist,2
D5,37,0.5,Ist,2
E5,38,1.5,'hiɾ,2
C#5,36,0.5,zɔlst,0
E5,38,0.5,'li,2
D5,37,0.5,'li,2
C#5,36,0.5,gən,1
B4,35,0.5,ba:I,0
C#5,36,1.0,'miɾ,2
B4,35,0.5,bis,2
B4,35,0.5,das,0
C#5,36,1.0,'meɾ,2
B4,35,0.5,'meɾ,2
B4,35,0.5,vIl,2
G5,40,1.0,'tɾIŋ,2
E5,38,0.5,kən,1
B4,35,0.5,di,2
C#5,36,1.0,'bɛç,0
B4,35,0.5,'bɛç,0
B4,35,0.5,la:In,0
G#4,33,1.0,'a:ʊs,0
B4,35,0.5,bis,2
B4,35,0.5,das,0
C5,36,1.0,'meɾ,2
B4,35,0.5,'meɾ,2
A4,34,0.5,vIl,2
G#4,33,0.5,'tɾIŋ,2
E5,38,0.5,'tɾIŋ,2
B4,35,0.5,kən,1
B4,35,0.5,di,2
F#5,39,1.0,'bɛç,0
E5,38,0.5,la:In,0
D#5,37,0.5,la:In,0
E5,38,2.0,'a:ʊs,0
G#4,33,0.5,vIl,2
A4,34,0.5,vIl,2
B4,35,1.0,'bɛ,0
G#4,33,0.5,tən,1
A4,34,0.5,dIç,2
B4,35,1.5,'kyl,2
E5,38,0.5,a:ʊf,0
D#5,37,1.5,'va:I,0
A4,34,0.5,çəm,1
G#4,33,1.0,'pfyl,2
G#4,33,0.5,vIl,2
A4,34,0.5,vIl,2
B4,35,1.0,'bɛ,0
G#4,33,0.5,tən,1
A4,34,0.5,dIç,2
B4,35,1.5,'kyl,2
E5,38,0.5,a:ʊf,0
D#5,37,0.5,'va:I,0
F#5,39,0.5,'va:I,0
D#5,37,0.5,'va:I,0
A4,34,0.5,çəm,1
G#4,33,1.0,'pfyl,2
A4,34,0.5,In,2
B4,35,0.5,In,2
B4,35,0.75,dem,2
C#5,36,0.25,dem,2
B4,35,0.5,'bla:ʊ,0
B4,35,0.5,ən,1
E5,38,1.0,kɾIs,2
D#5,37,0.5,'ta,0
C#5,36,0.5,lə,1
G#4,33,0.75,nən,1
G#4,33,0.25,'kɛ,0
G#4,33,1.0,məʁ,1
C#5,36,0.5,'la:In,0
D5,37,0.5,'la:In,0
E5,38,1.0,hɛ,0
C#5,36,0.5,'ɾan,0
D5,37,0.5,'ɾan,0
E5,38,1.5,hɛ,0
C#5,36,0.5,'ɾan,0
E5,38,0.5,vas,0
D5,37,0.5,vas,0
C#5,36,0.5,'vi,2
B4,35,0.5,'vi,2
C#5,36,1.0,gən,1
C#5,36,0.5,'kan,0
D5,37,0.5,'kan,0
E5,38,1.0,hɛ,0
C#5,36,0.5,'ɾan,0
D5,37,0.5,'ɾan,0
E5,38,1.5,hɛ,0
C#5,36,0.5,'ɾan,0
E5,38,0.5,vas,0
D5,37,0.5,vas,0
C#5,36,0.5,'vi,2
B4,35,0.5,gən,1
C#5,36,1.0,'kan,0
C#5,36,1.0,'vo,2
B4,35,0.5,gət,1
B4,35,0.5,ʊnt,2
G5,40,1.0,'vi,2
E5,38,0.5,gət,1
B4,35,0.5,den,2
C#5,36,1.0,'kna,0
B4,35,0.5,bən,1
B4,35,0.5,miɾ,2
G#4,33,1.0,'a:In,0
C5,36,1.0,'vo,2
B4,35,0.5,gət,1
