pitch,diatonicNumber,duration,IPA,vowelCategory
F#4,32,0.5,In,2
B4,35,0.5,'gɾyn,2
B4,35,0.5,vIl,2
F#4,32,0.5,'Iç,2
F#4,32,0.5,mIç,2
C#5,36,1.0,'kla:I,0
B4,35,0.5,dən,1
D5,37,0.5,In,2
C#5,36,0.25,'gɾy,2
F#5,39,0.25,'gɾy,2
D5,37,0.5,nə,1
C#5,36,0.5,'tɾɛ,0
B4,35,0.5,nən,1
A#4,34,1.0,'va:I,0
C#5,36,0.5,dən,1
C#5,36,0.25,ma:In,0
D#5,37,0.5,'ʃats,0
D#5,37,0.5,hats,0
C#5,36,0.5,'gɾyn,2
C#5,36,0.5,zo,2
F#5,39,1.5,'gɛɾn,0
F#4,32,0.5,ma:In,0
F#4,32,0.5,'ʃats,0
F#4,32,0.5,hats,0
F#4,32,0.5,'gɾyn,2
G#4,33,0.25,'gɾyn,2
A#4,34,0.25,zo,2
B4,35,1.0,'gɛɾn,0
B4,35,0.5,vIl,2
A4,34,0.5,'zu,2
A4,34,0.5,χən,1
G#4,33,0.5,'a:I,0
A4,34,0.25,nən,1
B4,35,0.25,tsy,2
C#5,36,0.75,'pɾɛ,0
D5,37,0.25,sən,1
C#5,36,0.5,'ha:In,0
C#5,36,0.25,a:I,0
C#5,36,0.25,nə,1
F#5,39,0.5,'ha:I,0
F#4,32,0.25,də,1
F#4,32,0.25,fɔn,0
F#4,32,0.5,'gɾy,2
F#4,32,0.5,nən,1
E5,38,1.5,'ɾos,2
D5,37,0.5,ma,0
C#5,36,1.0,'ɾa:In,0
C#5,36,0.5,ma:In,0
D#5,37,0.5,'ʃats,0
D#5,37,0.5,hats,0
C#5,36,0.5,'gɾyn,2
C#5,36,0.5,zo,2
F#5,39,1.5,'gɛɾn,0
F#4,32,0.5,ma:In,0
F#4,32,0.5,'ʃats,0
F#4,32,0.5,hats,0
F#4,32,0.5,'gɾyn,2
G#4,33,0.25,'gɾyn,2
A#4,34,0.25,zo,2
B4,35,1.0,'gɛɾn,0
F#4,32,0.5,vol,2
B4,35,0.5,'a:ʊf,0
B4,35,0.5,tsum,2
F#4,32,0.5,'fɾœ,0
F#4,32,0.25,lI,2
