pitch,diatonicNumber,beat,duration,IPA,vowelCategory
D4,30,2.5,0.5,vo,2
B-4,35,1.0,0.75,'hIn,2
F#4,32,1.75,0.25,zo,2
G4,33,2.0,0.75,'ʃnɛl,0
A4,34,2.75,0.25,zo,2
B-4,35,1.0,0.75,'kɾa:ʊs,0
F#4,32,1.75,0.25,ʊnt,2
G4,33,2.0,0.75,'vIlt,2
A4,34,2.75,0.25,ma:In,0
B-4,35,1.0,1.0,'li,2
C5,36,2.0,1.0,bəʁ,1
D5,37,1.0,1.0,'baχ,0
F4,32,2.5,0.5,a:Ilst,0
D5,37,1.0,0.75,'du,2
A4,34,1.75,0.25,fɔl,0
B-4,35,2.0,0.75,'tsɔɾn,0
C5,36,2.75,0.25,dem,2
D5,37,1.0,0.75,'fɾɛ,0
A4,34,1.75,0.25,çən,1
B-4,35,2.0,0.5,'bɾy,2
C5,36,2.5,0.5,dəʁ,1
D5,37,1.0,0.5,'jɛ,0
F5,39,1.5,1.0,'jɛ,0
D5,37,2.5,0.5,gəʁ,1
E5,38,1.0,1.0,'naχ,0
F5,39,2.5,0.5,keʁ,2
E-5,38,1.0,1.0,'ʊm,2
D5,37,2.5,0.5,keʁ,2
C5,36,1.0,1.0,'ʊm,2
B-4,35,2.5,0.5,ʊnt,2
A4,34,1.0,0.5,'ʃIlt,2
C5,36,1.5,0.5,eɾst,2
B-4,35,2.0,0.5,'da:I,0
A4,34,2.5,0.5,nə,1
D5,37,1.0,1.5,'mY,none
F#4,32,2.5,0.5,lə,1
G4,33,1.0,1.0,'ʁIn,2
F5,39,2.5,0.5,fyʁ,2
E-5,38,1.0,1.5,'i,2
D5,37,2.5,0.5,ɾən,1
C5,36,1.0,1.5,'la:Iç,0
B-4,35,2.5,0.5,tən,1
A4,34,1.0,0.5,'lo,2
C5,36,1.5,0.5,sən,1
B-4,35,2.0,0.5,'kla:I,0
A4,34,2.5,0.5,nən,1
D5,37,1.0,1.5,'fla,0
F#4,32,2.5,0.5,təʁ,1
G4,33,1.0,1.0,'zIn,2
F#5,39,2.5,0.5,keʁ,2
G5,40,1.0,1.0,'ʊm,2
F#5,39,2.5,0.5,keʁ,2
G5,40,1.0,1.0,'ʊm,2
D5,37,2.5,0.5,keʁ,2
G4,33,1.0,1.0,'ʊm,2
B-4,35,2.5,0.5,zast,0
B-4,35,1.0,0.5,'du,2
B-4,35,1.5,0.5,zi,2
B-4,35,2.0,0.5,'gɛs,0
B-4,35,2.5,0.5,təɾn,1
B-4,35,1.0,0.5,'a,0
B-4,35,1.5,0.5,bənt,1
B-4,35,2.0,0.5,'nIçt,2
B-4,35,2.5,0.5,am,0
A4,34,1.0,1.5,'to,2
C5,36,2.5,0.5,ɾə,1
C5,36,1.0,1.0,'ʃten,2
F5,39,2.5,0.5,mIt,2
F5,39,1.0,1.5,'la,0
F5,39,2.5,0.5,ŋəm,1
F5,39,1.0,1.0,'hal,0
F4,32,2.0,1.0,zə,1
F4,32,1.0,0.5,'naχ,0
F4,32,1.5,0.5,deʁ,2
F4,32,2.0,0.5,'gɾo,2
F4,32,2.5,0.5,sən,1
G4,33,1.0,1.5,'ʃtra,0
E4,31,2.5,0.5,sə,1
F4,32,1.0,1.0,'zen,2
F4,32,1.5,0.5,vɛn,0
G4,33,2.0,0.5,'fɔn,0
A4,34,2.5,0.5,dem,2
B-4,35,1.0,0.5,'faŋ,0
D4,30,1.5,0.5,der,2
F4,32,2.0,0.5,'jɛ,0
B-4,35,2.5,0.5,gəʁ,1
