pitch,diatonicNumber,beat,duration,IPA,vowelCategory
G4,33,2.3333333333333335,0.5,a:I,0
G4,33,2.6666666666666665,0.5,nə,1
E5,38,1.0,1.0,'my,2
C5,36,1.6666666666666665,0.5,lə,1
C5,36,2.0,1.0,ze,2
B4,35,2.6666666666666665,0.5,Iç,2
B4,35,1.0,0.5,'blIŋ,2
A4,34,1.3333333333333333,0.5,'blIŋ,2
A4,34,1.6666666666666665,0.5,kən,1
A4,34,2.3333333333333335,0.5,a:ʊs,0
A4,34,2.6666666666666665,0.5,den,2
C5,36,1.0,1.5,'ɛɾ,0
A4,34,2.0,1.0,lən,1
G4,33,2.6666666666666665,0.5,hɛɾ,0
F4,32,1.0,1.5,'a:ʊs,0
A4,34,2.6666666666666665,0.5,duɾç,2
A4,34,1.0,1.0,'ɾa:ʊ,0
F5,39,1.6666666666666665,0.5,'ɾa:ʊ,0
F5,39,2.0,1.0,ʃən,1
E5,38,2.6666666666666665,0.5,ʊnt,2
E5,38,1.0,0.5,'zI,2
D5,37,1.3333333333333333,0.5,'zI,2
D5,37,1.6666666666666665,0.5,ŋən,1
D5,37,2.6666666666666665,0.5,bɾIçt,2
B4,35,1.0,1.5,'ɾɛ,0
C5,36,2.0,0.5,'ɾɛ,0
D5,37,2.3333333333333335,0.5,dəʁ,1
E5,38,2.6666666666666665,0.5,gə,1
G4,33,1.0,1.5,'bɾa:ʊs,0
C5,36,2.6666666666666665,0.5,bɾIçt,2
B4,35,1.0,1.5,'ɾɛ,0
C5,36,2.0,0.5,'ɾɛ,0
D5,37,2.3333333333333335,0.5,dəʁ,1
E5,38,2.6666666666666665,0.5,gə,1
G4,33,1.0,1.5,'bɾa:ʊs,0
D5,37,1.0,1.0,'a:I,0
D5,37,1.6666666666666665,0.5,vIl,2
D5,37,2.0,1.0,kɔ,0
A4,34,2.6666666666666665,0.5,mən,1
D5,37,1.0,1.0,'a:I,0
D5,37,1.6666666666666665,0.5,vIl,2
D5,37,2.0,1.0,kɔ,0
B4,35,2.6666666666666665,0.5,mən,1
B4,35,1.0,1.0,'zy,2
C5,36,1.6666666666666665,0.5,səʁ,1
D5,37,2.0,0.5,my,2
C5,36,2.3333333333333335,0.5,lən,1
B4,35,2.6666666666666665,0.5,ge,2
A4,34,1.0,1.5,'zaŋ,0
D5,37,1.0,1.0,'a:I,0
D5,37,1.6666666666666665,0.5,vIl,2
D5,37,2.0,1.0,kɔ,0
A4,34,2.6666666666666665,0.5,mən,1
D5,37,1.0,1.0,'a:I,0
D5,37,1.6666666666666665,0.5,vIl,2
D5,37,2.0,1.0,kɔ,0
B4,35,2.6666666666666665,0.5,mən,1
B4,35,1.0,1.0,'zy,2
C5,36,1.6666666666666665,0.5,səʁ,1
E5,38,2.0,0.25,my,2
D5,37,2.1666666666666665,0.25,my,2
C5,36,2.3333333333333335,0.5,lən,1
B4,35,2.6666666666666665,0.5,ge,2
A4,34,1.0,1.0,'zaŋ,0
A4,34,2.3333333333333335,0.5,ʊnt,2
A4,34,2.6666666666666665,0.5,das,0
D5,37,1.0,1.5,'ha:ʊs,0
D5,37,2.0,1.0,vi,2
C5,36,2.6666666666666665,0.5,zo,2
C5,36,1.0,0.5,'tɾa:ʊ,0
B4,35,1.3333333333333333,0.5,'tɾa:ʊ,0
B4,35,1.6666666666666665,0.5,lIç,2
A4,34,2.3333333333333335,0.5,ʊnt,2
A4,34,2.6666666666666665,0.5,di,2
F5,39,1.0,1.5,'fɛn,0
F5,39,2.0,0.5,'fɛn,0
E5,38,2.3333333333333335,0.5,stəʁ,1
D5,37,2.6666666666666665,0.5,vi,2
C5,36,1.0,1.5,'blaŋk,0
B4,35,2.0,0.5,'blaŋk,0
G4,33,2.3333333333333335,0.5,ʊnt,2
G4,33,2.6666666666666665,0.5,di,2
G4,33,1.0,1.0,'zɔ,0
C5,36,1.6666666666666665,0.5,'zɔ,0
B4,35,2.0,1.0,nə,1
D5,37,2.6666666666666665,0.5,vi,2
C5,36,1.0,1.0,'hɛ,0
E5,38,1.6666666666666665,0.5,'hɛ,0
G4,33,2.0,1.0,lə,1
G4,33,2.6666666666666665,0.5,fɔm,0
G4,33,1.0,1.0,'hI,2
G5,40,1.6666666666666665,0.5,'hI,2
F5,39,2.0,1.0,məl,1
D5,37,2.6666666666666665,0.5,zi,2
C5,36,1.0,1.0,'ʃa:Int,0
