song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
Mein,F#4,32,1.0,2,1.0,'bɛç,0,1
Mein,D4,30,1.5,1,0.5,la:In,0,0
Mein,F#4,32,1.75,0,0.5,la:In,0,0
Mein,A4,34,2.0,2,1.0,'las,0,1
Mein,A4,34,2.5,1,1.0,da:In,0,0
Mein,A4,34,1.0,2,1.0,'ra:ʊ,0,1
Mein,G4,33,1.5,1,0.5,ʃən,1,0
Mein,F#4,32,1.75,0,0.5,ʃən,1,0
Mein,E4,31,2.0,2,2.0,'za:In,0,1
Mein,G4,33,1.0,2,1.0,'re,2,1
Mein,E4,31,1.5,1,0.5,dəʁ,1,0
Mein,G4,33,1.75,0,0.5,dəʁ,1,0
Mein,B4,35,2.0,2,1.0,'ʃtɛlt,0,1
Mein,B4,35,2.5,1,1.0,ɔ:Yʁ,0,0
Mein,B4,35,1.0,2,1.0,'bɾa:ʊ,0,1
Mein,A4,34,1.5,1,0.5,sən,1,0
Mein,G4,33,1.75,0,0.5,sən,1,0
Mein,F#4,32,2.0,2,2.0,'a:In,0,1
Mein,B4,35,1.0,2,1.0,'al,0,1
Mein,G4,33,1.5,1,0.5,iʁ,2,0
Mein,B4,35,1.75,0,0.5,iʁ,2,0
Mein,D5,37,2.0,2,1.0,'mʊn,2,1
Mein,D5,37,2.5,1,1.0,təɾn,1,0
Mein,D5,37,1.0,2,1.0,'valt,0,1
Mein,C5,36,1.5,1,0.5,vø,2,0
Mein,B4,35,1.75,0,0.5,ge,2,0
Mein,A4,34,2.0,2,2.0,'la:In,0,1
Mein,B4,35,1.0,2,1.0,'gros,2,1
Mein,A4,34,1.5,1,0.5,ʊnt,2,0
Mein,G4,33,1.75,0,0.5,ʊnt,2,0
Mein,F#4,32,2.0,2,2.0,'kla:In,0,1
Mein,E4,31,1.0,2,1.0,'ɛnd,0,1
Mein,B4,35,1.5,1,1.0,ət,1,0
Mein,A#4,34,2.0,2,0.5,'ɔ:Y,0,1
Mein,B4,35,2.25,0,0.5,'ɔ:Y,0,1
Mein,G4,33,2.5,1,0.5,ɾə,1,0
Mein,E4,31,2.75,0,0.5,ɾə,1,0
