song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
MitDemGrunenLautenbande,D5,37,1.0,2,0.5,'ʃad,0,1
MitDemGrunenLautenbande,C5,36,1.5,1,0.25,ʊm,2,0
MitDemGrunenLautenbande,A4,34,1.75,0,0.25,das,0,0
MitDemGrunenLautenbande,B-4,35,2.0,2,0.5,'ʃɶ,none,1
MitDemGrunenLautenbande,F4,32,2.5,1,0.5,nə,1,0
MitDemGrunenLautenbande,E-5,38,1.0,2,0.5,'gry,2,1
MitDemGrunenLautenbande,D5,37,1.5,1,0.5,nə,1,0
MitDemGrunenLautenbande,C5,36,2.0,2,0.75,'bant,0,1
MitDemGrunenLautenbande,C5,36,2.75,0,0.25,'das,0,1
MitDemGrunenLautenbande,F5,39,1.0,2,0.5,ɛs,0,0
MitDemGrunenLautenbande,E-5,38,1.5,1,0.25,fɛr,0,0
MitDemGrunenLautenbande,D5,37,1.75,0,0.25,fɛr,0,0
MitDemGrunenLautenbande,D5,37,2.0,2,0.5,'bla:Içt,0,1
MitDemGrunenLautenbande,C5,36,2.5,1,0.25,hiʁ,2,0
MitDemGrunenLautenbande,A4,34,2.75,0,0.25,hiʁ,2,0
MitDemGrunenLautenbande,B-4,35,1.0,2,0.5,'an,0,1
MitDemGrunenLautenbande,C5,36,1.5,1,0.5,der,2,0
MitDemGrunenLautenbande,D5,37,2.0,2,0.5,'vant,0,1
MitDemGrunenLautenbande,D5,37,2.5,1,0.5,Iç,2,0
MitDemGrunenLautenbande,C5,36,1.0,2,0.75,'hap,0,1
MitDemGrunenLautenbande,C5,36,1.75,0,0.25,das,0,0
MitDemGrunenLautenbande,D5,37,2.0,2,0.25,'gryn,2,1
MitDemGrunenLautenbande,C5,36,2.25,0,0.25,'gryn,2,1
MitDemGrunenLautenbande,B-4,35,2.5,1,0.25,zo,2,0
MitDemGrunenLautenbande,A4,34,2.75,0,0.25,zo,2,0
MitDemGrunenLautenbande,B-4,35,1.0,2,0.25,'gɛɾn,0,1
MitDemGrunenLautenbande,D5,37,1.25,0,0.25,'gɛɾn,0,1
MitDemGrunenLautenbande,F5,39,1.5,1,1.0,'gɛɾn,0,1
MitDemGrunenLautenbande,F5,39,2.5,1,0.5,Iç,2,0
MitDemGrunenLautenbande,F5,39,1.0,2,0.5,'hap,0,1
MitDemGrunenLautenbande,G4,33,1.5,1,0.25,'hap,0,1
MitDemGrunenLautenbande,G4,33,1.75,0,0.25,das,0,0
MitDemGrunenLautenbande,E-5,38,2.0,2,0.5,'gryn,2,1
MitDemGrunenLautenbande,D5,37,2.5,1,0.25,'gryn,2,1
MitDemGrunenLautenbande,C5,36,2.75,0,0.25,zo,2,0
MitDemGrunenLautenbande,B-4,35,1.0,2,1.0,'gɛɾn,0,1
MitDemGrunenLautenbande,D5,37,2.5,1,0.5,zo,2,0
MitDemGrunenLautenbande,C5,36,1.0,2,0.5,'ʃpɾaχst,0,1
MitDemGrunenLautenbande,F4,32,1.5,1,0.5,du,2,0
MitDemGrunenLautenbande,F5,39,2.0,2,0.75,'lip,2,1
MitDemGrunenLautenbande,A4,34,2.75,0,0.25,çən,1,0
