pitch,diatonicNumber,duration,IPA,vowelCategory
G4,33,0.5,gu,2
G4,33,0.5,tən,1
G4,33,1.5,'mɔɾ,0
E5,38,0.5,gən,1
D5,37,0.5,'ʃœ,0
C5,36,0.5,nə,1
G4,33,0.75,'mY,none
B4,35,0.125,ləɾ,1
A4,34,0.125,ləɾ,1
G4,33,1.0,'In,2
G4,33,0.5,vo,2
G4,33,1.5,'ʃtɛkst,0
E5,38,0.5,du,2
F5,39,0.25,'gla:Iç,0
E5,38,0.25,'gla:Iç,0
D5,37,0.25,das,0
C5,36,0.25,das,0
A4,34,0.75,'kœp,0
C#5,36,0.25,fçən,1
D5,37,1.5,'hIn,2
F5,39,0.5,als,0
F5,39,1.5,'vɛɾ,0
B4,35,0.5,diɾ,2
D5,37,1/6,'vas,0
C5,36,1/6,'vas,0
B4,35,1/3,'vas,0
C5,36,1/3,gə,1
E5,38,1.0,'ʃe,2
D5,37,1.0,ən,1
D5,37,0.5,fɛɾ,0
D5,37,1.5,'dɾist,2
D5,37,0.5,dIç,2
D5,37,0.5,'dɛn,0
D5,37,0.5,ma:In,0
C#5,36,0.75,'gɾus,2
E5,38,0.25,zo,2
E5,38,1.5,'ʃveʁ,2
A4,34,0.25,fɛɾ,0
B4,35,0.25,fɛɾ,0
C5,36,1.5,'ʃtœɾt,0
C5,36,0.5,dIç,2
C5,36,0.5,'dɛn,0
C5,36,0.5,ma:In,0
B4,35,0.75,'blIk,2
D5,37,0.25,zo,2
D5,37,1.5,'zeʁ,2
G4,33,0.5,zo,2
E5,38,1.5,'mʊs,2
E5,38,0.5,Iç,2
D5,37,1/3,'vi,2
C5,36,1/3,'vi,2
B4,35,1/3,dəʁ,1
C5,36,1.0,'ge,2
G4,33,1.0,ən,1
G4,33,0.5,zo,2
E5,38,1.5,'mʊs,2
E5,38,0.5,Iç,2
D5,37,1/3,'vi,2
C5,36,1/3,'vi,2
B4,35,1/3,dəʁ,1
C5,36,1.0,'ge,2
G4,33,1.0,ən,1
F5,39,1/3,'vi,2
E5,38,1/3,'vi,2
D5,37,1/3,dəʁ,1
F5,39,3.0,'ge,2
E5,38,1.0,ən,1
G4,33,0.5,o,2
G4,33,1.5,'las,0
E5,38,0.5,mIç,2
D5,37,0.5,'nuɾ,2
C5,36,0.5,fɔn,0
G4,33,0.75,'fɛɾ,0
B4,35,0.125,nə,1
A4,34,0.125,nə,1
G4,33,1.0,'ʃten,2
G4,33,0.5,naχ,0
G4,33,1.5,'da:I,0
E5,38,0.5,nəm,1
F5,39,0.25,'li,2
E5,38,0.25,'li,2
D5,37,0.25,bən,1
C5,36,0.25,bən,1
A4,34,0.75,'fɛn,0
C#5,36,0.25,ʃtəʁ,1
D5,37,1.5,'zen,2
F5,39,0.5,fɔn,0
F5,39,1.5,'fɛɾ,0
B4,35,0.5,nə,1
D5,37,1/6,'gants,0
C5,36,1/6,'gants,0
B4,35,1/3,'gants,0
C5,36,1/3,fɔn,0
E5,38,1.0,'fɛɾ,0
D5,37,1.0,nə,1
D5,37,0.5,du,2
D5,37,1.5,'blɔn,0
D5,37,0.5,dəs,1
D5,37,0.5,'kœp,0
D5,37,0.5,fçən,1
C#5,36,0.75,'kɔm,0
E5,38,0.25,hɛɾ,0
E5,38,1.5,'foɾ,2
A4,34,0.25,heɾ,2
B4,35,0.25,heɾ,2
C5,36,1.5,'foɾ,2
C5,36,0.5,a:ʊs,0
C5,36,0.5,'ɔ:Y,0
C5,36,0.5,ɾəm,1
B4,35,0.75,'ɾʊn,2
D5,37,0.25,den,2
D5,37,1.5,'toɾ,2
G4,33,0.5,iɾ,2
E5,38,1.5,'bla:ʊ,0
E5,38,0.5,ən,1
D5,37,1/3,'mɔɾ,0
C5,36,1/3,'mɔɾ,0
B4,35,1/3,gən,1
C5,36,1.0,'ʃteɾ,2
G4,33,1.0,nə,1
G4,33,0.5,iɾ,2
E5,38,1.5,'bla:ʊ,0
E5,38,0.5,ən,1
D5,37,1/3,'mɔɾ,0
C5,36,1/3,'mɔɾ,0
B4,35,1/3,gən,1
C5,36,1.0,'ʃteɾ,2
G4,33,0.75,nə,1
G4,33,0.25,iɾ,2
F5,39,1/3,'mɔɾ,0
E5,38,1/3,'mɔɾ,0
D5,37,1/3,gən,1
F5,39,3.0,'ʃteɾ,2
E5,38,1.0,nə,1
G4,33,0.5,iɾ,2
G4,33,1.5,'ʃlʊ,2
E5,38,0.5,məɾ,1
D5,37,0.5,'tɾʊŋk,2
C5,36,0.5,nən,1
G4,33,0.75,'ɔ:Y,0
B4,35,0.125,gə,1
A4,34,0.125,gə,1
G4,33,1.0,la:In,0
G4,33,0.5,iɾ,2
G4,33,1.5,'ta:ʊ,0
E5,38,0.5,bə,1
F5,39,0.25,'tɾyp,2
E5,38,0.25,'tɾyp,2
D5,37,0.25,tən,1
C5,36,0.25,tən,1
A4,34,0.75,'bly,2
C#5,36,0.25,mə,1
D5,37,1.5,'la:In,0
F5,39,0.5,vas,0
F5,39,1.5,'ʃɔ:Y,0
B4,35,0.5,ət,1
D5,37,1/6,'iɾ,2
C5,36,1/6,'iɾ,2
B4,35,1/3,'iɾ,2
C5,36,1/3,di,2
E5,38,1.0,'zɔ,0
D5,37,1.0,nə,1
D5,37,0.5,hat,0
D5,37,1.5,'ɛs,0
D5,37,0.5,di,2
D5,37,0.5,'naχt,0
D5,37,0.5,zo,2
C#5,36,0.75,'gut,2
E5,38,0.25,gə,1
E5,38,1.5,'ma:Int,0
A4,34,0.25,das,0
B4,35,0.25,das,0
C5,36,1.5,'iɾ,2
C5,36,0.5,ɔ:Yç,0
C5,36,0.5,'ʃlist,2
C5,36,0.5,ʊnt,2
B4,35,0.75,bYkt,none
D5,37,0.25,ʊnt,2
D5,37,1.5,'va:Int,0
G4,33,0.5,naχ,0
E5,38,1.5,‘i,2
E5,38,0.5,ɾəʁ,1
D5,37,1/3,'ʃtI,2
C5,36,1/3,'ʃtI,2
B4,35,1/3,lən,1
C5,36,1.0,'vɔ,0
G4,33,1.0,nə,1
G4,33,0.5,naχ,0
E5,38,1.5,‘i,2
E5,38,0.5,ɾəʁ,1
D5,37,1/3,'ʃtI,2
C5,36,1/3,'ʃtI,2
B4,35,1/3,lən,1
C5,36,1.0,'vɔ,0
G4,33,0.75,nə,1
G4,33,0.25,naχ,0
F5,39,1/3,‘i,2
E5,38,1/3,‘i,2
D5,37,1/3,ɾəʁ,1
F5,39,3.0,'vɔ,0
E5,38,1.0,nə,1
G4,33,0.5,nun,2
G4,33,1.5,'ʃY,none
E5,38,0.5,təlt,1
D5,37,0.5,'ap,0
C5,36,0.5,deʁ,2
G4,33,0.75,'tɾɔ:Y,0
B4,35,0.125,mə,1
A4,34,0.125,mə,1
G4,33,1.0,'floɾ,2
G4,33,0.5,ʊnt,2
G4,33,1.5,'hept,2
E5,38,0.5,ɔ:Yç,0
F5,39,0.25,'fɾIʃ,2
E5,38,0.25,'fɾIʃ,2
D5,37,0.25,ʊnt,2
C5,36,0.25,ʊnt,2
A4,34,0.75,'fɾa:I,0
C#5,36,0.25,ɛm,0
D5,37,1.5,'poɾ,2
F5,39,0.5,In,2
F5,39,1.5,'gɔ,0
B4,35,0.5,təs,1
D5,37,1/6,'hɛ,0
C5,36,1/6,'hɛ,0
B4,35,1/3,'hɛ,0
C5,36,1/3,lən,1
E5,38,1.0,'mɔɾ,0
D5,37,1.0,gən,1
D5,37,0.5,di,2
D5,37,1.5,'lɛɾ,0
D5,37,0.5,çə,1
D5,37,0.5,'viɾ,2
D5,37,0.5,bəlt,1
C#5,36,0.75,'In,2
E5,38,0.25,deʁ,2
E5,38,1.5,'lʊft,2
A4,34,0.25,ʊnt,2
B4,35,0.25,ʊnt,2
C5,36,1.5,'a:ʊs,0
C5,36,0.5,dem,2
C5,36,0.5,'ti,2
C5,36,0.5,fən,1
B4,35,0.75,'hɛɾ,0
D5,37,0.25,tsən,1
D5,37,1.5,'ɾuft,2
G4,33,0.5,di,2
E5,38,1.5,'li,2
E5,38,0.5,bə,1
D5,37,1/3,'la:It,0
C5,36,1/3,'la:It,0
B4,35,1/3,ʊnt,2
C5,36,1.0,'zɔɾ,0
G4,33,1.0,gən,1
G4,33,0.5,di,2
E5,38,1.5,'li,2
E5,38,0.5,bə,1
D5,37,1/3,'la:It,0
C5,36,1/3,'la:It,0
B4,35,1/3,ʊnt,2
C5,36,1.0,'zɔɾ,0
G4,33,1.0,gən,1
F5,39,1/3,'la:It,0
E5,38,1/3,'la:It,0
D5,37,1/3,ʊnt,2
F5,39,3.0,'zɔɾ,0
E5,38,1.0,gən,1
