song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
Pause,F4,32,3.0,2,1.5,ma:I,0,0
Pause,F4,32,4.5,1,0.5,nə,1,0
Pause,D5,37,1.0,2,1.0,'la:ʊ,0,1
Pause,B-4,35,2.0,2,1.0,tə,1,0
Pause,D5,37,3.0,2,1.0,'hap,0,1
Pause,C5,36,4.0,2,0.5,Iç,2,0
Pause,B-4,35,4.5,1,0.5,gə,1,0
Pause,A4,34,1.0,2,1.0,'hɛŋkt,0,1
Pause,G4,33,2.0,2,0.5,an,0,0
Pause,A4,34,2.5,1,0.5,di,2,0
Pause,B-4,35,3.0,2,2.0,'vant,0,1
Pause,F4,32,3.0,2,1.0,hap,0,0
Pause,F4,32,4.0,2,0.5,zi,2,0
Pause,F4,32,4.5,1,0.5,ʊm,2,0
Pause,D5,37,1.0,2,1.0,'ʃlʊ,2,1
Pause,B-4,35,2.0,2,1.0,ŋən,1,0
Pause,D5,37,3.0,2,1.0,'mIt,2,1
Pause,C5,36,4.0,2,0.5,a:I,0,0
Pause,B-4,35,4.5,1,0.5,nəm,1,0
Pause,A4,34,1.0,2,1.0,'gɾy,2,1
Pause,G4,33,2.0,2,0.5,nən,1,0
Pause,A4,34,2.5,1,0.5,nən,1,0
Pause,B-4,35,3.0,2,1.0,'bant,0,1
Pause,B-4,35,4.5,1,0.5,Iç,2,0
Pause,D5,37,1.0,2,1.0,'kan,0,1
Pause,C5,36,2.0,2,0.5,nIçt,2,0
Pause,B-4,35,2.5,1,0.5,mɛɾ,0,0
Pause,A4,34,3.0,2,1.0,'zI,2,1
Pause,B-4,35,4.0,2,0.5,ŋən,1,0
Pause,C5,36,4.5,1,0.5,ma:In,0,0
Pause,D5,37,1.0,2,1.0,'hɛɾts,0,1
Pause,C5,36,2.0,2,0.5,ist,2,0
Pause,B-4,35,2.5,1,0.5,tsu,2,0
Pause,A4,34,3.0,2,1.0,'fɔl,0,1
Pause,D5,37,3.0,2,1.0,va:Is,0,0
Pause,B-4,35,4.0,2,1.0,nIçt,2,0
Pause,F4,32,1.0,2,1.0,'vi,2,1
Pause,F4,32,2.0,2,0.5,Içs,2,0
Pause,F4,32,2.5,1,0.5,In,2,0
Pause,D5,37,3.0,2,1.5,'ɾa:I,0,1
Pause,B-4,35,4.5,1,0.5,mə,1,0
Pause,A4,34,1.0,2,1.0,'tsvI,2,1
Pause,G4,33,2.0,2,0.5,ŋən,1,0
Pause,A4,34,2.5,1,0.5,ŋən,1,0
Pause,B-4,35,3.0,2,2.0,'zɔl,0,1
Pause,D5,37,1.0,2,0.5,ma:In,0,0
Pause,C5,36,1.5,1,0.5,ma:In,0,0
Pause,C5,36,2.0,2,0.5,əʁ,1,0
Pause,B-4,35,2.5,1,0.5,əʁ,1,0
Pause,B-4,35,3.0,2,1.0,'zen,2,1
Pause,B-4,35,4.0,2,1.0,zʊχt,2,0
Pause,A4,34,1.0,2,1.0,'a,0,1
Pause,A4,34,2.0,2,1.0,ləʁ,1,0
Pause,C5,36,3.0,2,1.0,'ha:I,0,1
Pause,B-4,35,4.0,2,0.5,sə,1,0
Pause,A4,34,4.5,1,0.5,stən,1,0
Pause,B-4,35,1.0,2,2.0,'ʃmeɾts,2,1
Pause,A4,34,3.0,2,1.0,'ʃmeɾts,2,1
Pause,C5,36,1.0,2,1.0,dʊɾft,2,0
Pause,B-4,35,2.0,2,0.5,dʊɾft,2,0
Pause,A4,34,2.5,1,0.5,dʊɾft,2,0
Pause,G4,33,3.0,2,0.5,'Iç,2,1
Pause,D5,37,3.5,1,0.5,'Iç,2,1
Pause,D5,37,4.0,2,0.75,a:ʊs,0,0
Pause,G4,33,4.75,0,0.25,a:ʊs,0,0
Pause,G4,33,1.0,2,0.5,'ha:ʊ,0,1
Pause,B4,35,1.5,1,0.5,'ha:ʊ,0,1
Pause,D5,37,2.0,2,0.5,χən,1,0
Pause,F5,39,2.5,1,0.5,In,2,0
Pause,F5,39,3.0,2,0.5,'li,2,1
Pause,E5,38,3.5,1,0.5,'li,2,1
Pause,D5,37,4.0,2,0.5,deʁ,2,0
Pause,E5,38,4.5,1,0.5,deʁ,2,0
Pause,C5,36,1.0,2,2.0,'ʃɛɾts,0,1
Pause,D5,37,1.0,2,0.5,ʊnt,2,0
Pause,C5,36,1.5,1,0.5,ʊnt,2,0
Pause,C5,36,2.0,2,0.5,'vi,2,1
Pause,B-4,35,2.5,1,0.5,Iç,2,0
Pause,B-4,35,3.0,2,1.0,'klak,0,1
Pause,B-4,35,4.0,2,1.0,tə,1,0
Pause,A4,34,2.0,2,1.0,zo,2,0
Pause,C5,36,3.0,2,1.0,'zys,2,1
Pause,B-4,35,4.0,2,0.5,ʊnt,2,0
Pause,A4,34,4.5,1,0.5,ʊnt,2,0
Pause,B-4,35,1.0,2,2.0,'fa:In,0,1
Pause,A4,34,3.0,2,1.0,'fa:In,0,1
Pause,C5,36,1.0,2,0.5,gla:ʊpt,0,0
Pause,B-4,35,1.5,1,0.5,gla:ʊpt,0,0
Pause,B-4,35,2.0,2,0.5,Iç,2,0
Pause,A4,34,2.5,1,0.5,Iç,2,0
Pause,G4,33,3.0,2,1.0,'dɔχ,0,1
Pause,D5,37,4.0,2,1.0,ma:In,0,0
Pause,F5,39,1.0,2,1.5,'la:I,0,1
Pause,F4,32,2.5,1,0.5,den,2,0
Pause,E4,31,3.0,2,0.5,'vɛʁ,0,1
Pause,G4,33,3.5,1,0.5,'vɛʁ,0,1
Pause,D5,37,4.0,2,0.5,nIçt,2,0
Pause,C5,36,4.5,1,0.5,nIçt,2,0
Pause,A4,34,1.0,2,2.0,'kla:In,0,1
Pause,A4,34,3.0,2,1.5,a:I,0,0
Pause,A4,34,4.5,1,0.5,vi,2,0
Pause,B-4,35,1.0,2,1.0,'gɾos,2,1
Pause,B-4,35,2.0,2,0.5,ist,2,0
Pause,B-4,35,2.5,1,0.5,'vol,2,1
Pause,C5,36,3.0,2,0.75,ma:In,0,0
Pause,C5,36,3.75,0,0.25,əs,1,0
Pause,B-4,35,4.0,2,0.5,'glY,none,1
Pause,C5,36,4.5,1,0.5,kəs,1,0
Pause,D-5,37,1.0,2,2.0,'last,0,1
Pause,F5,39,3.0,2,0.5,das,0,0
Pause,E-5,38,3.5,1,0.5,das,0,0
Pause,D-5,37,4.0,2,0.5,ka:In,0,0
Pause,C5,36,4.5,1,0.5,ka:In,0,0
Pause,C5,36,1.0,2,0.5,'klaŋ,0,1
Pause,B-4,35,1.5,1,0.5,'klaŋ,0,1
Pause,B-4,35,2.0,2,0.5,a:ʊf,0,0
Pause,D-5,37,2.5,1,0.5,a:ʊf,0,0
Pause,D-5,37,3.0,2,0.5,'eɾ,2,1
Pause,C5,36,3.5,1,0.5,'eɾ,2,1
Pause,C5,36,4.0,2,0.5,dən,1,0
Pause,E-5,38,4.5,1,0.5,ɛs,0,0
Pause,E-5,38,1.0,2,0.5,'In,2,1
Pause,D-5,37,1.5,1,0.5,'In,2,1
Pause,G-5,40,2.0,2,0.5,zIç,2,0
Pause,F5,39,2.5,1,0.5,zIç,2,0
Pause,E-5,38,3.0,2,2.0,'fast,0,1
Pause,F5,39,1.0,2,0.5,das,0,0
Pause,E-5,38,1.5,1,0.5,das,0,0
Pause,D-5,37,2.0,2,0.5,ka:In,0,0
Pause,C5,36,2.5,1,0.5,ka:In,0,0
Pause,C5,36,3.0,2,0.5,'klaŋ,0,1
Pause,B-4,35,3.5,1,0.5,'klaŋ,0,1
Pause,B-4,35,4.0,2,0.5,a:ʊf,0,0
Pause,C5,36,4.5,1,0.5,a:ʊf,0,0
Pause,C5,36,1.0,2,0.5,'eɾ,2,1
Pause,B-4,35,1.5,1,0.5,'eɾ,2,1
Pause,B-4,35,2.0,2,0.5,dən,1,0
Pause,C5,36,2.5,1,0.5,ɛs,0,0
Pause,C5,36,3.0,2,0.5,'In,2,1
Pause,B-4,35,3.5,1,0.5,'In,2,1
Pause,B-4,35,4.0,2,0.5,zIç,2,0
Pause,C5,36,4.5,1,0.5,zIç,2,0
Pause,A4,34,1.0,2,2.0,'fast,0,1
Pause,F4,32,3.0,2,1.0,nun,2,0
Pause,F4,32,4.0,2,0.5,li,2,0
Pause,F4,32,4.5,1,0.5,bə,1,0
Pause,D5,37,1.0,2,1.0,'la:ʊ,0,1
Pause,B-4,35,2.0,2,1.0,tə,1,0
Pause,D5,37,3.0,2,1.0,'ɾu,2,1
Pause,C5,36,4.0,2,0.5,an,0,0
Pause,B-4,35,4.5,1,0.5,dem,2,0
Pause,A4,34,1.0,2,1.0,'na,0,1
Pause,G4,33,2.0,2,0.5,gəl,1,0
Pause,A4,34,2.5,1,0.5,gəl,1,0
Pause,B-4,35,3.0,2,2.0,'hiɾ,2,1
Pause,F4,32,2.5,1,0.5,ʊnt,2,0
Pause,F4,32,3.0,2,1.5,vɛt,0,0
Pause,F4,32,4.5,1,0.5,a:In,0,0
Pause,D5,37,1.0,2,1.0,'lYft,none,1
Pause,B-4,35,2.0,2,1.0,çən,1,0
Pause,F5,39,3.0,2,0.5,'y,2,1
Pause,D5,37,3.5,1,0.5,'y,2,1
Pause,C5,36,4.0,2,0.5,bəʁ,1,0
Pause,B-4,35,4.5,1,0.5,di,2,0
Pause,A4,34,1.0,2,1.0,'za:I,0,1
Pause,G4,33,2.0,2,0.5,tən,1,0
Pause,A4,34,2.5,1,0.5,tən,1,0
Pause,B-4,35,3.0,2,1.5,'diɾ,2,1
Pause,D5,37,4.5,1,0.5,ʊnt,2,0
Pause,E-5,38,1.0,2,1.0,ʃtɾa:Ift,0,0
Pause,D5,37,2.0,2,0.5,a:I,0,0
Pause,C5,36,2.5,1,0.5,nə,1,0
Pause,B-4,35,3.0,2,1.0,'bi,2,1
Pause,C5,36,4.0,2,0.5,nə,1,0
Pause,D5,37,4.5,1,0.5,mIt,2,0
Pause,D5,37,1.0,2,0.75,'iɾ,2,1
Pause,E-5,38,1.75,0,0.25,ən,1,0
Pause,E-5,38,2.0,2,1/3,'fly,2,1
Pause,D5,37,2.333333333333333,0,1/3,'fly,2,1
Pause,C5,36,2.666666666666667,0,1/3,gəln,1,0
Pause,B-4,35,3.0,2,1.5,'dIç,2,1
Pause,B-4,35,4.5,1,0.5,da,0,0
Pause,B4,35,1.0,2,1.0,vIɾt,2,0
Pause,B4,35,2.0,2,0.5,mIɾ,2,0
Pause,B4,35,2.5,1,0.5,zo,2,0
Pause,B4,35,3.0,2,0.5,'ba,0,1
Pause,C5,36,3.5,1,0.5,'ba,0,1
Pause,C5,36,4.0,2,1.0,ŋə,1,0
Pause,D5,37,1.0,2,1.0,'ʊnt,2,1
Pause,G4,33,2.0,2,0.5,ɛs,0,0
Pause,D5,37,2.5,1,0.5,dʊɾç,2,0
Pause,F5,39,3.0,2,0.75,'ʃa:ʊ,0,1
Pause,E-5,38,3.75,0,0.25,əɾt,1,0
Pause,E-5,38,4.0,2,1.0,'mIç,2,1
Pause,E-4,31,2.5,1,0.5,va,0,0
Pause,C5,36,3.0,2,2.0,ɾʊm,2,0
Pause,E-4,31,1.0,2,1.0,'lis,2,1
Pause,F4,32,2.0,2,0.5,Iç,2,0
Pause,G4,33,2.5,1,0.5,das,0,0
Pause,A-4,34,3.0,2,1.5,'bant,0,1
Pause,A-4,34,4.5,1,0.5,a:ʊχ,0,0
Pause,C5,36,1.0,2,0.5,'hɛ,0,1
Pause,B-4,35,1.5,1,0.5,'hɛ,0,1
Pause,A-4,34,2.0,2,0.5,ŋən,1,0
Pause,B-4,35,2.5,1,0.5,zo,2,0
Pause,C5,36,3.0,2,2.0,'laŋ,0,1
Pause,C5,36,4.0,2,1.0,ɔft,0,0
Pause,E-4,31,1.0,2,1.0,'flikts,2,1
Pause,F4,32,2.0,2,0.5,ʊm,2,0
Pause,G4,33,2.5,1,0.5,di,2,0
Pause,A-4,34,3.0,2,1.0,'za:I,0,1
Pause,A-4,34,4.0,2,0.5,tən,1,0
Pause,A-4,34,4.5,1,0.5,mIt,2,0
Pause,C5,36,1.0,2,0.5,'zɔ:Yf,0,1
Pause,B-4,35,1.5,1,0.5,'zɔ:Yf,0,1
Pause,A-4,34,2.0,2,0.5,tsən,1,0
Pause,B-4,35,2.5,1,0.5,dəm,1,0
Pause,C5,36,3.0,2,2.0,'klaŋ,0,1
Pause,C-5,36,1.0,2,1.0,Ist,2,0
Pause,C-5,36,2.0,2,0.5,ɛs,0,0
Pause,C-5,36,2.5,1,0.5,deʁ,2,0
Pause,C-5,36,3.0,2,0.5,'naχ,0,1
Pause,F-5,39,3.5,1,0.5,'naχ,0,1
Pause,F-5,39,4.0,2,1.0,klaŋ,0,0
Pause,F-5,39,1.0,2,1.0,klaŋ,0,0
Pause,F-5,39,2.0,2,0.5,'ma:I,0,1
Pause,E-5,38,2.5,1,0.5,nəʁ,1,0
Pause,C5,36,3.0,2,1.5,'li,2,1
Pause,D-5,37,4.5,1,0.25,bəs,1,0
Pause,E-5,38,4.75,0,0.25,bəs,1,0
Pause,D-5,37,1.0,2,2.0,'pa:In,0,1
Pause,B-4,35,3.0,2,1.0,zɔl,0,0
Pause,B-4,35,4.0,2,0.5,ɛs,0,0
Pause,B-4,35,4.5,1,0.5,das,0,0
Pause,F5,39,1.0,2,1.0,'foɾ,2,1
Pause,D5,37,2.0,2,0.5,ʃpil,2,0
Pause,B-4,35,2.5,1,0.5,ʃpil,2,0
Pause,F4,32,3.0,2,0.5,'nɔ:Y,0,1
Pause,B-4,35,3.5,1,0.5,'nɔ:Y,0,1
Pause,B-4,35,4.0,2,0.5,əʁ,1,0
Pause,D5,37,4.5,1,0.5,əʁ,1,0
Pause,E-5,38,1.0,2,3.0,'li,2,1
Pause,A4,34,4.0,2,1.0,deʁ,2,0
Pause,B-4,35,1.0,2,2.0,'za:In,0,1
Pause,C-5,36,1.0,2,1.0,Ist,2,0
Pause,C-5,36,2.0,2,0.5,ɛs,0,0
Pause,C-5,36,2.5,1,0.5,deʁ,2,0
Pause,C-5,36,3.0,2,0.5,'naχ,0,1
Pause,F-5,39,3.5,1,0.5,'naχ,0,1
Pause,F-5,39,4.0,2,1.0,klaŋ,0,0
Pause,F-5,39,1.0,2,1.0,klaŋ,0,0
Pause,F-5,39,2.0,2,0.5,'ma:I,0,1
Pause,E-5,38,2.5,1,0.5,nəʁ,1,0
Pause,C5,36,3.0,2,1.5,'li,2,1
Pause,D-5,37,4.5,1,0.25,bəs,1,0
Pause,E-5,38,4.75,0,0.25,bəs,1,0
Pause,D-5,37,1.0,2,2.0,'pa:In,0,1
Pause,B-4,35,3.0,2,1.0,zɔl,0,0
Pause,B-4,35,4.0,2,0.5,ɛs,0,0
Pause,B-4,35,4.5,1,0.5,das,0,0
Pause,F5,39,1.0,2,1.0,'foɾ,2,1
Pause,D5,37,2.0,2,0.5,ʃpil,2,0
Pause,B-4,35,2.5,1,0.5,ʃpil,2,0
Pause,F4,32,3.0,2,0.5,'nɔ:Y,0,1
Pause,B-4,35,3.5,1,0.5,'nɔ:Y,0,1
Pause,B-4,35,4.0,2,0.5,əʁ,1,0
Pause,D5,37,4.5,1,0.5,əʁ,1,0
Pause,E-5,38,1.0,2,3.0,'li,2,1
Pause,A4,34,4.0,2,1.0,deʁ,2,0
Pause,B-4,35,1.0,2,2.0,'za:In,0,1
