pitch,diatonicNumber,duration,IPA,vowelCategory
B4,35,0.25,iɾ,2
B4,35,0.75,'blym,2
B4,35,0.25,la:In,0
E5,38,0.5,'a,0
E5,38,0.25,lə,1
E5,38,0.25,di,2
G4,33,0.25,'zi,2
F#4,32,0.25,'zi,2
G4,33,0.25,miɾ,2
A4,34,0.25,miɾ,2
B4,35,0.75,'gap,0
B4,35,0.25,ɔ:Yç,0
B4,35,0.75,'zɔl,0
B4,35,0.25,man,0
D5,37,0.5,'le,2
D5,37,0.25,gən,1
D5,37,0.25,mIt,2
A4,34,0.25,'miɾ,2
C5,36,0.25,'miɾ,2
B4,35,0.25,Ins,2
A4,34,0.25,Ins,2
G4,33,0.75,'gɾap,0
B4,35,0.25,vi,2
B4,35,0.75,'zet,2
B4,35,0.25,iɾ,2
E5,38,0.5,'a,0
E5,38,0.25,lə,1
E5,38,0.25,mIç,2
G4,33,0.25,'an,0
F#4,32,0.25,'an,0
G4,33,0.25,zo,2
A4,34,0.25,zo,2
B4,35,0.75,'ve,2
B4,35,0.25,als,0
B4,35,0.75,'ɔp,0
B4,35,0.25,iɾ,2
E5,38,0.5,'vYs,none
D5,37,0.25,tət,1
D5,37,0.25,vi,2
A4,34,0.25,'miɾ,2
C5,36,0.25,'miɾ,2
B4,35,0.25,gə,1
A4,34,0.25,gə,1
B4,35,0.75,'ʃe,2
B4,35,0.25,iɾ,2
B4,35,0.25,'blym,2
F#4,32,0.25,'blym,2
F#4,32,0.25,la:In,0
B4,35,0.25,la:In,0
B4,35,0.25,'a,0
G4,33,0.25,'a,0
G4,33,0.25,lə,1
B4,35,0.25,vi,2
D5,37,0.5,'vɛlk,0
E5,38,0.25,vi,2
C5,36,0.25,vi,2
B4,35,0.75,'blas,0
B4,35,0.25,iɾ,2
B4,35,0.25,'blym,2
F#4,32,0.25,'blym,2
F#4,32,0.25,la:In,0
B4,35,0.25,la:In,0
B4,35,0.25,'a,0
G4,33,0.25,'a,0
G4,33,0.25,lə,1
B4,35,0.25,vo,2
E5,38,0.75,'fɔn,0
D#5,37,0.25,zo,2
F#5,39,1.0,'nas,0
F#5,39,1.0,'nas,0
B4,35,0.25,aχ,0
B4,35,0.75,'tɾɛ,0
B4,35,0.25,nən,1
E5,38,0.5,'ma,0
E5,38,0.25,χən,1
E5,38,0.25,nIçt,2
G4,33,0.25,'ma:I,0
F#4,32,0.25,'ma:I,0
G4,33,0.25,ən,1
A4,34,0.25,ən,1
B4,35,0.5,'gɾyn,2
B4,35,0.25,ma,0
B4,35,0.25,χən,1
B4,35,0.75,'to,2
B4,35,0.25,tə,1
D5,37,0.5,'li,2
D5,37,0.25,bə,1
D5,37,0.25,nIçt,2
A4,34,0.25,'vi,2
C5,36,0.25,'vi,2
B4,35,0.25,deʁ,2
A4,34,0.25,deʁ,2
G4,33,0.75,'blyn,2
B4,35,0.25,ʊnt,2
B4,35,0.75,'lɛnts,0
B4,35,0.25,vIɾt,2
B4,35,0.25,'kɔ,0
E5,38,0.25,'kɔ,0
E5,38,0.25,mən,1
E5,38,0.25,ʊnt,2
G4,33,0.25,'vIn,2
F#4,32,0.25,'vIn,2
G4,33,0.25,təʁ,1
A4,34,0.125,vIɾt,2
C5,36,0.125,vIɾt,2
B4,35,0.75,'gen,2
B4,35,0.25,ʊnt,2
B4,35,0.75,'blym,2
B4,35,0.25,la:In,0
E5,38,0.5,'veɾ,2
D5,37,0.25,dən,1
D5,37,0.25,Im,2
A4,34,0.25,'gɾa,0
C5,36,0.25,'gɾa,0
B4,35,0.25,sə,1
A4,34,0.25,sə,1
B4,35,0.75,'ʃten,2
B4,35,0.25,ʊnt,2
B4,35,0.25,'blym,2
F#4,32,0.25,'blym,2
F#4,32,0.25,la:In,0
B4,35,0.25,la:In,0
B4,35,0.25,'li,2
G4,33,0.25,'li,2
G4,33,0.25,gən,1
B4,35,0.25,In,2
D5,37,0.5,'ma:I,0
E5,38,0.25,nəm,1
C5,36,0.25,nəm,1
B4,35,0.75,'gɾap,0
B4,35,0.25,di,2
B4,35,0.25,'blym,2
F#4,32,0.25,'blym,2
F#4,32,0.25,la:In,0
B4,35,0.25,la:In,0
B4,35,0.25,‘a,0
G4,33,0.25,‘a,0
G4,33,0.25,lə,1
B4,35,0.25,di,2
F#5,39,0.75,'zi,2
E5,38,0.25,miɾ,2
D#5,37,1.0,'gap,0
B4,35,0.25,ʊnt,2
B4,35,0.75,'vɛn,0
C#5,36,0.25,zi,2
B4,35,0.375,'van,0
A#4,34,0.125,'van,0
G#4,33,0.25,dəlt,1
B4,35,0.25,am,0
B4,35,0.5,'hy,2
B4,35,0.25,gəl,1
C#5,36,0.25,foɾ,2
B4,35,0.75,'ba:I,0
B4,35,0.25,ʊnt,2
B#4,35,0.75,'dɛŋkt,0
B#4,35,0.25,Im,2
C#5,36,0.5,'hɛɾ,0
C#5,36,0.25,tsən,1
E5,38,0.25,deʁ,2
B#4,35,0.75,'ma:Int,0
B#4,35,0.25,ɛs,0
C#5,36,0.75,'tɾɔ:Y,0
C#5,36,0.25,dan,0
C#5,36,0.75,'blym,2
C#5,36,0.25,la:In,0
E5,38,0.5,'a,0
B4,35,0.25,lə,1
B4,35,0.25,hɛ,0
C#5,36,0.75,'ɾa:ʊs,0
C#5,36,0.25,hɛ,0
E5,38,0.75,'ɾa:ʊs,0
E5,38,0.25,deʁ,2
E5,38,0.75,'ma:I,0
E5,38,0.25,Ist,2
G#5,40,0.5,'kɔ,0
F#5,39,0.25,mən,1
E5,38,0.25,deʁ,2
F#5,39,0.5,'vIn,2
E5,38,0.25,təʁ,1
D#5,37,0.25,Ist,2
E5,38,0.75,'a:ʊs,0
B4,35,0.25,ʊnt,2
B4,35,0.75,'vɛn,0
C#5,36,0.25,zi,2
B4,35,0.375,'van,0
A#4,34,0.125,'van,0
G#4,33,0.25,dəlt,1
B4,35,0.25,am,0
B4,35,0.5,'hy,2
B4,35,0.25,gəl,1
C#5,36,0.25,foɾ,2
B4,35,0.75,'ba:I,0
B4,35,0.25,ʊnt,2
B#4,35,0.75,'dɛŋkt,0
B#4,35,0.25,Im,2
C#5,36,0.5,'hɛɾ,0
C#5,36,0.25,tsən,1
E5,38,0.25,deʁ,2
B#4,35,0.75,'ma:Int,0
B#4,35,0.25,ɛs,0
C#5,36,0.75,'tɾɔ:Y,0
C#5,36,0.25,dan,0
C#5,36,0.75,'blym,2
C#5,36,0.25,la:In,0
E5,38,0.5,'a,0
B4,35,0.25,lə,1
B4,35,0.25,hɛ,0
C#5,36,0.75,'ɾa:ʊs,0
C#5,36,0.25,hɛ,0
E5,38,0.75,'ɾa:ʊs,0
E5,38,0.25,deʁ,2
E5,38,0.75,'ma:I,0
E5,38,0.25,Ist,2
G#5,40,0.5,'kɔ,0
F#5,39,0.25,mən,1
E5,38,0.25,deʁ,2
F#5,39,0.5,'vIn,2
E5,38,0.25,təʁ,1
D#5,37,0.25,Ist,2
E5,38,0.75,'a:ʊs,0
B4,35,0.25,dan,0
B4,35,0.75,'blym,2
B4,35,0.25,la:In,0
E5,38,0.5,'a,0
B4,35,0.25,lə,1
B4,35,0.25,hɛ,0
B4,35,0.75,'ɾa:ʊs,0
B4,35,0.25,hɛ,0
E5,38,0.75,'ɾa:ʊs,0
E5,38,0.25,deʁ,2
E5,38,0.75,'ma:I,0
E5,38,0.25,Ist,2
G#5,40,0.5,'kɔ,0
F#5,39,0.25,mən,1
E#5,38,0.25,deʁ,2
F#5,39,0.5,'vIn,2
