pitch,diatonicNumber,duration,IPA,vowelCategory
E4,31,0.5,Iç,2
C#5,36,0.75,'ʃnIt,2
B4,35,0.25,ɛs,0
A4,34,0.75,'gɛɾn,0
G#4,33,0.25,in,2
B4,35,0.75,'a,0
A4,34,0.25,lə,1
G#4,33,0.75,'ɾIn,2
F#4,32,0.25,dən,1
F#4,32,1.0,'a:In,0
F#4,32,0.5,Iç,2
D5,37,0.75,'gɾyp,2
C#5,36,0.25,ɛs,0
B4,35,0.75,'gɛɾn,0
A#4,34,0.25,in,2
C#5,36,0.75,'je,2
B4,35,0.25,dən,1
A4,34,0.75,'ki,2
G#4,33,0.25,səl,1
G#4,33,1.0,'ʃta:In,0
C#5,36,0.5,Iç,2
E5,38,0.75,'mɶçt,none
D5,37,0.25,ɛs,0
B4,35,0.75,'sɛn,0
G#4,33,0.25,a:ʊf,0
B4,35,0.75,'je,2
D5,37,0.25,dəs,1
F#5,39,0.75,'fɾI,2
E5,38,0.25,ʃə,1
C#5,36,1.0,'bet,2
E5,38,0.5,mit,2
E5,38,0.75,'kɾɛ,0
G5,40,0.25,sən,1
G5,40,0.75,'za,0
F#5,39,0.25,mən,1
F#5,39,0.75,'der,2
E5,38,0.25,ɛs,0
C#5,36,0.75,'ʃnɛl,0
E5,38,0.25,fɛ,0
D5,37,1.0,'ret,2
C#5,36,0.5,a:ʊf,0
B4,35,0.75,'je,2
F#5,39,0.25,dən,1
F#5,39,0.75,'va:I,0
E5,38,0.25,sən,1
E5,38,0.75,'tsɛ,0
D5,37,0.25,təl,1
D5,37,0.75,'mɶçt,none
C#5,36,0.25,Içs,2
C#5,36,0.75,'ʃɾa:I,0
B4,35,0.25,'ʃɾa:I,0
A4,34,0.5,bən,1
F#5,39,2.0,'da:In,0
B4,35,0.75,Ist,2
B4,35,0.25,ma:In,0
B4,35,3.0,'hɛɾts,0
A5,41,2.0,'da:In,0
D#5,37,0.75,Ist,2
D#5,37,0.25,ma:In,0
D#5,37,1.5,'hɛɾts,0
D#5,37,0.5,ʊnt,2
D#5,37,0.5,'zɔl,0
D#5,37,0.5,ɛs,0
A5,41,1.5,'e,2
E5,38,0.5,'e,2
C#5,36,0.5,viç,2
A4,34,0.5,viç,2
D5,37,1.5,'e,2
B4,35,0.5,'e,2
G#4,33,0.5,viç,2
E4,31,0.5,viç,2
E4,31,0.5,'bla:I,0
E5,38,0.5,'bla:I,0
D5,37,1.0,'bla:I,0
E5,38,0.125,'bla:I,0
D5,37,0.125,'bla:I,0
C#5,36,0.25,'bla:I,0
B4,35,0.5,'bla:I,0
A4,34,1.0,bən,1
E4,31,0.5,Iç,2
C#5,36,0.75,'mɶçt,none
B4,35,0.25,mir,2
A4,34,0.75,'tsi,2
G#4,33,0.25,ən,1
B4,35,0.75,'a:I,0
A4,34,0.25,nən,1
G#4,33,0.75,'jʊ,2
F#4,32,0.25,ŋən,1
F#4,32,1.0,'ʃtaʁ,0
F#4,32,0.5,bIs,2
D5,37,0.75,'das,0
C#5,36,0.25,er,2
B4,35,0.75,'sprɛχ,0
A#4,34,0.25,di,2
C#5,36,0.75,'vɔɾ,0
B4,35,0.25,tə,1
A4,34,0.75,'ra:In,0
G#4,33,0.25,ʊnt,2
G#4,33,1.0,'klaʁ,0
C#5,36,0.5,bIs,2
E5,38,0.75,'eʁ,2
D5,37,0.25,zi,2
B4,35,0.75,'sprɛχ,0
G#4,33,0.25,mIt,2
B4,35,0.75,'ma:I,0
D5,37,0.25,nəs,1
F#5,39,0.75,'mʊn,2
E5,38,0.25,dəs,1
C#5,36,1.0,'klaŋ,0
E5,38,0.5,mIt,2
E5,38,0.75,'ma:I,0
G5,40,0.25,nəs,1
G5,40,0.75,'hɛr,0
F#5,39,0.25,tsəns,1
F#5,39,0.75,'vɔ,0
E5,38,0.25,ləm,1
C#5,36,0.75,'ha:I,0
E5,38,0.25,səm,1
