pitch,diatonicNumber,duration,IPA,vowelCategory
B4,35,0.25,Iç,2
C5,36,0.25,Iç,2
D5,37,0.5,'hœɾt,0
D5,37,0.5,a:In,0
D5,37,0.5,'bɛç,0
D5,37,0.5,la:In,0
D5,37,0.75,'ra:ʊ,0
B4,35,0.25,'ra:ʊ,0
G4,33,0.5,ʃən,1
B4,35,0.25,vol,2
G4,33,0.25,vol,2
D4,30,0.5,'a:ʊs,0
D4,30,0.5,dem,2
D4,30,0.25,'fɛl,0
F#4,32,0.25,'fɛl,0
A4,34,0.25,sən,1
F#4,32,0.25,sən,1
G4,33,1.0,'kvɛl,0
B4,35,0.25,hi,2
C5,36,0.25,hi,2
D5,37,0.5,'nap,0
D5,37,0.5,tsum,2
D5,37,0.5,'ta,0
D5,37,0.5,lə,1
D5,37,0.75,'ra:ʊ,0
B4,35,0.25,'ra:ʊ,0
G4,33,0.5,ʃən,1
B4,35,0.25,zo,2
G4,33,0.25,zo,2
D4,30,0.5,'fɾIʃ,2
D4,30,0.5,ʊnt,2
D4,30,0.25,'vʊn,2
F#4,32,0.25,'vʊn,2
A4,34,0.25,dəʁ,1
F#4,32,0.25,dəʁ,1
G4,33,1.0,'hɛl,0
B4,35,0.5,Iç,2
C5,36,0.5,'va:Is,0
B4,35,0.5,nIçt,2
B4,35,0.5,'vi,2
A4,34,0.5,miʁ,2
A4,34,0.5,'vʊɾ,2
G#4,33,0.5,də,1
G#4,33,0.5,nIçt,2
A4,34,0.5,'veʁ,2
A4,34,0.5,den,2
E5,38,0.5,'ɾat,0
E5,38,0.25,miʁ,2
D5,37,0.25,miʁ,2
C5,36,1.0,'gap,0
A4,34,0.5,Iç,2
B4,35,0.25,'mʊs,2
C5,36,0.25,'mʊs,2
B4,35,0.25,tə,1
C5,36,0.25,tə,1
D5,37,0.5,'a:ʊχ,0
D5,37,0.5,hI,2
D5,37,0.75,'nʊn,2
B4,35,0.25,'nʊn,2
G4,33,0.5,təʁ,1
