Phoneme,ʁ,ʃ,ʊ, ,.,:,χ,I,g,ɔ,ə,ɛ,a,b,e,d,ç,f,i,h,k,m,l,o,n,s,r,t,v,y,z,ɾ
Line 1,0.0,0.0,0.038461538461538464,0.23076923076923078,0.23076923076923078,0.0,0.0,0.038461538461538464,0.0,0.0,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693,0.0,0.07692307692307693,0.19230769230769232,0.0,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.0,0.07692307692307693
Line 2,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.1
Line 3,0.04,0.04,0.04,0.2,0.24,0.08,0.0,0.08,0.0,0.0,0.08,0.04,0.12,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,0.08,0.0,0.04,0.0,0.04,0.04,0.04
Line 4,0.0,0.0,0.0,0.2,0.24,0.04,0.0,0.04,0.0,0.0,0.04,0.0,0.16,0.0,0.04,0.12,0.0,0.04,0.08,0.0,0.0,0.08,0.08,0.0,0.16,0.08,0.0,0.0,0.04,0.0,0.0,0.04
Line 5,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.0
Line 6,0.041666666666666664,0.0,0.0,0.16666666666666666,0.20833333333333334,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.125,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.08333333333333333
Line 7,0.125,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0
Line 8,0.0,0.0,0.037037037037037035,0.25925925925925924,0.2962962962962963,0.037037037037037035,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.2222222222222222,0.037037037037037035,0.0,0.037037037037037035,0.07407407407407407,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.1111111111111111,0.07407407407407407,0.0,0.2222222222222222,0.0,0.0,0.0,0.037037037037037035
Line 9,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.14814814814814814,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.07407407407407407,0.0,0.14814814814814814,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.07407407407407407,0.0,0.18518518518518517,0.037037037037037035,0.0,0.0,0.0
Line 10,0.125,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0
Line 11,0.043478260869565216,0.0,0.043478260869565216,0.2608695652173913,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.13043478260869565,0.043478260869565216,0.13043478260869565,0.13043478260869565,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.08695652173913043
Line 12,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222
Line 13,0.043478260869565216,0.08695652173913043,0.0,0.21739130434782608,0.2608695652173913,0.0,0.0,0.08695652173913043,0.08695652173913043,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.13043478260869565,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.043478260869565216
Line 14,0.0,0.0,0.0,0.25,0.25,0.041666666666666664,0.0,0.125,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.0,0.041666666666666664,0.125,0.08333333333333333,0.0,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.125,0.0,0.0,0.08333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664
Line 15,0.14285714285714285,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
