Phoneme,ʁ,ʃ,ʊ, ,',.,:,χ,I,ç,ɔ,ə,ɛ,a,b,e,d,g,f,i,h,k,j,m,l,o,n,p,s,r,u,t,v,y,z,ɾ
Line 1,2,0,1,7,2,8,0,2,0,0,0,1,2,3,1,1,2,1,0,1,1,0,1,2,1,0,1,0,1,0,0,1,1,1,1,1
Line 2,2,0,0,5,4,7,2,0,3,0,1,3,1,2,1,1,1,2,0,2,0,0,1,1,1,0,2,1,1,0,0,2,1,0,0,3
Line 3,0,0,0,8,1,9,1,0,4,1,0,1,1,2,0,0,1,2,1,1,1,1,1,0,1,0,2,1,2,0,1,3,1,1,0,2
Line 4,0,0,0,8,2,9,3,0,4,1,1,1,1,4,0,0,0,0,1,1,1,0,0,2,1,0,5,0,2,0,1,2,1,1,0,4
Line 5,0,0,1,6,2,8,1,0,3,1,0,1,3,2,0,0,2,0,0,0,0,0,0,0,3,0,3,0,3,0,1,4,1,0,1,2
Line 6,0,1,0,6,3,7,1,0,2,0,0,3,1,3,1,0,2,0,0,0,0,1,0,1,2,1,3,0,2,0,0,1,1,1,1,0
Line 7,0,0,3,6,3,8,2,0,0,0,0,3,0,4,0,1,3,0,1,1,2,1,0,0,2,0,5,0,3,0,1,2,0,0,0,0
Line 8,0,0,5,8,1,9,3,0,0,0,1,1,0,4,1,2,2,0,1,0,1,0,0,1,1,0,4,0,3,0,0,2,0,0,1,2
Line 9,0,2,2,6,3,8,0,0,1,0,1,3,0,2,0,1,1,1,1,1,1,1,0,1,0,0,2,1,1,0,0,2,0,0,0,3
Line 10,0,1,0,7,3,8,2,0,3,1,2,1,1,4,0,0,1,1,1,0,0,0,0,1,1,0,3,0,2,0,0,3,1,2,2,4
Line 11,1,0,0,6,4,7,0,1,1,0,1,2,2,2,3,0,4,0,0,1,0,0,0,1,2,0,0,0,3,0,2,2,1,0,0,0
Line 12,1,0,2,7,3,8,0,0,1,0,0,3,0,0,0,0,1,0,0,2,0,0,0,2,3,0,4,0,2,0,1,3,0,2,0,1
Line 13,0,1,1,6,4,7,3,0,4,0,0,3,0,4,0,0,1,3,1,1,0,1,0,1,1,0,4,0,2,0,0,2,2,1,0,1
Line 14,0,0,0,7,2,9,3,0,5,3,2,1,1,4,1,0,2,0,0,0,1,0,0,1,3,0,3,0,2,0,0,1,2,1,0,1
Line 15,1,0,0,6,3,8,2,0,3,0,1,3,1,2,2,0,2,2,0,1,1,0,1,2,1,0,1,0,1,1,2,2,0,0,0,2
Line 16,0,0,1,7,3,9,3,0,5,1,0,2,1,5,0,0,2,0,0,0,0,0,0,3,2,0,5,0,1,0,0,2,0,0,0,3
Line 17,0,1,1,6,4,7,1,1,2,2,0,4,1,2,1,0,1,0,0,2,0,0,0,3,2,0,4,1,2,0,0,4,1,0,0,0
Line 18,0,0,0,7,3,8,2,0,3,1,1,3,1,2,1,0,0,0,1,0,1,0,0,1,0,1,3,1,3,1,0,4,2,2,1,3
Line 19,1,0,1,8,2,9,2,1,1,0,1,2,0,3,1,2,3,0,0,2,1,1,0,2,0,0,3,0,2,0,1,2,0,0,0,1
Line 20,0,0,1,5,2,7,1,0,3,1,1,3,1,2,1,0,0,1,0,0,0,1,0,0,1,0,6,0,0,1,0,2,0,0,0,2
Line 21,0,0,2,7,3,8,0,0,1,0,0,2,2,0,0,2,1,0,1,0,1,0,0,2,2,0,5,0,0,0,1,5,1,1,0,2
Line 22,2,1,0,8,2,7,0,0,0,0,0,2,2,0,1,1,3,1,0,3,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
