Phoneme,ʁ,ʃ,ʊ, ,',.,:,χ,I,ŋ,œ,ɔ,ə,ɛ,d,a,b,e,g,ç,f,i,h,k,j,m,l,o,n,p,s,u,t,v,y,z,ɾ
Line 1,0,0,0,5,1,6,1,0,5,0,0,0,0,0,1,1,0,1,1,2,0,0,0,1,0,1,2,0,3,0,0,0,0,1,1,0,1
Line 2,0,0,0,2,2,5,1,0,2,0,0,0,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,2
Line 3,0,1,0,5,0,6,1,0,1,0,0,0,0,1,0,3,0,0,2,0,0,0,1,0,0,1,0,1,3,0,2,0,2,0,1,1,2
Line 4,0,0,1,3,3,6,2,1,3,0,0,0,3,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,5,1,2,0,1,1,1,1,1
Line 5,0,0,0,4,4,6,3,0,3,0,0,2,3,0,1,4,0,0,1,0,1,0,1,0,0,1,0,0,5,0,1,0,0,0,1,0,3
Line 6,0,1,0,5,0,6,1,0,1,0,0,0,0,1,0,3,0,0,2,0,0,0,1,0,0,1,0,1,3,0,2,0,2,0,1,1,2
Line 7,0,0,1,3,3,5,1,0,1,0,1,1,2,0,0,2,0,0,1,1,2,0,0,0,1,1,2,0,2,0,1,1,1,1,0,0,1
Line 8,0,0,3,4,2,5,2,0,1,0,0,1,1,0,2,3,0,0,1,1,1,0,2,0,0,0,1,0,2,0,0,0,1,1,0,0,1
Line 9,0,1,0,5,1,6,1,0,1,0,0,0,1,1,0,4,0,0,2,0,0,0,1,0,1,1,0,1,3,0,2,0,2,0,0,1,1
Line 10,1,0,0,8,1,9,0,0,1,0,0,0,1,0,4,4,0,1,1,1,0,2,0,0,1,0,1,1,0,0,4,0,4,1,0,0,0
Line 11,0,0,0,6,2,8,2,0,3,0,0,0,2,0,4,2,1,0,0,1,0,4,2,0,0,0,1,1,1,0,2,0,1,0,0,0,0
Line 12,0,1,0,5,1,6,1,0,1,0,0,0,1,1,0,4,0,0,2,0,0,0,1,0,1,1,0,1,3,0,2,0,2,0,0,1,1
Line 13,0,0,0,5,1,6,1,0,2,0,0,0,1,0,0,4,0,0,2,0,0,1,0,0,0,2,0,0,2,2,0,0,1,1,0,1,3
Line 14,0,0,0,4,2,5,0,0,2,0,0,0,2,1,1,1,0,0,1,1,0,0,0,1,0,3,0,0,2,0,0,0,2,0,1,1,2
Line 15,0,1,0,5,0,6,1,0,1,0,0,0,0,1,0,3,0,0,2,0,0,0,1,0,0,1,0,1,3,0,1,0,2,0,1,2,2
Line 16,0,1,1,5,2,6,5,0,4,0,0,1,0,0,0,5,2,0,0,0,0,0,0,3,0,1,3,0,5,0,2,0,3,1,2,0,2
Line 17,0,0,2,6,1,7,0,0,1,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,4,0,2,0,2,0,2,1,4
Line 18,0,1,0,5,0,6,1,0,1,0,0,0,0,1,0,3,0,0,2,0,0,0,1,0,0,1,0,1,3,0,2,0,2,0,1,1,2
