Phoneme,ʁ,ʃ,ʊ, ,',.,:,I,ŋ,g,ɔ,ə,ɛ,a,b,e,d,ç,f,i,h,k,m,l,o,n,s,u,t,v,y,z,ɾ
Line 1,0.0,0.0,0.0,0.18181818181818182,0.13636363636363635,0.22727272727272727,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.0,0.0,0.18181818181818182,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0
Line 2,0.0,0.0,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.0,0.0,0.0,0.0,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.10526315789473684
Line 3,0.0,0.05,0.1,0.15,0.1,0.2,0.05,0.05,0.05,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.05,0.05,0.0,0.0,0.05,0.1
Line 4,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.16666666666666666
Line 5,0.0,0.0,0.0,0.13636363636363635,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0
Line 6,0.058823529411764705,0.0,0.0,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.11764705882352941,0.11764705882352941,0.0
Line 7,0.0,0.0,0.13636363636363635,0.22727272727272727,0.045454545454545456,0.2727272727272727,0.09090909090909091,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.0,0.09090909090909091,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456
Line 8,0.05,0.0,0.05,0.2,0.05,0.25,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.05,0.1,0.0,0.05,0.0,0.05,0.0,0.1,0.05,0.0,0.1,0.05,0.0,0.0,0.0
Line 9,0.0,0.0,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.29411764705882354,0.0,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0
Line 10,0.0,0.0625,0.0,0.1875,0.0625,0.25,0.0625,0.125,0.0,0.0,0.0625,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0,0.125,0.0625,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0
Line 11,0.0,0.0,0.0,0.125,0.125,0.16666666666666666,0.125,0.16666666666666666,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.125,0.125,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
Line 12,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555
