Phoneme,ʁ,ʃ,ʊ, ,',.,:,I,ŋ,g,ɔ,ə,ɛ,a,b,e,d,ç,f,i,h,k,m,l,o,n,s,u,t,v,y,z,ɾ
Line 1,0,0,0,4,3,5,1,3,1,0,0,4,0,1,1,0,0,1,0,0,0,1,1,2,0,2,0,0,0,0,1,1,0
Line 2,0,0,2,4,2,4,2,0,0,0,0,1,2,2,0,1,1,0,0,0,1,0,0,1,0,2,2,0,0,0,0,0,2
Line 3,0,1,2,3,2,4,1,1,1,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,3,0,1,1,0,0,1,2
Line 4,1,0,1,1,1,4,1,1,0,1,0,0,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
Line 5,0,0,0,3,2,4,2,4,0,0,2,2,0,2,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,2,0,0,0
Line 6,1,0,0,1,2,3,0,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,2,0
Line 7,0,0,3,5,1,6,2,1,0,0,0,0,0,3,0,0,1,1,0,1,1,0,0,1,1,1,2,0,2,1,0,1,1
Line 8,1,0,1,4,1,5,0,0,1,0,0,1,1,1,1,0,1,0,1,2,0,1,0,1,0,2,1,0,2,1,0,0,0
Line 9,0,0,1,4,2,5,0,0,0,0,1,2,1,0,0,0,1,0,0,2,1,0,0,1,0,2,0,0,1,1,0,1,0
Line 10,0,1,0,3,1,4,1,2,0,0,1,1,0,1,0,0,0,0,1,1,1,0,2,1,0,1,0,0,1,0,0,1,0
Line 11,0,0,0,3,3,4,3,4,0,0,0,1,2,3,3,0,0,2,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0
Line 12,0,0,0,3,2,4,1,1,0,1,0,1,1,3,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1
