Phoneme,ʁ,ʃ,ʊ, ,',.,:,χ,I,ŋ,ç,œ,ɔ,ə,ɛ,a,b,e,d,g,f,i,h,k,m,l,o,n,p,s,r,u,t,v,y,z,ɽ,ɾ
Line 1,0,1,0,4,4,5,0,0,1,0,0,1,1,4,0,0,0,0,0,2,0,0,0,0,2,1,0,4,0,0,0,1,1,0,1,0,0,2
Line 2,0,1,0,6,1,6,1,0,2,0,2,1,0,1,1,2,0,0,2,1,1,0,1,2,0,1,1,2,1,2,0,1,2,1,0,0,0,0
Line 3,0,1,0,5,1,6,0,0,0,0,0,0,0,2,1,2,0,1,1,1,0,1,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,2
Line 4,1,1,0,6,1,6,1,0,2,0,1,0,0,1,2,1,0,0,3,1,1,1,0,0,1,0,1,2,0,2,0,1,1,1,0,1,1,2
Line 5,1,1,0,6,1,6,1,0,3,0,1,1,0,1,2,1,1,0,2,0,1,0,0,1,1,1,1,2,0,0,0,0,2,0,0,2,0,2
Line 6,1,0,1,4,2,5,0,0,1,0,1,0,0,1,0,0,0,2,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Line 7,0,1,0,6,1,7,0,0,1,0,1,0,1,2,1,1,0,0,0,0,2,0,0,0,1,1,1,4,0,1,0,1,1,0,0,0,0,2
Line 8,1,1,0,4,3,4,1,1,1,0,0,0,0,3,1,2,1,1,1,0,1,1,0,0,1,1,0,5,0,0,0,0,1,0,0,1,0,0
Line 9,0,0,0,4,2,4,0,0,0,0,0,0,2,2,2,1,0,0,0,1,4,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,2
Line 10,0,0,0,4,3,5,0,0,0,0,1,1,2,2,1,0,1,0,2,0,2,0,1,2,1,1,1,2,1,1,0,1,0,0,0,0,0,2
Line 11,0,0,2,4,3,3,2,0,0,0,0,0,1,1,0,1,0,2,1,0,1,0,1,0,1,0,2,2,0,1,0,0,1,0,1,0,0,5
Line 12,0,1,1,2,2,5,1,0,1,0,0,0,1,3,0,1,1,1,0,1,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,3
Line 13,0,1,2,2,2,3,2,0,2,1,0,0,1,3,0,1,0,0,0,1,0,0,0,1,1,2,0,3,0,0,0,0,1,0,1,0,0,3
Line 14,0,0,1,2,2,6,2,0,2,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,3,0,2,0,0,2
Line 15,0,1,0,4,2,5,1,0,1,0,0,0,2,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1
Line 16,0,0,0,6,1,7,1,1,1,0,0,0,0,1,1,3,0,0,1,2,0,1,1,0,1,0,1,2,0,1,0,1,4,0,0,1,0,0
Line 17,0,1,2,7,0,7,2,0,2,0,1,0,1,0,0,2,1,0,1,0,0,1,0,1,0,1,0,3,0,2,0,0,5,1,2,0,0,1
Line 18,1,1,0,3,3,4,0,1,2,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,1
Line 19,1,1,0,5,2,5,1,0,0,0,0,0,1,2,0,1,0,1,1,0,1,0,0,0,1,2,1,2,1,0,1,1,3,0,2,0,0,1
Line 20,0,1,2,6,1,7,2,0,2,0,1,0,1,0,2,1,0,0,0,0,2,0,1,0,1,0,1,2,2,0,0,0,3,0,1,0,0,3
Line 21,0,0,0,3,3,3,0,0,1,0,0,0,2,3,1,0,0,0,0,2,0,0,1,0,1,1,0,3,0,1,1,0,1,0,0,0,0,0
Line 22,1,0,1,5,2,4,0,0,1,0,1,0,0,2,1,0,1,1,2,0,1,2,0,0,0,3,0,1,0,0,1,0,2,1,0,0,0,1
Line 23,0,0,3,5,2,6,1,0,0,0,0,0,0,2,1,1,0,1,1,0,2,1,1,0,1,0,0,3,0,2,0,0,4,0,0,0,0,2
Line 24,0,0,1,4,2,5,1,0,1,0,0,0,1,2,0,1,1,0,1,1,0,2,0,0,0,2,0,2,0,0,1,0,2,0,0,1,0,0
