Phoneme,ʁ,ʃ,ʊ, ,',.,:,χ,I,ŋ,ɔ,ə,ɛ,d,a,b,e,g,ç,f,i,h,k,m,l,o,n,p,s,u,t,v,y,z,ɾ
Line 1,0,0,1,7,3,7,2,0,2,1,0,3,1,1,5,0,0,1,1,0,1,2,1,1,1,0,3,1,0,0,3,1,0,0,0
Line 2,0,1,2,6,3,8,1,0,2,1,0,3,0,0,3,1,0,1,0,0,1,1,0,3,1,0,5,1,0,0,2,0,1,1,1
Line 3,0,0,0,10,1,10,1,0,4,1,1,1,2,0,2,0,0,0,2,1,1,1,1,2,1,0,4,0,3,1,4,0,0,1,2
Line 4,0,0,0,7,2,8,2,0,6,1,1,2,0,0,2,0,0,0,2,0,1,0,0,1,1,0,3,0,3,0,2,3,0,1,1
Line 5,2,1,1,3,3,7,2,1,2,0,0,4,0,0,3,0,2,0,0,0,0,1,0,2,1,0,3,0,3,0,3,0,0,2,1
Line 6,1,1,3,4,2,6,2,1,2,0,0,1,1,2,2,0,1,0,1,1,1,1,0,0,1,0,2,0,2,0,2,0,0,0,2
Line 7,0,0,2,7,1,8,1,0,2,0,0,1,0,0,2,0,0,0,1,1,1,0,2,0,1,1,3,0,1,0,3,1,1,2,0
Line 8,1,0,1,7,1,8,4,1,5,0,1,0,1,2,4,0,1,1,2,0,0,0,1,1,3,0,4,1,0,0,2,1,0,0,0
Line 9,0,0,0,7,2,8,2,0,2,0,1,2,0,0,3,0,0,2,0,0,2,0,1,1,3,1,1,0,5,0,2,2,1,0,1
Line 10,0,0,1,8,0,9,2,0,3,1,0,0,2,2,5,0,1,0,1,2,0,0,2,0,1,0,3,0,3,0,1,0,0,1,1
Line 11,0,0,1,7,3,8,1,0,0,0,0,3,0,1,3,1,1,1,0,0,2,1,0,1,3,0,4,0,0,2,1,0,0,0,2
Line 12,1,1,1,7,3,8,2,0,2,0,0,3,1,2,2,1,0,0,0,1,2,0,0,0,1,0,4,0,0,0,4,1,2,1,1
Line 13,0,1,1,7,4,9,2,0,5,0,0,4,0,1,2,1,0,1,1,2,1,0,0,1,2,0,5,0,0,0,4,0,1,0,2
Line 14,0,1,3,8,2,10,1,0,3,1,0,2,1,2,3,1,0,0,2,0,0,0,0,2,0,1,1,0,1,0,3,1,0,1,4
Line 15,0,0,1,8,2,9,1,1,1,2,0,1,1,1,5,1,0,0,1,0,1,1,0,1,2,1,2,0,2,1,1,1,0,1,1
Line 16,0,0,1,7,2,9,2,0,2,1,2,2,0,2,2,0,1,0,0,3,2,0,2,3,2,0,2,0,2,0,5,0,1,2,0
Line 17,2,0,0,5,3,7,2,1,3,1,0,2,1,1,4,1,1,0,0,0,1,0,1,1,2,0,3,1,3,0,1,0,0,0,0
Line 18,2,1,0,6,3,7,2,0,1,0,3,1,1,2,2,0,1,0,0,1,2,0,0,0,3,0,2,1,2,0,0,0,1,2,1
