lineNumber,close,neutral,open,distFromMean,ZNorm
line 1,0.25,0.25,0.5,0.24097544243176194,0.4355674933820512
line 2,0.4,0.4,0.2,0.12789335261353174,0.23116956008443634
line 3,0.25,0.25,0.5,0.24097544243176194,0.4355674933820512
line 4,0.6,0.4,0.0,0.3926307520367285,0.7096872227458414
line 5,0.6666666666666666,0.3333333333333333,0.0,0.43218992361478026,0.7811911446004585
line 6,0.2,0.4,0.4,0.19635302860035378,0.3549116690994303
line 7,0.6666666666666666,0.3333333333333333,0.0,0.43218992361478026,0.7811911446004585
line 8,0.0,0.5,0.5,0.4405030219293981,0.7962172209449889
line 9,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.27123668314578925,0.4902652361537953
line 10,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.26596028117699794,0.48072804366467536
line 11,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.27123668314578925,0.4902652361537953
line 12,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.26596028117699794,0.48072804366467536
line 13,0.42857142857142855,0.0,0.5714285714285714,0.436150528502836,0.788350009943576
line 14,0.375,0.25,0.375,0.11377845789760489,0.20565663126178765
line 15,0.25,0.25,0.5,0.24097544243176194,0.4355674933820512
line 16,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.08827376859030615,0.15955644163680585
line 17,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.08827376859030615,0.15955644163680585
line 18,0.7,0.2,0.1,0.4200938106718895,0.7593272005361456
line 19,0.5,0.4,0.1,0.2554560794810491,0.46174150812182835
line 20,0.5,0.25,0.25,0.17413187849423403,0.31474653627877086
line 21,0.125,0.375,0.5,0.30790589161634696,0.5565454971490522
line 22,0.125,0.375,0.5,0.30790589161634696,0.5565454971490522
line 23,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.15377851351721752,0.277957459037261
line 24,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.26596028117699794,0.48072804366467536
line 25,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.26596028117699794,0.48072804366467536
line 26,0.25,0.25,0.5,0.24097544243176194,0.4355674933820512
line 27,0.4,0.4,0.2,0.12789335261353174,0.23116956008443634
line 28,0.25,0.25,0.5,0.24097544243176194,0.4355674933820512
line 29,0.6,0.4,0.0,0.3926307520367285,0.7096872227458414
line 30,0.6666666666666666,0.3333333333333333,0.0,0.43218992361478026,0.7811911446004585
line 31,0.2,0.4,0.4,0.19635302860035378,0.3549116690994303
line 32,0.6666666666666666,0.3333333333333333,0.0,0.43218992361478026,0.7811911446004585
line 33,0.0,0.5,0.5,0.4405030219293981,0.7962172209449889
line 34,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.27123668314578925,0.4902652361537953
line 35,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.304705846347488,0.5507613571454056
line 36,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.27123668314578925,0.4902652361537953
line 37,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.304705846347488,0.5507613571454056
line 38,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.27123668314578925,0.4902652361537953
line 39,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.26596028117699794,0.48072804366467536
