Phoneme,ʁ,ʃ,ʊ, ,',.,:,χ,I,ŋ,ç,œ,ɔ,ə,ɛ,a,b,e,d,g,f,i,h,k,m,l,o,n,p,s,r,u,t,v,y,z,ɾ
Line 1,0,0,0,3,2,4,1,0,1,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1
Line 2,1,1,1,3,1,3,3,0,2,0,0,0,1,1,0,2,0,1,1,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,2
Line 3,0,0,0,3,2,4,2,0,4,2,0,0,0,2,0,2,0,0,2,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0
Line 4,0,0,0,3,2,3,1,0,1,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1
Line 5,0,0,0,2,1,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,1,1,0,1,0,2
Line 6,1,0,1,3,1,3,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,2,0
Line 7,0,1,0,3,1,4,0,0,1,0,1,0,0,0,2,2,0,1,1,1,1,0,1,0,0,1,0,2,1,1,0,0,2,0,0,0,1
Line 8,0,0,0,2,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,1,1,0,1,0,2
Line 9,0,1,0,3,1,4,0,0,2,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0
Line 10,1,0,0,3,2,2,0,0,1,0,1,0,0,2,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,2,0,1,0,1
Line 11,0,0,0,4,1,4,0,1,2,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,2,0,2,0,0,1,1,0,0,0
Line 12,0,1,0,3,1,3,0,0,2,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
Line 13,0,0,1,4,0,5,2,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,3,0,1,0,1,0,1,0,1,0
Line 14,0,0,0,3,1,3,1,0,3,0,2,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Line 15,0,0,0,5,1,6,0,1,2,0,2,0,0,0,0,2,0,1,1,0,1,0,1,0,0,0,0,2,1,1,0,2,0,1,0,1,0
Line 16,1,0,0,3,1,3,1,0,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,2,0,0,1,0,1,0,0,0,1,0,1,0
Line 17,0,0,0,4,1,4,1,1,2,0,1,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0
Line 18,0,0,0,3,1,4,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,3,1,0,0,2,0,0,0,0,0
Line 19,1,0,0,4,2,5,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,1,2,0,0,0,0,1,0,2,0,0,1,0,2,0,2
Line 20,0,0,1,1,2,2,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
