lineNumber,close,neutral,open,distFromMean,ZNorm
line 1,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.44626028647089977,0.8156485301090305
line 2,0.0,0.4,0.6,0.5846302621532601,1.0685531032877578
line 3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.21285265311735777,0.38903966789861627
line 4,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.44626028647089977,0.8156485301090305
line 5,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.44626028647089977,0.8156485301090305
line 6,0.8,0.2,0.0,0.4740026859748716,0.8663544702590233
line 7,0.6,0.2,0.2,0.1924147178785188,0.35168440160805514
line 8,0.18181818181818182,0.18181818181818182,0.6363636363636364,0.41399094557894534,0.7566685104566965
line 9,0.8,0.2,0.0,0.4740026859748716,0.8663544702590233
line 10,0.8,0.2,0.0,0.4740026859748716,0.8663544702590233
line 11,0.6,0.0,0.4,0.2220111166626173,0.40577897353529474
line 12,0.5,0.3333333333333333,0.16666666666666666,0.2392510739242829,0.4372891621537413
line 13,0.3333333333333333,0.16666666666666666,0.5,0.21075198943129186,0.38520019730323135
line 14,0.8,0.0,0.2,0.3961616571261093,0.7240811766510163
line 15,0.8,0.0,0.2,0.3961616571261093,0.7240811766510163
line 16,0.4,0.0,0.6,0.31880058542395995,0.5826851207292173
line 17,0.6,0.2,0.2,0.1924147178785188,0.35168440160805514
line 18,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.11713232289642818,0.21408762978723622
line 19,0.4,0.2,0.4,0.09678998399187443,0.17690708890224538
line 20,0.4,0.0,0.6,0.31880058542395995,0.5826851207292173
line 21,0.6,0.2,0.2,0.1924147178785188,0.35168440160805514
line 22,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.13363496197693905,0.24425019122729902
line 23,0.5,0.25,0.25,0.12300196853030679,0.2248158258169454
line 24,0.5,0.25,0.25,0.12300196853030679,0.2248158258169454
