Phoneme,ʁ,ʃ,ʊ, ,',.,:,χ,I,œ,ɔ,ə,ɛ,d,a,b,e,g,ç,f,i,h,k,j,m,l,o,n,p,s,u,t,v,y,z,ɾ
Line 1,0.0,0.0,0.0,0.15,0.15,0.2,0.05,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.1,0.05,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05
Line 2,0.0,0.05,0.0,0.15,0.1,0.2,0.05,0.0,0.1,0.0,0.0,0.1,0.05,0.0,0.1,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1
Line 3,0.0,0.0,0.0,0.20833333333333334,0.08333333333333333,0.25,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.125,0.0,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.0,0.16666666666666666,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.08333333333333333,0.041666666666666664
Line 4,0.0,0.0,0.0,0.23529411764705882,0.058823529411764705,0.29411764705882354,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.11764705882352941,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.17647058823529413
Line 5,0.045454545454545456,0.0,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.2727272727272727,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.13636363636363635,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456
Line 6,0.0,0.10526315789473684,0.0,0.21052631578947367,0.05263157894736842,0.2631578947368421,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.0,0.0,0.0,0.05263157894736842
Line 7,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.125,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.0,0.125,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664
Line 8,0.0,0.0,0.0,0.2,0.05,0.25,0.05,0.0,0.1,0.0,0.05,0.05,0.05,0.0,0.05,0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.1,0.05,0.05,0.05,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.05
Line 9,0.047619047619047616,0.0,0.0,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.0,0.09523809523809523,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Line 10,0.0,0.05555555555555555,0.05555555555555555,0.2777777777777778,0.0,0.2777777777777778,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0
