Phoneme,ʁ,ʃ,ʊ, ,',.,:,χ,I,ŋ,ç,œ,ɔ,ə,ɛ,a,b,e,d,g,f,i,h,k,j,m,l,o,n,p,s,r,u,t,v,y,z,ɾ
Line 1,0,0,0,3,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2
Line 2,0,0,1,3,1,4,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0
Line 3,2,0,1,6,2,7,1,0,1,0,0,0,0,1,0,2,1,1,4,0,0,0,1,0,0,1,0,0,1,0,3,0,3,2,1,1,0,1
Line 4,0,0,0,3,0,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,2
Line 5,0,0,0,3,1,4,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,2,0,0,0,1,2,0,1,0,1,0,0,1,0,0,1,1
Line 6,0,0,1,7,2,8,2,0,3,1,1,0,0,1,1,3,2,1,2,0,0,2,0,1,0,1,2,0,2,0,3,0,0,1,1,0,0,2
Line 7,0,0,0,3,1,4,0,0,2,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,1,1,0,0
Line 8,0,0,1,2,1,3,2,0,1,0,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
Line 9,1,0,1,4,3,8,2,0,3,0,0,0,0,4,1,3,1,1,1,0,0,0,0,2,0,2,3,0,5,0,1,0,0,1,0,0,0,1
Line 10,0,0,0,1,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Line 11,0,0,0,2,1,3,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,1,0,0,0,0,2,0,1,0,0,0,2,0,0,0
Line 12,0,0,1,6,3,7,1,0,1,0,0,0,0,3,0,2,1,1,1,2,0,2,0,1,0,1,0,1,5,0,0,1,0,3,2,0,0,0
Line 13,0,1,0,3,1,4,1,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,1,1,1,0,1,0,3,0,0,0,0,2,1,0,0,1
Line 14,0,0,1,3,1,4,1,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0,1,1,0,2,0,1,0,0,1,1,1,0,1
Line 15,1,0,4,8,2,9,2,0,3,0,2,0,1,3,0,2,1,0,1,0,0,0,1,0,0,1,2,0,3,0,0,0,0,1,2,0,3,1
Line 16,0,0,0,3,1,3,1,0,3,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,2,0,0,0,1
Line 17,0,0,1,1,2,3,2,0,1,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0
Line 18,2,2,0,7,3,8,2,1,2,0,0,0,1,4,1,2,0,0,1,0,1,1,0,0,0,4,1,1,1,0,0,0,0,2,1,1,1,2
Line 19,0,0,0,1,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0
Line 20,0,1,0,2,1,4,0,0,0,0,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,2,1,0,2,0,0,0,0,1,0,1,0,0
Line 21,0,1,0,7,3,9,2,0,4,0,1,1,0,3,2,4,1,0,3,1,0,0,0,1,0,1,1,0,5,0,2,0,0,3,1,0,1,0
Line 22,0,0,0,2,1,3,1,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3
Line 23,0,0,0,2,1,3,3,0,3,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,1,0,1,0,0
Line 24,0,0,1,6,3,7,1,0,2,0,1,0,0,3,1,3,1,0,3,1,0,1,1,1,0,1,1,0,1,0,1,0,0,2,0,0,0,0
Line 25,0,0,0,3,2,4,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0
Line 26,0,0,0,2,1,3,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0
Line 27,0,2,2,7,2,8,6,0,3,0,0,0,1,2,0,7,0,0,3,0,3,0,0,0,0,0,3,0,2,0,2,0,0,1,0,1,0,1
Line 28,1,1,0,2,1,3,1,0,1,0,0,0,2,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,3,0,0,0,0
Line 29,1,0,0,3,1,3,1,0,0,0,1,0,0,1,0,1,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
Line 30,2,0,1,11,2,10,1,0,3,0,0,0,0,3,0,2,1,1,2,0,0,1,1,0,0,1,1,2,2,0,1,0,0,3,2,0,1,0
