lineNumber,close,neutral,open,distFromMean,ZNorm
line 1,0.6666666666666666,0.3333333333333333,0.0,0.5102025615890061,0.5236791506877111
line 2,0.6,0.2,0.2,0.28497719846721475,0.29250464128185216
line 3,0.6666666666666666,0.3333333333333333,0.0,0.5102025615890061,0.5236791506877111
line 4,0.6,0.2,0.2,0.28497719846721475,0.29250464128185216
line 5,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.24317573453153762,0.24959902539634757
line 6,0.75,0.0,0.25,0.4138116262354333,0.4247421265325569
line 7,0.4,0.2,0.4,0.03070249789287687,0.03151347960789904
line 8,0.75,0.0,0.25,0.4138116262354333,0.4247421265325569
line 9,0.4,0.2,0.4,0.03070249789287687,0.03151347960789904
line 10,0.5,0.1,0.4,0.11614793408075741,0.11921588806631728
line 11,0.5,0.1,0.4,0.11614793408075741,0.11921588806631728
line 12,0.6,0.2,0.2,0.28497719846721475,0.29250464128185216
line 13,0.25,0.25,0.5,0.1988318727845188,0.2040838563121936
line 14,0.6,0.2,0.2,0.28497719846721475,0.29250464128185216
line 15,0.25,0.25,0.5,0.1988318727845188,0.2040838563121936
line 16,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.2397578208219789,0.24609083025328313
line 17,0.0,0.0,1.0,0.7383968858259853,0.7579010439216404
line 18,0.25,0.25,0.5,0.1988318727845188,0.2040838563121936
line 19,0.0,0.0,1.0,0.7383968858259853,0.7579010439216404
line 20,0.25,0.25,0.5,0.1988318727845188,0.2040838563121936
line 21,0.5,0.3,0.2,0.2620387460507634,0.2689602881486072
line 22,0.5,0.3,0.2,0.2620387460507634,0.2689602881486072
line 23,0.0,0.0,1.0,0.7383968858259853,0.7579010439216404
line 24,0.4,0.2,0.4,0.03070249789287687,0.03151347960789904
line 25,0.0,0.0,1.0,0.7383968858259853,0.7579010439216404
line 26,0.4,0.2,0.4,0.03070249789287687,0.03151347960789904
line 27,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.32199872679374475,0.33050406341492994
line 28,0.5,0.0,0.5,0.2142506981806914,0.21990995754328505
line 29,0.2,0.4,0.4,0.30959206215297314,0.31776968673577033
line 30,0.5,0.0,0.5,0.2142506981806914,0.21990995754328505
line 31,0.2,0.4,0.4,0.30959206215297314,0.31776968673577033
line 32,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.11977210604158517,0.12293578960597547
line 33,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.11977210604158517,0.12293578960597547
line 34,1.0,0.0,0.0,0.7393082999292746,0.7588365322932566
line 35,0.6,0.2,0.2,0.28497719846721475,0.29250464128185216
line 36,1.0,0.0,0.0,0.7393082999292746,0.7588365322932566
line 37,0.13333333333333333,0.26666666666666666,0.6,0.3481336513277818,0.3573293208982449
line 38,0.5,0.0,0.5,0.2142506981806914,0.21990995754328505
line 39,0.25,0.0,0.75,0.41299716867578334,0.4239061557334681
line 40,0.5,0.0,0.5,0.2142506981806914,0.21990995754328505
line 41,0.25,0.0,0.75,0.41299716867578334,0.4239061557334681
line 42,0.3,0.3,0.4,0.1685079943578234,0.17295899709825382
line 43,0.3,0.3,0.4,0.1685079943578234,0.17295899709825382
line 44,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.19399870578819428,0.19912302510843738
line 45,0.25,0.25,0.5,0.1988318727845188,0.2040838563121936
line 46,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.19399870578819428,0.19912302510843738
line 47,0.25,0.25,0.5,0.1988318727845188,0.2040838563121936
line 48,0.0,0.2,0.8,0.5660423330795513,0.5809938846978484
line 49,0.25,0.0,0.75,0.41299716867578334,0.4239061557334681
line 50,0.5,0.25,0.25,0.19967677374121243,0.2049510746461011
line 51,0.25,0.0,0.75,0.41299716867578334,0.4239061557334681
line 52,0.5,0.25,0.25,0.19967677374121243,0.2049510746461011
line 53,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3541743404444168,0.3635295699450464
line 54,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3541743404444168,0.3635295699450464
