lineNumber,close,neutral,open,distFromMean,ZNorm
line 1,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.23085468805992254,0.9366197183098592
line 2,0.25,0.0,0.75,0.32981598032356646,1.338123791987127
line 3,0.5,0.0,0.5,0.13418185925446716,0.5444003596954909
line 4,0.5,0.0,0.5,0.13418185925446716,0.5444003596954909
line 5,0.625,0.125,0.25,0.31481099381879296,1.277245815665952
line 6,0.5,0.0,0.5,0.13418185925446716,0.5444003596954909
line 7,0.3333333333333333,0.16666666666666666,0.5,0.10516808883183719,0.4266861832638784
line 8,0.3333333333333333,0.16666666666666666,0.5,0.10516808883183719,0.4266861832638784
line 9,0.25,0.25,0.5,0.22193415995061608,0.9004275032193644
line 10,0.25,0.25,0.5,0.22193415995061608,0.9004275032193644
line 11,0.3333333333333333,0.0,0.6666666666666666,0.2252617734793919,0.9139282402940956
line 12,0.3333333333333333,0.0,0.6666666666666666,0.2252617734793919,0.9139282402940956
line 13,0.625,0.25,0.125,0.4408447085621776,1.7885876618833145
line 14,0.5,0.125,0.375,0.13961685640022437,0.5664511377778172
line 15,0.3333333333333333,0.16666666666666666,0.5,0.10516808883183719,0.4266861832638784
line 16,0.3333333333333333,0.16666666666666666,0.5,0.10516808883183719,0.4266861832638784
line 17,0.5,0.25,0.25,0.2889307215046128,1.172244814523632
line 18,0.25,0.125,0.625,0.21855588785226174,0.8867212350567989
line 19,0.5,0.0,0.5,0.13418185925446716,0.5444003596954909
line 20,0.5,0.0,0.5,0.13418185925446716,0.5444003596954909
line 21,0.625,0.0,0.375,0.25761961608363765,1.0452099295671184
line 22,0.625,0.125,0.25,0.31481099381879296,1.277245815665952
line 23,0.3333333333333333,0.0,0.6666666666666666,0.2252617734793919,0.9139282402940956
line 24,0.3333333333333333,0.0,0.6666666666666666,0.2252617734793919,0.9139282402940956
