Category,close,neutral,open,closeMid,openMid
Line 1,0.2,0.2,0.6,0.0,0.0
Line 2,0.75,0.0,0.25,0.0,0.0
Line 3,0.0,0.2,0.2,0.2,0.4
Line 4,0.25,0.0,0.75,0.0,0.0
Line 5,0.2,0.2,0.4,0.0,0.2
Line 6,0.0,0.25,0.5,0.25,0.0
Line 7,0.2,0.2,0.4,0.0,0.2
Line 8,0.5,0.25,0.0,0.0,0.25
Line 9,0.2,0.2,0.6,0.0,0.0
Line 10,0.5,0.0,0.25,0.0,0.25
Line 11,0.2,0.2,0.6,0.0,0.0
Line 12,0.0,0.0,0.25,0.5,0.25
Line 13,0.0,0.4,0.4,0.0,0.2
Line 14,0.25,0.25,0.5,0.0,0.0
Line 15,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.0
Line 16,0.5,0.0,0.25,0.25,0.0
Line 17,0.0,0.25,0.25,0.0,0.5
Line 18,0.0,0.25,0.5,0.0,0.25
Line 19,0.25,0.25,0.25,0.25,0.0
Line 20,0.0,0.25,0.5,0.0,0.25
Line 21,0.5,0.25,0.25,0.0,0.0
Line 22,0.0,0.25,0.75,0.0,0.0
Line 23,0.4,0.2,0.4,0.0,0.0
Line 24,0.75,0.0,0.25,0.0,0.0
Line 25,0.25,0.0,0.25,0.0,0.5
Line 26,0.2,0.2,0.4,0.0,0.2
Line 27,0.0,0.25,0.25,0.0,0.5
Line 28,0.0,0.0,0.25,0.25,0.5
Line 29,0.2,0.2,0.6,0.0,0.0
Line 30,0.0,0.0,0.5,0.0,0.5
Line 31,0.0,0.2,0.4,0.2,0.2
Line 32,0.2,0.2,0.4,0.2,0.0
Mean,0.20833333333333334,0.17500000000000002,0.38489583333333338,0.070833333333333345,0.16093750000000001
StDev,0.21606486937440286,0.12437342963832748,0.17226833150116258,0.12339244079134039,0.18487089033633716
