lineNumber,close,neutral,open,distFromMean,ZNorm
line 1,0.4,0.2,0.4,0.05089871827951762,0.0642493608983371
line 2,0.75,0.0,0.25,0.3887817968772506,0.49075856568911613
line 3,0.2,0.2,0.6,0.3052814113708175,0.38535617865667116
line 4,0.75,0.0,0.25,0.3887817968772506,0.49075856568911613
line 5,0.6,0.2,0.2,0.26829949481211673,0.33867397163834007
line 6,0.75,0.0,0.25,0.3887817968772506,0.49075856568911613
line 7,0.4,0.2,0.4,0.05089871827951762,0.0642493608983371
line 8,0.75,0.25,0.0,0.5229720551153652,0.6601466882590149
line 9,0.4,0.2,0.4,0.05089871827951762,0.0642493608983371
line 10,0.5,0.0,0.5,0.1985166525525744,0.2505872148712391
line 11,0.4,0.2,0.4,0.05089871827951762,0.0642493608983371
line 12,0.5,0.0,0.5,0.1985166525525744,0.2505872148712391
line 13,0.0,0.4,0.6,0.5307368355535601,0.6699481566954154
line 14,0.5,0.25,0.25,0.19172205451946409,0.242010405946679
line 15,0.3333333333333333,0.5,0.16666666666666666,0.42641892988576613,0.5382678512582173
line 16,1.0,0.0,0.0,0.7161659792433092,0.9040150325755992
line 17,0.4,0.2,0.4,0.05089871827951762,0.0642493608983371
line 18,0.8,0.2,0.0,0.548979560922241,0.6929759162461562
line 19,0.6,0.2,0.2,0.26829949481211673,0.33867397163834007
line 20,0.5,0.25,0.25,0.19172205451946409,0.242010405946679
line 21,0.6,0.2,0.2,0.26829949481211673,0.33867397163834007
line 22,0.25,0.25,0.5,0.2236401617481532,0.2823005755196348
line 23,0.4,0.2,0.4,0.05089871827951762,0.0642493608983371
line 24,0.75,0.0,0.25,0.3887817968772506,0.49075856568911613
line 25,0.4,0.2,0.4,0.05089871827951762,0.0642493608983371
line 26,0.4,0.2,0.4,0.05089871827951762,0.0642493608983371
line 27,0.4,0.2,0.4,0.05089871827951762,0.0642493608983371
line 28,0.25,0.0,0.75,0.42150496687258066,0.5320649645501194
line 29,0.2,0.2,0.6,0.3052814113708175,0.38535617865667116
line 30,0.0,0.0,1.0,0.7522792120322289,0.9496007016275971
line 31,0.4,0.2,0.4,0.05089871827951762,0.0642493608983371
line 32,0.6,0.2,0.2,0.26829949481211673,0.33867397163834007
line 33,0.4,0.2,0.4,0.05089871827951762,0.0642493608983371
line 34,0.4,0.2,0.4,0.05089871827951762,0.0642493608983371
line 35,0.4,0.2,0.4,0.05089871827951762,0.0642493608983371
line 36,0.25,0.0,0.75,0.42150496687258066,0.5320649645501194
line 37,0.2,0.2,0.6,0.3052814113708175,0.38535617865667116
line 38,0.0,0.0,1.0,0.7522792120322289,0.9496007016275971
line 39,0.4,0.2,0.4,0.05089871827951762,0.0642493608983371
line 40,0.6,0.2,0.2,0.26829949481211673,0.33867397163834007
line 41,0.2,0.2,0.6,0.3052814113708175,0.38535617865667116
line 42,0.0,0.0,1.0,0.7522792120322289,0.9496007016275971
line 43,0.4,0.2,0.4,0.05089871827951762,0.0642493608983371
line 44,0.6,0.2,0.2,0.26829949481211673,0.33867397163834007
