lineNumber,close,neutral,open,distFromMean,ZNorm
line 1,0.4,0.2,0.4,0.06523387528714648,0.25314999476417155
line 2,0.5,0.2,0.3,0.20271972110479497,0.7866847724495807
line 3,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.14824182789784196,0.5752750053707788
line 4,0.3,0.2,0.5,0.08611406183168988,0.3341787408130451
line 5,0.2,0.4,0.4,0.28368275362704937,1.1008741590049826
line 6,0.25,0.0,0.75,0.36619068574328695,1.4210587638791876
line 7,0.46153846153846156,0.07692307692307693,0.46153846153846156,0.1376236202913186,0.5340694325274633
line 8,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.2881514369113999,1.1182155655220192
line 9,0.4,0.1,0.5,0.09646454548137882,0.3743453700404472
line 10,0.5,0.2,0.3,0.20271972110479497,0.7866847724495807
line 11,0.1,0.4,0.5,0.3516192228328797,1.3645119813488122
line 12,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.13475357180912984,0.5229317719938699
line 13,0.25,0.0,0.75,0.36619068574328695,1.4210587638791876
line 14,0.46153846153846156,0.07692307692307693,0.46153846153846156,0.1376236202913186,0.5340694325274633
line 15,0.3,0.3,0.4,0.149551601780797,0.5803577825345271
line 16,0.4,0.1,0.5,0.09646454548137882,0.3743453700404472
line 17,0.3,0.3,0.4,0.149551601780797,0.5803577825345271
line 18,0.6,0.0,0.4,0.29670694677498327,1.151416525416513
line 19,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.220853779901594,0.8570567512605249
line 20,0.25,0.0,0.75,0.36619068574328695,1.4210587638791876
line 21,0.46153846153846156,0.07692307692307693,0.46153846153846156,0.1376236202913186,0.5340694325274633
line 22,0.4,0.2,0.4,0.06523387528714648,0.25314999476417155
line 23,0.2,0.3,0.5,0.21336788595141304,0.8280065989285992
line 24,0.4,0.3,0.3,0.19800380914272572,0.7683839573707415
line 25,0.5,0.2,0.3,0.20271972110479497,0.7866847724495807
line 26,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.006464778590402895,0.02508755855923348
line 27,0.25,0.0,0.75,0.36619068574328695,1.4210587638791876
line 28,0.46153846153846156,0.07692307692307693,0.46153846153846156,0.1376236202913186,0.5340694325274633
