ganz,gants.
hats,hats.
tränenweiden,'tɾɛ.nən.va:I.den
schatten,'ʃa.tən
nieder,ni.dəʁ
als,als.
macht,maχt.
dazu,da.'tsu
auf,a:ʊf
lerche,'lɛɾ.çə
steckst,ʃtɛkst
hunde,'hʊn.də
geschehen,gə.'ʃe.ən
aus,a:ʊs
weckt,vɛkt.
büchsen,'byk.sən
zahmes,'tsa.məs
hellen,'hɛ.lən
träume,trɔ:y.mə
jagdhorn,'jakt.hɔɾn
heid,ha:Id.
beliebt,bə.'lipt
die,di
jägerheld,'jɛ.gəʁ.hɛlt
walde,'val.də
verstört,fɛɾ.'ʃtœɾt
gut,gut.
blick,blIk.
dir,diɾ.
haar,haɾ.
grabt,gɾapt.
empor,ɛm.'poɾ
hervor,hɛɾ.'foɾ
zu,tsu
mühlensteg,'my.lən.ʃtək
äugelein,'ɔ:y.gəla:In
denkt,dɛŋkt.
trinken,'tɾIŋ.kən
leid,la:It.
tränen,'tɾɛ.nən
menschen,mɛn.ʃən
drei,dɾa:I.
weicht,va:içt.
nicht,nIçt
müller,'my.ləʁ
nacht,naχt
freude,'fɾɔ:y.də
wacht,vaχt.
jäger,'jɛ.gəʁ
durch,dʊɾχ
wie,vi
tu,tu.
bleibe,'bla:I.bə
gern,gɛɾn
hinweg,hIn.'vək
willst,vIlst.
mühlen,'my.lən
kehre,ke.ɾɛ
komm,kɔm.
wohlauf,vɔl.'a:ʊf
halte,'hal.tə
eichhorn,'a:Iç.hɔɾn
der,deʁ
wallen,val.ən
laß,las.
dem,dem
den,den
steigt,ʃta:Ikt.
maiengrün,'ma:I.ən.gɾyn
meer,meɾ.
heran,hɛ'ɾ.an
wieder,vi.dəʁ
tag,tak.
o,o.
schließt,ʃlist.
schieß,ʃis.
kehret,ke.ɾət
augen,'a:ʊ.gən
sie,zi
vorbei,fɔɾ.'ba:I
kohlgarten,'kɔl.gaɾ.tən
holde,hɔl.də
stille,ʃtIl.ə
taubetrübten,'ta:ʊ.bə.tɾyp.tən
grün,gɾyn
mai,ma:I.
blickt,blIkt.
wirbelt,'viɾ.bəlt
woget,'vo.gət
winter,'vIn.təʁ
heiß,ha:Is.
hügel,'hy.gəl
kein,ka:In.
feld,fɛlt.
mondlicht,mont.lIçt
so,zo
zärtliche,'tsɛɾt.lI.çə
horne,'hɔɾ.nə
wohnt,vɔnt.
gescheh,gɛ.'ʃə
alle,alə
kämmerlein,'kɛ.məʁ.la:In
betten,'bɛ.tən
bächlein,bɛçla:In
rasen,'ɾa.zən
bunt,bʊnt.
morgen,'mɔɾ.gən
bückt,bykt.
deinem,'da:I.nəm
doch,dɔχ.
fröhlichen,'fɾœ.lI.çən
das,das
blauen,'bla:ʊən.
wenn,wɛn
zypressenhain,tsy.'pɾɛ.sən.ha:In
herzen,'hɛɾt.sən
eber,'e.bəʁ
guten,'gu.tən
stillen,'ʃtI.lən
wonne,'vɔ.nə
es,ɛs
er,əʁ.
werden,'vəɾ.den
wandelt,'van.dɛlt
frei,fɾa:I.
auch,a:ʊχ
schläfer,'ʃlɛ.fəʁ
heraus,hɛ'ɾ.a:ʊs
wovon,vo.'fɔn
ist,Ist
blühn,blyn.
blaue,'bla:ʊ.ə
daß,das.
ihr,Ir
nach,naχ
fischlein,'fIʃ.la:In
ihn,In.
ihm,Im.
einen,'a:I.nən
tor,toɾ
wüßtet,'vys.tət
man,man.
tod,tot.
nur,nuɾ.
braus,bɾa:ʊs.
bläulichen,'blɔ:y.lI.çən
gehn,gɛn.
bei,ba:I.
schätzchen,'ʃɛts.çən
dann,dan.
gottes,'gɔ.təs
gezweig,gə.'tsva:Ik
treu,tɾɔ:y.
stehn,ʃtən.
welk,vɛlk.
alles,'al.əs
hagen,'ha.gən
struppige,'ʃtɾʊ.pi.gə
wandrer,'vand.ɾəʁ
euch,ɔ:yç.
bleib,bla:Ip.
mir,miʁ
mit,mIt
bächlein,'bɛç.la:In
gemeint,gə.'ma:Int
sehr,zəʁ
weint,va:Int
grün,gɾyn.
vollmond,'fɔl.mɔnt
sinkest,zIŋ.kəst
für,fyɾ.
müllerin,'my.ləɾ.In
flor,floɾ.
denn,dɛn.
meint,ma:Int.
singen,zIŋən
muß,mʊs.
betrübt,bə.'tɾypt
revier,ɾe.'viɾ
frisch,fɾIʃ.
dich,dIç
wieget,'vi.gət
himmel,'hI.məl
mägdelein,'mɛg.də.la:In
wiegen,'vi.gən
mein,ma:In
deine,'da:I.nə
schlummertrunknen,'ʃlʊməɾ.tɾʊŋk.nən
da,da
trotziger,'tɾɔt.si.gəʁ
du,du
hin,hIn.
saus,za:ʊs.
schwer,ʃvəʁ
rosmarein,'ɾɔs.ma.ɾa:In
schlaf,ʃlaf.
rund,ɾʊnt.
grab,gɾap.
schatz,ʃats.
heilge,ha:Il.gə
nun,nun
nebel,'ne.bəl
schöne,'ʃœnə.
wirf,vIɾf.
wird,vIɾt.
seht,zɛt.
erwacht,ɛɾ.vaχt.
rings,ɾIŋs.
hebt,hɛpt.
rufen,ɾu.fən
sonst,zɔnst.
deckt,dɛkt.
dein,da:In
rehlein,'ɾɛ.la:In
sehn,zen
soll,zɔl
wo,vo.
wühlen,'vy.lən
kreuzlein,'kɾɔ:yts.la:In
drum,dɾum.
kommen,'kɔ.mən
und,ʊnt
suchen,'zʊ.χən
wald,valt.
scheut,ʃɔ:yt.
runden,'ɾʊn.den
wisse,'vI.sə
kinne,'kI.nə
schere,'ʃe.ɾə
kristallenen,kɾIs.'ta.lə.nən
luft,lʊft
köpfchen,'kœp.fçən
pfühl,pfyl.
sollst,zɔlst.
kühl,kyl.
verdrießt,fɛɾ.'dɾist
an,an.
gab,gap.
grüne,'gɾy.nə
herum,hɛ.'ɾum
knaben,'kna.bən
will,vIl
wild,vIlt.
bedeckt,bə.'dɛkt
fenster,'fɛn.ʃtəʁ
ein,a:In
ferne,'fɛɾ.nə
vom,fɔm.
von,fɔn
herein,hɛ'ɾ.a:In
lust,lʊst.
im,Im
in,In
liebesnot,'li.bəs.not
belauschen,bɛ.la:ʊ.ʃən
wär,vɛɾ.
legen,'le.gən
weichem,'va:I.çəm
ihren,I.ɾən
blümlein,blymla:In
machen,'ma.χən
ihrer,'Iɾ.əʁ
teich,ta:Iç.
scheuet,'ʃɔ:y.ət
brechen,'bɾɛ.çən
blondes,'blɔn.dəs
hab,hap
weh,və.
bis,bis.
gleich,gla:Iç.
gruß,gɽus.
hat,hat
gute,'gu.tə
morgensterne,'mɔɾ.gən.ʃteɾ.nə
haus,ha:ʊs.
freund,fɾɔ:ynt.
ruft,ɾʊft.
schallt,ʃalt.
liebe,lIbə
blümelein,'bly.mə.la:In
schwarz,ʃvaɾts.
sorgen,'zɔɾ.gən
hain,ha:In.
bach,baχ
herzchen,'hɛɾts.çən
tiefen,'ti.fən
besser,'bɛ.səʁ
ich,Iç
tote,'to.tə
meinen,'ma:I.nən
meinem,'ma:I.nəm
ließest,'li.səst
ruh,ɾu.
fürwahr,fyɾ.'vaɾ
böses,'bœ.zəs
jagen,'ja.gən
weit,va:It.
oben,'o.bən
zur,tsuɾ.
blaß,blas.
brausen,'bɾa:ʊ.zən
müder,'my.deʁ
bist,bIst.
